Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Jude Bellingham,ENG,MF,Dortmund,Bundesliga,18,2003,31.0,1298,1536,84.5,22817,5208,597,675,88.4,541,604,89.6,133,194,68.6,8,4.6,+3.4,34,113,36,2,138
George Bello,USA,DF,Arminia,Bundesliga,19,2002,4.8,138,177,78.0,2323,819,61,69,88.4,71,88,80.7,5,16,31.3,0,0.3,-0.3,3,9,1,0,13
Jeanöel Belocian,FRA,DF,Rennes,Ligue 1,16,2005,0.1,8,10,80.0,155,59,2,2,100.0,6,7,85.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0
Andrea Belotti,ITA,FW,Torino,Serie A,27,1993,15.2,254,359,70.8,3516,490,162,197,82.2,68,93,73.1,11,26,42.3,1,1.0,0.0,8,18,5,0,16
Fran Beltrán,ESP,MF,Celta Vigo,La Liga,22,1999,28.9,1728,1904,90.8,35773,6495,593,646,91.8,811,861,94.2,299,343,87.2,0,0.6,-0.6,12,126,7,2,89
Hatem Ben Arfa,FRA,FW,Lille,Ligue 1,34,1987,3.5,138,157,87.9,2303,376,63,68,92.6,50,57,87.7,16,21,76.2,1,0.9,+0.1,6,4,5,2,7
Salim Ben Seghir,FRA,FW,Marseille,Ligue 1,18,2003,0.0,1,1,100.0,15,10,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1
Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,30,1990,28.1,493,677,72.8,7299,1306,282,354,79.7,159,217,73.3,36,60,60.0,5,4.3,+0.7,29,30,29,0,53
Marco Benassi,ITA,DF,Fiorentina,Serie A,26,1994,1.8,108,131,82.4,2140,618,44,49,89.8,45,56,80.4,19,23,82.6,0,0.1,-0.1,1,10,1,0,9
Marco Benassi,ITA,MF,Empoli,Serie A,26,1994,4.2,121,168,72.0,2120,831,60,74,81.1,48,59,81.4,12,21,57.1,0,0.4,-0.4,4,15,5,1,20
Darío Benedetto,ARG,FW,Elche,La Liga,31,1990,6.6,77,114,67.5,1537,371,38,55,69.1,24,36,66.7,14,19,73.7,1,0.9,+0.1,5,11,4,0,14
Darío Benedetto,ARG,FW,Marseille,Ligue 1,31,1990,0.6,10,11,90.9,160,35,6,7,85.7,3,3,100.0,1,1,100.0,0,0.0,0.0,1,0,0,0,1
László Bénes,SVK,MF,M'Gladbach,Bundesliga,23,1997,2.7,142,192,74.0,2625,736,63,76,82.9,49,58,84.5,26,48,54.2,0,0.3,-0.3,4,19,1,0,14
Walter Benítez,ARG,GK,Nice,Ligue 1,28,1993,37.0,769,1031,74.6,21751,14723,177,177,100.0,338,341,99.1,252,510,49.4,0,0.0,0.0,0,4,0,0,0
Iker Benito,ESP,MF,Osasuna,La Liga,18,2002,1.3,22,29,75.9,271,106,13,15,86.7,6,10,60.0,0,0,,0,0.1,-0.1,1,2,1,1,2
Loris Benito,SUI,DF,Bordeaux,Ligue 1,29,1992,0.7,42,53,79.2,836,259,14,18,77.8,20,21,95.2,7,12,58.3,0,0.0,0.0,0,0,0,0,4
Pedro Benito,ESP,FW,Cádiz,La Liga,21,2000,0.3,4,6,66.7,60,12,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,2,0,0,1
Filip Benković,CRO,DF,Udinese,Serie A,24,1997,0.1,5,6,83.3,104,8,1,1,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
Ismaël Bennacer,ALG,MF,Milan,Serie A,23,1997,16.9,953,1097,86.9,18731,5170,390,423,92.2,390,433,90.1,152,211,72.0,1,2.0,-1.0,20,94,21,4,114
Keanan Bennetts,ENG,FW,M'Gladbach,Bundesliga,22,1999,0.6,17,23,73.9,334,29,8,11,72.7,6,7,85.7,3,4,75.0,0,0.0,0.0,0,1,0,0,1
Saïd Benrahma,ALG,FW,West Ham,Premier League,25,1995,24.1,625,831,75.2,9864,2270,369,428,86.2,191,252,75.8,47,94,50.0,6,3.2,+2.8,31,33,32,12,61
Ramy Bensebaini,ALG,DF,M'Gladbach,Bundesliga,26,1995,22.4,1060,1295,81.9,20577,6878,414,462,89.6,477,555,85.9,155,238,65.1,1,1.0,0.0,13,66,14,6,86
Nabil Bentaleb,ALG,MF,Angers,Ligue 1,26,1994,16.8,767,920,83.4,14246,3766,331,374,88.5,322,370,87.0,100,142,70.4,0,0.5,-0.5,4,58,6,0,62
Rodrigo Bentancur,URU,MF,Tottenham,Premier League,24,1997,15.1,905,1015,89.2,17316,3449,359,385,93.2,401,434,92.4,127,155,81.9,4,2.3,+1.7,15,81,7,2,68
Rodrigo Bentancur,URU,MF,Juventus,Serie A,24,1997,12.8,660,756,87.3,12367,2858,256,280,91.4,316,346,91.3,76,100,76.0,1,0.3,+0.7,8,79,5,0,56
Christian Benteke,BEL,FW,Crystal Palace,Premier League,30,1990,12.7,205,300,68.3,3169,582,117,158,74.1,60,96,62.5,19,27,70.4,1,1.1,-0.1,11,11,10,1,17
Karim Benzema,FRA,FW,Real Madrid,La Liga,33,1987,28.8,1058,1249,84.7,15601,3568,630,709,88.9,306,355,86.2,74,95,77.9,12,9.5,+2.5,61,66,84,4,137
Alessandro Berardi,ITA,GK,Hellas Verona,Serie A,30,1991,1.0,14,30,46.7,500,339,1,1,100.0,6,6,100.0,7,23,30.4,0,0.0,0.0,0,0,0,0,0
Domenico Berardi,ITA,FW,Sassuolo,Serie A,26,1994,31.3,1017,1416,71.8,20890,6257,409,515,79.4,385,505,76.2,196,295,66.4,14,8.4,+5.6,77,88,57,7,191
Yuri Berchiche,ESP,DF,Athletic Club,La Liga,31,1990,11.3,509,641,79.4,8813,4221,238,273,87.2,218,265,82.3,40,76,52.6,2,0.6,+1.4,6,47,12,7,63
Álex Berenguer,ESP,MF,Athletic Club,La Liga,26,1995,24.1,559,867,64.5,9012,3135,302,379,79.7,181,256,70.7,56,169,33.1,6,5.6,+0.4,44,33,26,13,66
Bartosz Bereszyński,POL,DF,Sampdoria,Serie A,29,1992,32.7,1285,1645,78.1,20855,8986,658,746,88.2,473,582,81.3,109,215,50.7,3,1.1,+1.9,20,77,32,13,104
Jóhann Berg Guðmundsson,ISL,MF,Burnley,Premier League,30,1990,12.2,218,345,63.2,3487,903,134,165,81.2,58,89,65.2,22,63,34.9,1,0.3,+0.7,6,6,12,11,13
Patrick Berg,NOR,MF,Lens,Ligue 1,23,1997,3.4,176,210,83.8,3148,586,83,89,93.3,74,89,83.1,17,27,63.0,0,0.1,-0.1,1,10,0,0,11
Mitchell van Bergen,NED,FW,Reims,Ligue 1,21,1999,10.9,149,230,64.8,2322,706,81,102,79.4,41,54,75.9,22,57,38.6,0,1.3,-1.3,18,2,13,6,11
Steven Bergwijn,NED,FW,Tottenham,Premier League,23,1997,6.3,148,178,83.1,2056,420,94,102,92.2,40,50,80.0,6,11,54.5,1,0.7,+0.3,8,8,10,0,15
Etrit Berisha,ALB,GK,Torino,Serie A,32,1989,10.0,169,320,52.8,5865,3829,20,21,95.2,72,75,96.0,76,223,34.1,0,0.0,0.0,0,5,0,0,0
Valon Berisha,KVX,MF,Reims,Ligue 1,28,1993,5.1,128,185,69.2,2457,830,67,83,80.7,35,48,72.9,22,47,46.8,1,0.4,+0.6,6,12,2,1,16
Federico Bernardeschi,ITA,MF,Juventus,Serie A,27,1994,16.4,460,599,76.8,8074,2164,219,248,88.3,190,225,84.4,43,93,46.2,3,1.9,+1.1,18,29,24,4,62
Paul Bernardoni,FRA,GK,Saint-Étienne,Ligue 1,24,1997,19.0,332,578,57.4,10555,6922,55,55,100.0,140,141,99.3,134,379,35.4,0,0.0,0.0,0,8,0,0,0
Paul Bernardoni,FRA,GK,Angers,Ligue 1,24,1997,13.0,263,337,78.0,7909,4249,46,46,100.0,109,113,96.5,107,177,60.5,0,0.0,0.0,0,0,0,0,0
Juan Bernat,ESP,DF,Paris S-G,Ligue 1,28,1993,10.6,648,701,92.4,8998,2327,402,427,94.1,210,225,93.3,19,26,73.1,0,0.6,-0.6,5,31,6,2,24
Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,23,1998,9.3,221,312,70.8,6432,4230,50,50,100.0,98,98,100.0,73,164,44.5,0,0.0,0.0,0,1,1,0,0
Jason Berthomier,FRA,MF,Clermont Foot,Ligue 1,31,1990,19.2,1140,1396,81.7,20187,5416,578,630,91.7,409,471,86.8,139,253,54.9,5,3.9,+1.1,46,98,22,8,101
Nicolò Bertola,ITA,MF,Spezia,Serie A,18,2003,0.4,9,14,64.3,134,53,5,7,71.4,2,3,66.7,1,2,50.0,0,0.0,0.0,0,1,0,0,0
Ryan Bertrand,ENG,DF,Leicester City,Premier League,31,1989,3.7,154,191,80.6,2609,1077,75,81,92.6,65,78,83.3,9,18,50.0,0,0.3,-0.3,2,11,1,0,7
Daniel Bessa,ITA,MF,Hellas Verona,Serie A,28,1993,8.5,389,482,80.7,6589,2024,186,216,86.1,147,168,87.5,39,69,56.5,1,0.8,+0.2,11,36,14,0,51
Beto,GNB,FW,Udinese,Serie A,23,1998,24.1,267,375,71.2,3954,645,154,206,74.8,76,112,67.9,19,27,70.4,0,1.5,-1.5,17,18,7,1,22
Louis Beyer,GER,DF,M'Gladbach,Bundesliga,21,2000,15.4,833,933,89.3,16716,4624,265,291,91.1,459,489,93.9,103,139,74.1,0,0.2,-0.2,5,28,4,0,41
Bartosz Bialek,POL,FW,Wolfsburg,Bundesliga,19,2001,2.0,25,44,56.8,428,57,14,20,70.0,7,12,58.3,4,8,50.0,0,0.2,-0.2,2,1,1,0,2
Giulian Biancone,FRA,DF,Troyes,Ligue 1,21,2000,25.5,970,1297,74.8,18176,7677,423,501,84.4,411,523,78.6,121,230,52.6,2,1.0,+1.0,15,61,23,14,88
Ermin Bičakčić,BIH,DF,Hoffenheim,Bundesliga,31,1990,0.1,3,3,100.0,36,10,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Mads Bidstrup,DEN,MF,Brentford,Premier League,20,2001,0.5,8,11,72.7,142,17,5,6,83.3,2,4,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
Pedro Bigas,ESP,DF,Elche,La Liga,30,1990,17.2,812,937,86.7,17389,6413,242,261,92.7,425,459,92.6,139,204,68.1,0,0.3,-0.3,4,45,5,1,42
El Bilal Touré,MLI,FW,Reims,Ligue 1,19,2001,13.3,246,333,73.9,3369,424,157,192,81.8,72,98,73.5,8,18,44.4,4,1.5,+2.5,10,13,5,1,10
Jean-Claude Billong,CMR,DF,Clermont Foot,Ligue 1,27,1993,10.9,419,483,86.7,8620,2700,130,146,89.0,222,240,92.5,62,88,70.5,0,0.1,-0.1,1,11,1,1,14
Luis Binks,ENG,DF,Bologna,Serie A,19,2001,7.2,271,324,83.6,6671,2078,62,80,77.5,135,147,91.8,73,89,82.0,0,0.0,0.0,1,16,0,0,15
Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,28,1992,35.0,2084,2585,80.6,42989,16226,750,811,92.5,982,1124,87.4,332,577,57.5,1,5.8,-4.8,70,129,64,36,159
Davide Biraschi,ITA,DF,Genoa,Serie A,27,1994,10.3,317,432,73.4,6405,2589,114,140,81.4,146,179,81.6,52,104,50.0,0,0.3,-0.3,3,36,6,3,30
Tom Bischof,GER,MF,Hoffenheim,Bundesliga,16,2005,0.2,5,8,62.5,52,11,4,5,80.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0
