Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Carles Aleñá,ESP,MF,Getafe,La Liga,23,1998,25.8,52,2.02,42,1,2,3,4,0,4,0.16,4,0,0,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,22,1998,31.7,150,4.73,87,52,5,5,1,0,17,0.54,11,5,0,1,0,0
Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,21,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,17,2004,20.4,39,1.91,22,0,5,2,7,3,7,0.34,4,0,0,2,1,0
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36.0,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Allan,BRA,MF,Everton,Premier League,30,1991,24.3,32,1.32,31,0,0,0,1,0,6,0.25,5,0,0,0,1,0
Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,26,1995,16.5,45,2.72,27,3,8,3,2,2,3,0.18,2,0,0,1,0,0
Dele Alli,ENG,MF,Tottenham,Premier League,25,1996,7.3,8,1.10,5,0,0,0,3,0,1,0.14,0,0,0,0,1,0
Dele Alli,ENG,MF,Everton,Premier League,25,1996,3.8,10,2.66,9,1,0,0,0,0,1,0.27,1,0,0,0,0,0
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,27,1994,19.1,45,2.36,31,0,3,8,2,1,5,0.26,4,0,1,0,0,0
Marcos Alonso,ESP,DF,Chelsea,Premier League,30,1990,24.1,89,3.70,61,15,4,5,2,2,9,0.37,7,1,0,1,0,0
Giorgio Altare,ITA,DF,Cagliari,Serie A,22,1998,16.3,25,1.53,16,2,0,5,0,2,0,0.00,0,0,0,0,0,0
Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,26,1995,20.7,11,0.53,9,0,0,1,0,1,1,0.05,1,0,0,0,0,0
Dani Alves,BRA,DF,Barcelona,La Liga,38,1983,12.2,31,2.54,23,8,0,0,0,0,4,0.33,4,0,0,0,0,0
Steven Alzate,COL,MF,Brighton,Premier League,22,1998,4.5,7,1.56,7,0,0,0,0,0,1,0.22,1,0,0,0,0,0
Ibrahim Amadou,FRA,DF,Metz,Ligue 1,28,1993,9.0,5,0.55,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,19,2001,0.9,1,1.14,1,0,0,0,0,0,1,1.14,1,0,0,0,0,0
Daniel Amartey,GHA,DF,Leicester City,Premier League,26,1994,23.6,17,0.72,16,0,0,0,0,1,1,0.04,1,0,0,0,0,0
Amath,SEN,FW,Mallorca,La Liga,25,1996,9.8,18,1.83,10,0,1,2,4,1,2,0.20,1,0,0,1,0,0
Jordan Amavi,FRA,DF,Nice,Ligue 1,27,1994,4.6,5,1.09,4,0,0,0,1,0,1,0.22,0,0,0,0,1,0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,27,1994,1.4,1,0.70,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Wisdom Amey,ITA,DF,Bologna,Serie A,15,2005,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kelvin Amian,FRA,DF,Spezia,Serie A,23,1998,29.4,28,0.95,21,1,2,2,2,0,1,0.03,1,0,0,0,0,0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,24,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0
Nadiem Amiri,GER,MF,Genoa,Serie A,24,1996,7.6,29,3.82,22,4,2,0,1,0,1,0.13,1,0,0,0,0,0
Ethan Ampadu,WAL,MF,Venezia,Serie A,20,2000,25.4,36,1.42,34,1,1,0,0,0,5,0.20,5,0,0,0,0,0
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,24,1996,10.5,16,1.53,13,0,0,0,2,1,0,0.00,0,0,0,0,0,0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,25,1996,32.4,33,1.02,29,1,0,1,0,2,5,0.15,4,0,0,1,0,0
Felipe Anderson,BRA,FW,Lazio,Serie A,28,1993,32.1,102,3.18,80,3,7,3,9,0,17,0.53,11,0,4,2,0,0
Sebastian Andersson,SWE,FW,Köln,Bundesliga,30,1991,14.0,22,1.58,18,0,0,1,2,1,4,0.29,3,0,0,0,1,0
Florin Andone,ROU,FW,Cádiz,La Liga,28,1993,2.0,4,2.05,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Andrés Andrade Cedeño,PAN,DF,Arminia,Bundesliga,22,1998,11.6,6,0.52,5,0,0,1,0,0,1,0.09,1,0,0,0,0,0
Benjamin André,FRA,MF,Lille,Ligue 1,30,1990,30.6,43,1.41,35,0,2,3,1,2,4,0.13,3,0,0,1,0,0
Fredrik André Bjørkan,NOR,DF,Hertha BSC,Bundesliga,22,1998,3.9,7,1.78,5,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Robert Andrich,GER,MF,Leverkusen,Bundesliga,26,1994,20.2,31,1.54,21,0,2,4,3,1,5,0.25,2,0,0,3,0,0
José Ángel,ESP,DF,Osasuna,La Liga,31,1989,12.0,16,1.33,14,1,0,1,0,0,2,0.17,1,0,0,1,0,0
Angeliño,ESP,DF,RB Leipzig,Bundesliga,24,1997,25.5,81,3.17,51,23,2,3,1,1,10,0.39,6,4,0,0,0,0
