Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,10.6,18,1.70,14,1,0,2,1,0,2,0.19,1,0,0,0,1,0
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,8.3,20,2.41,16,0,1,1,2,0,4,0.48,3,0,0,0,1,0
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,2.1,6,2.87,3,0,0,1,2,0,0,0.00,0,0,0,0,0,0
Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,1,0.39,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Amine Adli,FRA,MF,Toulouse,Ligue 1,19,2000,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,2000,11.3,38,3.35,25,5,4,2,1,1,7,0.62,3,1,2,1,0,0
Adrián,ESP,GK,Liverpool,Premier League,32,1987,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,1981,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,1996,20.1,33,1.65,23,4,2,1,3,0,0,0.00,0,0,0,0,0,0
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,1996,23.3,23,0.99,18,1,2,0,2,0,3,0.13,3,0,0,0,0,0
Lucien Agoume,FRA,MF,Inter,Serie A,17,2002,0.8,2,2.65,2,0,0,0,0,0,1,1.32,1,0,0,0,0,0
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,1998,0.7,6,8.44,4,0,2,0,0,0,1,1.41,1,0,0,0,0,0
Kevin Agudelo,COL,MF,Genoa,Serie A,20,1998,7.4,31,4.19,21,0,5,0,1,4,2,0.27,1,0,0,0,0,1
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,1996,10.6,3,0.28,3,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,51,3.16,28,0,9,9,5,0,8,0.50,4,0,1,2,1,0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,26,1993,11.9,24,2.01,22,0,0,0,1,1,3,0.25,3,0,0,0,0,0
Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,Serie A,28,1990,2.6,3,1.17,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jean-Eudes Aholou,CIV,MF,Saint-Étienne,Ligue 1,25,1994,7.0,12,1.71,7,0,1,0,1,3,1,0.14,0,0,0,0,0,1
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,23,1995,27.8,13,0.47,9,1,1,2,0,0,2,0.07,2,0,0,0,0,0
Ola Aina,NGA,DF,Torino,Serie A,22,1996,23.1,46,1.99,25,11,4,0,5,1,7,0.30,3,2,0,0,2,0
Youssef Aït Bennasser,MAR,MF,Bordeaux,Ligue 1,23,1996,6.0,8,1.34,8,0,0,0,0,0,2,0.34,2,0,0,0,0,0
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,18,2001,14.2,21,1.47,16,3,0,0,1,1,3,0.21,3,0,0,0,0,0
Albian Ajeti,SUI,MF,West Ham,Premier League,22,1997,1.5,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,25,1994,22.9,36,1.57,27,0,3,3,2,1,10,0.44,6,0,1,1,2,0
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,24,1995,25.7,10,0.39,9,1,0,0,0,0,3,0.12,3,0,0,0,0,0
Marley Aké,FRA,FW,Marseille,Ligue 1,18,2001,1.1,4,3.64,3,0,1,0,0,0,1,0.91,1,0,0,0,0,0
Nathan Aké,NED,DF,Bournemouth,Premier League,24,1995,27.8,13,0.47,7,0,1,4,1,0,2,0.07,1,0,0,1,0,0
Chadrac Akolo,COD,FW,Amiens,Ligue 1,24,1995,6.0,17,2.81,9,0,2,2,1,3,4,0.66,1,0,1,1,0,1
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,24,1995,12.7,4,0.32,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,1992,27.8,38,1.37,33,2,1,2,0,0,2,0.07,1,1,0,0,0,0
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,21,1998,15.6,25,1.61,22,1,1,0,1,0,3,0.19,3,0,0,0,0,0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,26,1992,13.0,29,2.22,21,0,2,6,0,0,2,0.15,1,0,0,1,0,0
Jordi Alba,ESP,DF,Barcelona,La Liga,30,1989,24.3,45,1.85,44,1,0,0,0,0,5,0.21,5,0,0,0,0,0
Luis Alberto,ESP,MF,Lazio,Serie A,26,1992,34.6,205,5.93,135,37,16,12,2,3,28,0.81,22,2,0,2,1,1
Raúl Albiol,ESP,DF,Villarreal,La Liga,33,1985,36.0,16,0.44,16,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Marc Albrighton,ENG,MF,Leicester City,Premier League,29,1989,9.6,26,2.70,22,2,1,1,0,0,5,0.52,5,0,0,0,0,0
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,25,1993,5.9,14,2.38,10,1,2,0,1,0,3,0.51,2,1,0,0,0,0
Paco Alcácer,ESP,FW,Villarreal,La Liga,25,1993,10.3,16,1.56,14,0,0,1,1,0,3,0.29,2,0,0,0,1,0
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,28,1991,19.7,57,2.90,44,5,3,3,1,1,8,0.41,6,0,2,0,0,0
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,28,1991,21.4,44,2.06,24,6,5,4,5,0,4,0.19,4,0,0,0,0,0
Toby Alderweireld,BEL,DF,Tottenham,Premier League,30,1989,32.9,20,0.61,18,0,0,1,0,1,2,0.06,2,0,0,0,0,0
Haitam Aleesami,NOR,DF,Amiens,Ligue 1,28,1991,21.3,27,1.27,23,3,0,0,0,1,3,0.14,3,0,0,0,0,0
Álex Alegría,ESP,FW,Mallorca,La Liga,26,1992,1.2,1,0.83,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Carles Aleñá,ESP,MF,Betis,La Liga,21,1998,8.2,13,1.59,13,0,0,0,0,0,1,0.12,1,0,0,0,0,0
Carles Aleñá,ESP,MF,Barcelona,La Liga,21,1998,1.9,2,1.05,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,24,1995,10.0,3,0.30,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,20,1998,35.3,151,4.28,91,50,3,5,1,1,23,0.65,14,7,0,2,0,0
Enrico Alfonso,ITA,GK,Brescia,Serie A,31,1988,3.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rachid Alioui,MAR,FW,Angers,Ligue 1,27,1992,17.4,39,2.25,30,0,4,3,2,0,2,0.12,2,0,0,0,0,0
Alisson,BRA,GK,Liverpool,Premier League,26,1992,28.3,4,0.14,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0
Allan,BRA,MF,Napoli,Serie A,28,1991,14.2,41,2.88,36,0,4,0,0,1,3,0.21,3,0,0,0,0,0
Dele Alli,ENG,MF,Tottenham,Premier League,23,1996,20.5,54,2.63,39,1,9,2,2,1,12,0.58,5,0,5,2,0,0
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,25,1994,33.6,80,2.38,58,0,7,5,7,3,2,0.06,2,0,0,0,0,0
Marcos Alonso,ESP,DF,Chelsea,Premier League,28,1990,15.9,47,2.96,36,5,1,2,3,0,6,0.38,4,0,0,0,2,0
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,30,1989,15.3,17,1.11,12,4,0,0,1,0,3,0.20,2,1,0,0,0,0
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,32,1986,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergio Álvarez,ESP,MF,Eibar,La Liga,27,1992,12.7,12,0.94,10,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,24,1995,31.2,19,0.61,17,0,0,0,1,1,1,0.03,1,0,0,0,0,0
Bruno Alves,POR,DF,Parma,Serie A,37,1981,29.7,15,0.51,11,1,0,2,0,1,0,0.00,0,0,0,0,0,0
Steven Alzate,COL,MF,Brighton,Premier League,20,1998,13.2,30,2.27,22,0,5,2,1,0,1,0.08,0,0,0,0,1,0
Ibrahim Amadou,FRA,MF,Leganés,La Liga,26,1993,8.6,2,0.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ibrahim Amadou,FRA,DF,Norwich City,Premier League,26,1993,8.4,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,29,1989,18.8,27,1.43,18,0,3,2,3,1,2,0.11,2,0,0,0,0,0
Amath,SEN,MF,Getafe,La Liga,23,1996,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,25,1994,24.0,27,1.12,21,1,1,1,1,2,2,0.08,2,0,0,0,0,0
Thierry Ambrose,GLP,FW,Metz,Ligue 1,22,1997,6.1,23,3.78,17,0,4,1,1,0,0,0.00,0,0,0,0,0,0
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,21,1998,18.1,11,0.61,10,0,0,1,0,0,1,0.06,1,0,0,0,0,0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,22,1996,20.6,89,4.31,57,22,6,2,2,0,9,0.44,8,0,0,0,1,0
Ethan Ampadu,WAL,DF,RB Leipzig,Bundesliga,18,2000,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Opoku Ampomah,GHA,FW,Düsseldorf,Bundesliga,23,1996,5.6,17,3.06,11,0,4,1,1,0,0,0.00,0,0,0,0,0,0
Sofyan Amrabat,MAR,MF,Hellas Verona,Serie A,22,1996,32.4,75,2.31,63,0,5,0,4,3,5,0.15,4,0,0,0,1,0
Joachim Andersen,DEN,DF,Lyon,Ligue 1,23,1996,17.0,12,0.71,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Djavan Anderson,NED,DF,Lazio,Serie A,24,1995,1.9,2,1.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Felipe Anderson,BRA,MF,West Ham,Premier League,26,1993,16.6,58,3.49,44,2,5,3,3,1,8,0.48,7,0,1,0,0,0
Sebastian Andersson,SWE,FW,Union Berlin,Bundesliga,28,1991,29.8,46,1.54,34,0,4,5,2,1,7,0.23,1,0,2,4,0,0
Florin Andone,ROU,MF,Brighton,Premier League,26,1993,0.8,1,1.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Benjamin André,FRA,MF,Lille,Ligue 1,28,1990,22.8,43,1.88,34,0,3,1,1,4,5,0.22,4,0,0,0,0,1
Lorenzo Andrenacci,ITA,GK,Brescia,Serie A,24,1995,5.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Robert Andrich,GER,MF,Union Berlin,Bundesliga,24,1994,28.6,78,2.73,53,5,4,9,5,2,5,0.17,4,0,0,0,1,0
Victorien Angban,CIV,MF,Metz,Ligue 1,22,1996,11.4,11,0.96,10,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,29,1990,8.8,18,2.05,14,0,1,0,3,0,2,0.23,1,0,0,0,1,0
José Ángel,ESP,DF,Eibar,La Liga,29,1989,26.2,51,1.94,35,10,0,3,2,1,5,0.19,4,0,0,1,0,0
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Angeliño,ESP,DF,Manchester City,Premier League,22,1997,4.7,14,2.98,13,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Angeliño,ESP,DF,RB Leipzig,Bundesliga,22,1997,12.2,39,3.21,24,10,4,1,0,0,5,0.41,3,1,1,0,0,0
Faustino Anjorin,ENG,FW,Chelsea,Premier League,17,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Peter Ankersen,DEN,DF,Genoa,Serie A,28,1990,11.8,21,1.78,17,0,3,1,0,0,1,0.08,1,0,0,0,0,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,32,1986,19.6,58,2.95,42,4,5,2,2,3,8,0.41,6,0,2,0,0,0
Janis Antiste,FRA,MF,Toulouse,Ligue 1,16,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michail Antonio,JAM,FW,West Ham,Premier League,29,1990,19.6,59,3.00,31,1,15,5,6,1,7,0.36,2,0,2,2,1,0
Antoñito,ESP,DF,Valladolid,La Liga,31,1987,11.4,19,1.66,16,1,0,0,0,2,0,0.00,0,0,0,0,0,0
Mirko Antonucci,ITA,FW,Roma,Serie A,20,1999,0.9,2,2.20,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Vitorino Antunes,POR,MF,Getafe,La Liga,32,1987,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christopher Antwi-Adjei,GHA,MF,Paderborn 07,Bundesliga,25,1994,27.4,80,2.91,53,8,9,2,7,1,5,0.18,3,1,1,0,0,0
Anuar,MAR,MF,Valladolid,La Liga,24,1995,2.1,2,0.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Houssem Aouar,FRA,MF,Lyon,Ligue 1,21,1998,21.7,69,3.17,45,1,8,6,7,2,10,0.46,9,0,0,1,0,0
Adil Aouchiche,FRA,MF,Paris S-G,Ligue 1,17,2002,0.7,1,1.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dennis Appiah,FRA,DF,Nantes,Ligue 1,27,1992,17.8,18,1.01,13,4,0,0,0,1,0,0.00,0,0,0,0,0,0
Mauro Arambarri,URU,MF,Getafe,La Liga,23,1995,34.1,37,1.09,19,7,2,4,5,0,4,0.12,3,1,0,0,0,0
Guilherme Arana,BRA,DF,Atalanta,Serie A,22,1997,0.9,2,2.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,30,1989,23.5,42,1.78,38,1,0,0,2,1,4,0.17,4,0,0,0,0,0
Luiz Araújo,BRA,FW,Lille,Ligue 1,23,1996,9.2,31,3.37,16,1,8,2,3,1,2,0.22,1,0,0,1,0,0
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,27,1991,32.1,7,0.22,4,0,1,2,0,0,3,0.09,2,0,0,1,0,0
Ronald Araújo,URU,DF,Barcelona,La Liga,20,1999,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anaitz Arbilla,ESP,DF,Eibar,La Liga,32,1987,22.3,20,0.90,15,3,0,2,0,0,2,0.09,2,0,0,0,0,0
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,26,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Santiago Arias,COL,DF,Atlético Madrid,La Liga,27,1992,12.0,21,1.76,18,2,0,1,0,0,2,0.17,2,0,0,0,0,0
Nicolò Armini,ITA,DF,Lazio,Serie A,18,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Stuart Armstrong,SCO,MF,Southampton,Premier League,27,1992,19.1,50,2.62,37,0,4,4,3,2,9,0.47,5,0,1,2,0,1
José Arnaiz,ESP,MF,Leganés,La Liga,24,1995,3.7,14,3.74,8,2,3,0,1,0,0,0.00,0,0,0,0,0,0
José Arnaiz,ESP,FW,Osasuna,La Liga,24,1995,8.8,15,1.71,10,0,0,1,4,0,2,0.23,1,0,0,0,1,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,25,1994,31.3,121,3.86,51,49,4,8,8,1,13,0.41,5,5,0,2,1,0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,24,1994,33.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Kwadwo Asamoah,GHA,DF,Inter,Serie A,30,1988,7.1,16,2.25,16,0,0,0,0,0,3,0.42,3,0,0,0,0,0
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,22,1997,7.0,4,0.57,4,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Sergio Asenjo,ESP,GK,Villarreal,La Liga,30,1989,34.0,3,0.09,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,23,1996,3.7,11,2.95,8,0,2,1,0,0,1,0.27,1,0,0,0,0,0
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,18,2001,0.8,5,5.92,3,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,31,1987,36.2,107,2.95,76,1,10,5,11,4,12,0.33,6,0,4,0,2,0
Roger Assalé,CIV,FW,Leganés,La Liga,25,1993,5.9,19,3.22,13,0,1,0,5,0,3,0.51,1,0,0,0,2,0
Youcef Atal,ALG,FW,Nice,Ligue 1,23,1996,11.1,32,2.87,18,0,9,1,3,1,2,0.18,1,0,0,0,1,0
Miguel Atienza,ESP,MF,Eibar,La Liga,20,1999,0.3,1,3.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Christian Atsu,GHA,FW,Newcastle Utd,Premier League,27,1992,8.3,23,2.76,17,2,2,0,1,1,3,0.36,2,1,0,0,0,0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,30,1989,34.8,56,1.61,38,0,7,4,5,2,10,0.29,6,0,0,2,1,1
Emil Audero,ITA,GK,Sampdoria,Serie A,22,1997,36.0,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tommaso Augello,ITA,DF,Sampdoria,Serie A,24,1994,12.6,40,3.17,35,2,2,0,0,1,3,0.24,3,0,0,0,0,0
Jean-Kévin Augustin,FRA,FW,Monaco,Ligue 1,22,1997,3.0,7,2.37,2,0,1,0,4,0,2,0.68,0,0,0,0,2,0
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,25,1994,10.3,20,1.95,15,4,0,0,1,0,1,0.10,1,0,0,0,0,0
Serge Aurier,CIV,DF,Tottenham,Premier League,26,1992,30.0,48,1.60,43,2,2,0,0,1,5,0.17,4,0,1,0,0,0
Mathias Autret,FRA,MF,Brest,Ligue 1,28,1991,13.6,56,4.12,35,14,2,2,1,2,5,0.37,4,0,0,1,0,0
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,25,1994,17.7,50,2.83,29,0,7,5,7,2,7,0.40,3,0,1,0,2,1
Javier Avilés,ESP,MF,Leganés,La Liga,21,1997,2.0,6,2.93,5,0,1,0,0,0,2,0.98,1,0,1,0,0,0
Chidozie Awaziem,NGA,DF,Leganés,La Liga,22,1997,22.2,10,0.45,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Taiwo Awoniyi,NGA,FW,Mainz 05,Bundesliga,21,1997,5.4,12,2.24,10,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Florian Ayé,FRA,FW,Brescia,Serie A,22,1997,15.3,30,1.96,16,1,4,6,3,0,1,0.07,0,0,0,0,1,0
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,27,1991,35.0,68,1.94,43,0,11,1,11,2,7,0.20,3,0,3,0,1,0
Kaan Ayhan,TUR,DF,Düsseldorf,Bundesliga,24,1994,30.3,31,1.02,27,0,0,1,0,3,3,0.10,3,0,0,0,0,0
Ramon Azeez,NGA,MF,Granada,La Liga,26,1992,15.1,17,1.12,11,1,0,2,1,2,1,0.07,1,0,0,0,0,0
César Azpilicueta,ESP,DF,Chelsea,Premier League,29,1989,35.9,80,2.23,71,2,1,2,3,1,7,0.20,6,1,0,0,0,0
Ludovic Baal,GUF,DF,Brest,Ligue 1,33,1986,9.2,20,2.18,17,1,1,0,1,0,1,0.11,1,0,0,0,0,0
Iddrisu Baba,GHA,MF,Mallorca,La Liga,23,1996,32.3,25,0.78,24,0,0,0,1,0,1,0.03,1,0,0,0,0,0
Khouma Babacar,SEN,FW,Lecce,Serie A,26,1993,15.8,46,2.91,27,0,6,5,7,1,5,0.32,0,0,1,1,3,0
Carlos Bacca,COL,FW,Villarreal,La Liga,32,1986,7.6,12,1.57,7,0,3,0,2,0,2,0.26,1,0,0,0,1,0
Milan Badelj,CRO,MF,Fiorentina,Serie A,30,1989,17.6,44,2.50,36,2,2,0,3,1,1,0.06,1,0,0,0,0,0
Matthias Bader,GER,DF,Köln,Bundesliga,22,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,18,2001,15.7,5,0.32,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Bastian Badu,FRA,FW,Montpellier,Ligue 1,19,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alex Baena,ESP,MF,Villarreal,La Liga,18,2001,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Stéphane Bahoken,CMR,FW,Angers,Ligue 1,27,1992,10.1,21,2.08,16,0,0,3,1,1,3,0.30,2,0,0,1,0,0
Daniel Baier,GER,MF,Augsburg,Bundesliga,35,1984,21.6,33,1.53,27,0,1,1,3,1,4,0.19,3,0,0,0,1,0
Leon Bailey,JAM,FW,Leverkusen,Bundesliga,21,1997,12.1,41,3.39,22,10,3,4,2,0,8,0.66,4,2,0,1,1,0
Eric Bailly,CIV,DF,Manchester Utd,Premier League,25,1994,1.7,1,0.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dénys Bain,FRA,DF,Brest,Ligue 1,26,1993,14.1,4,0.28,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leighton Baines,ENG,DF,Everton,Premier League,34,1984,4.5,12,2.67,8,3,0,0,1,0,0,0.00,0,0,0,0,0,0
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,17,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tiemoué Bakayoko,FRA,MF,Monaco,Ligue 1,24,1994,19.1,30,1.57,18,0,3,2,5,2,3,0.16,2,0,1,0,0,0
Lewis Baker,ENG,MF,Düsseldorf,Bundesliga,24,1995,6.1,15,2.48,7,2,2,1,3,0,1,0.17,1,0,0,0,0,0
Mitchel Bakker,NED,DF,Paris S-G,Ligue 1,19,2000,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ridle Baku,GER,DF,Mainz 05,Bundesliga,21,1998,26.1,65,2.49,51,3,3,2,6,0,10,0.38,9,1,0,0,0,0
Fabián Balbuena,PAR,DF,West Ham,Premier League,27,1991,13.1,4,0.31,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Keita Baldé,SEN,FW,Monaco,Ligue 1,24,1995,9.5,22,2.31,15,0,2,2,3,0,5,0.52,3,0,0,1,1,0
George Baldock,GRE,DF,Sheffield Utd,Premier League,26,1993,38.0,65,1.71,52,4,6,0,3,0,6,0.16,4,0,1,0,1,0
Gareth Bale,WAL,FW,Real Madrid,La Liga,30,1989,12.1,33,2.73,21,2,5,3,2,0,7,0.58,6,0,0,1,0,0
Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,31,1988,6.3,2,0.32,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leonardo Balerdi,ARG,DF,Dortmund,Bundesliga,20,1999,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marco Ballarini,ITA,MF,Udinese,Serie A,18,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fodé Ballo-Touré,SEN,DF,Monaco,Ligue 1,22,1997,18.7,27,1.45,17,3,3,1,2,1,0,0.00,0,0,0,0,0,0
Florent Balmont,FRA,MF,Dijon,Ligue 1,39,1980,4.5,9,2.02,5,2,0,2,0,0,0,0.00,0,0,0,0,0,0
Mario Balotelli,ITA,FW,Brescia,Serie A,28,1990,15.6,33,2.12,17,0,2,8,6,0,1,0.06,1,0,0,0,0,0
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,29,1990,6.2,3,0.49,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jonathan Bamba,FRA,FW,Lille,Ligue 1,23,1996,21.5,77,3.58,45,12,8,7,4,1,7,0.33,5,0,0,1,1,0
Éver Banega,ARG,MF,Sevilla,La Liga,31,1988,27.5,116,4.22,67,37,3,2,6,1,12,0.44,7,3,1,0,1,0
Mattia Bani,ITA,DF,Bologna,Serie A,25,1993,24.5,8,0.33,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0
Antonín Barák,CZE,MF,Udinese,Serie A,24,1994,2.2,6,2.78,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
