Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Nacho Monreal,ESP,DF,Arsenal,Premier League,33,1986,3.0,0,1,0,0.0,0.33,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Joan Monterde,ESP,MF,Levante,La Liga,21,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ilario Monterisi,ITA,DF,Lecce,Serie A,17,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ángel Montoro,ESP,MF,Granada,La Liga,31,1988,10.8,2,14,5,35.7,1.29,0.46,0.14,0.40,27.1,1,0,0,1.2,1.2,0.09,+0.8,+0.8
Martín Montoya,ESP,DF,Brighton,Premier League,28,1991,21.1,0,8,3,37.5,0.38,0.14,0.00,0.00,16.6,0,0,0,1.3,1.3,0.16,-1.3,-1.3
Simon Moore,ENG,GK,Sheffield Utd,Premier League,29,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aaron Mooy,AUS,MF,Brighton,Premier League,28,1990,23.2,2,33,8,24.2,1.42,0.35,0.06,0.25,19.8,0,0,0,2.0,2.0,0.06,0.0,0.0
Wesley Moraes,BRA,FW,Aston Villa,Premier League,22,1996,19.8,5,35,17,48.6,1.77,0.86,0.14,0.29,12.0,0,0,1,5.0,4.2,0.12,0.0,+0.8
Alfredo Morales,USA,MF,Düsseldorf,Bundesliga,29,1990,19.2,1,21,5,23.8,1.09,0.26,0.05,0.20,19.5,1,0,0,1.0,1.0,0.05,0.0,0.0
Álvaro Morata,ESP,FW,Atlético Madrid,La Liga,26,1992,23.3,12,64,27,42.2,2.75,1.16,0.16,0.37,12.0,0,2,3,13.1,10.9,0.17,-1.1,-0.9
Jan Morávek,CZE,MF,Augsburg,Bundesliga,29,1989,5.3,0,2,0,0.0,0.38,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Steven Moreira,FRA,DF,Toulouse,Ligue 1,24,1994,15.4,0,6,0,0.0,0.39,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Jérémy Morel,MAD,DF,Rennes,Ligue 1,35,1984,20.1,1,13,3,23.1,0.65,0.15,0.08,0.33,16.0,0,0,0,1.0,1.0,0.08,0.0,0.0
