Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
Aritz Castro,ESP,GK,Alavés,La Liga,21,1998,0,,,,,0,,0,0,,16,,,,,,,,,,,
Jonny Castro,ESP,DF,Wolves,Premier League,25,1994,35,2887,82,84.4,32.1,33,87,27,2,12,1,1.57,42,35,+7,+0.22,-0.46,38.7,30.0,+8.6,+0.27,-0.34
Lucas Castro,ARG,MF,Cagliari,Serie A,30,1989,15,606,40,17.7,6.7,6,70,1,9,20,2,1.87,12,6,+6,+0.89,+1.21,6.3,8.6,-2.3,-0.34,+0.10
Lucas Castro,ARG,MF,SPAL,Serie A,30,1989,7,425,61,12.4,4.7,6,67,0,1,22,7,0.00,3,11,-8,-1.69,-0.43,4.2,7.5,-3.4,-0.72,+0.03
Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,22,1997,33,2673,81,78.2,29.7,31,84,18,2,34,1,1.36,36,37,-1,-0.03,-0.52,40.4,36.3,+4.1,+0.14,-0.07
Danilo Cataldi,ITA,MF,Lazio,Serie A,24,1994,21,592,28,17.3,6.6,3,69,0,18,21,12,2.10,18,7,+11,+1.67,+0.84,11.8,13.3,-1.6,-0.24,-0.89
Craig Cathcart,NIR,DF,Watford,Premier League,30,1989,29,2488,86,72.7,27.6,28,87,26,1,45,7,0.90,25,37,-12,-0.43,+1.11,30.6,36.7,-6.1,-0.22,+0.37
Edinson Cavani,URU,FW,Paris S-G,Ligue 1,32,1987,14,605,43,24.9,6.7,7,73,3,7,13,2,2.29,15,9,+6,+0.89,-1.33,18.6,6.2,+12.4,+1.84,+0.09
Marijan Ćavar,BIH,MF,Eint Frankfurt,Bundesliga,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Santi Cazorla,ESP,MF,Villarreal,La Liga,34,1984,35,2450,70,71.6,27.2,29,80,14,6,23,0,1.60,45,39,+6,+0.22,-0.52,41.4,31.1,+10.3,+0.38,+0.15
Dani Ceballos,ESP,MF,Arsenal,Premier League,22,1996,24,1692,71,49.5,18.8,18,80,6,6,42,4,1.75,29,21,+8,+0.43,+0.43,23.0,27.2,-4.1,-0.22,-0.05
Federico Ceccherini,ITA,DF,Fiorentina,Serie A,27,1992,15,835,56,24.4,9.3,8,85,6,7,23,23,1.27,6,15,-9,-0.97,-1.39,13.8,13.5,+0.2,+0.03,-0.17
Christian Celesia,ITA,DF,Torino,Serie A,17,2002,1,1,1,0.0,0.0,0,,0,1,1,5,1.00,0,0,0,0.00,+0.58,0.3,0.0,+0.3,+25.40,+25.94
Zeki Çelik,TUR,DF,Lille,Ligue 1,22,1997,23,2070,90,82.1,23.0,23,90,23,0,,3,1.83,30,22,+8,+0.35,+0.35,33.0,23.3,+9.7,+0.42,+0.39
Fabien Centonze,FRA,DF,Metz,Ligue 1,23,1996,28,2520,90,100.0,28.0,28,90,28,0,,0,1.21,27,35,-8,-0.29,,27.2,34.0,-6.8,-0.24,
Luca Ceppitelli,ITA,DF,Cagliari,Serie A,29,1989,16,1246,78,36.4,13.8,15,83,12,1,1,4,1.44,20,17,+3,+0.22,+0.51,13.5,18.7,-5.2,-0.38,+0.06
Fabio Ceravolo,ITA,FW,Parma,Serie A,32,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,
Michele Cerofolini,ITA,GK,Fiorentina,Serie A,20,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alberto Cerri,ITA,FW,Cagliari,Serie A,23,1996,11,244,22,7.1,2.7,1,45,0,10,20,9,1.27,5,7,-2,-0.74,-0.68,2.9,5.2,-2.3,-0.87,-0.48
Alberto Cerri,ITA,FW,SPAL,Serie A,23,1996,8,420,53,12.3,4.7,5,76,2,3,14,2,0.00,3,17,-14,-3.00,-1.92,4.4,9.5,-5.0,-1.08,-0.38
Leonardo César Jardim,BRA,GK,Lille,Ligue 1,24,1995,0,,,,,0,,0,0,,28,,,,,,,,,,,
Sahverdi Cetin,GER,MF,Eint Frankfurt,Bundesliga,18,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,
Julian Chabot,GER,DF,Sampdoria,Serie A,21,1998,8,569,71,16.6,6.3,7,78,5,1,26,28,0.88,11,13,-2,-0.32,+0.16,9.0,11.0,-2.1,-0.33,-0.32
Florian Chabrolle,FRA,MF,Marseille,Ligue 1,21,1998,1,18,18,0.7,0.2,0,,0,1,17,14,0.00,0,1,-1,-5.00,-5.47,0.1,0.6,-0.5,-2.54,-2.71
Nacer Chadli,BEL,FW,Monaco,Ligue 1,29,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,
Fouad Chafik,MAR,DF,Dijon,Ligue 1,32,1986,20,1528,76,60.6,17.0,18,84,14,2,6,5,1.20,18,20,-2,-0.12,+0.61,17.9,24.9,-7.0,-0.41,+0.23
Sofian Chakla,MAR,DF,Villarreal,La Liga,25,1993,2,180,90,5.3,2.0,2,90,2,0,,9,1.50,2,2,0,0.00,-0.39,1.3,2.9,-1.6,-0.79,-1.18
Nathaniel Chalobah,ENG,MF,Watford,Premier League,24,1994,22,930,42,27.2,10.3,10,78,4,12,13,13,1.14,11,14,-3,-0.29,+0.61,12.1,15.8,-3.7,-0.36,-0.05
Calum Chambers,ENG,DF,Arsenal,Premier League,24,1995,14,1102,79,32.2,12.2,13,81,11,1,45,5,1.29,16,15,+1,+0.08,-0.19,16.2,13.3,+2.8,+0.23,+0.63
Jhon Chancellor,VEN,DF,Brescia,Serie A,27,1992,26,2244,86,65.6,24.9,26,86,24,0,,4,0.62,22,49,-27,-1.08,+0.22,25.9,48.0,-22.1,-0.88,+0.12
Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,29,1990,22,1220,55,39.9,13.6,12,87,9,10,18,12,1.14,22,25,-3,-0.22,-0.32,17.0,19.6,-2.6,-0.19,-0.52
Kwon Chang-hoon,KOR,MF,Freiburg,Bundesliga,25,1994,23,676,29,22.1,7.5,6,68,1,17,16,9,1.26,9,9,0,0.00,-0.04,10.6,14.4,-3.8,-0.50,+0.09
Gaëtan Charbonnier,FRA,FW,Brest,Ligue 1,30,1988,26,2065,79,81.9,22.9,23,87,17,3,24,0,1.31,31,29,+2,+0.09,+1.08,23.1,32.6,-9.5,-0.41,-0.22
Brendan Chardonnet,FRA,DF,Brest,Ligue 1,24,1994,12,823,69,32.7,9.1,9,88,8,3,11,9,1.25,7,13,-6,-0.66,-0.82,8.9,12.6,-3.7,-0.40,-0.05
Charles,BRA,FW,Eibar,La Liga,35,1984,30,1301,43,38.0,14.5,13,76,3,17,18,5,1.13,16,24,-8,-0.55,-0.17,15.8,18.8,-3.0,-0.21,+0.07
Xavier Chavalerin,FRA,MF,Reims,Ligue 1,28,1991,24,2147,89,85.2,23.9,24,89,23,0,,0,1.46,22,19,+3,+0.13,-0.36,24.0,21.3,+2.8,+0.12,+0.28
Pablo Chavarría,ARG,FW,Mallorca,La Liga,31,1988,13,209,16,6.1,2.3,1,58,0,12,13,11,0.85,2,3,-1,-0.43,+0.24,3.5,2.6,+0.9,+0.39,+1.01
Aurélien Chedjou,CMR,DF,Amiens,Ligue 1,34,1985,22,1971,90,78.2,21.9,22,90,21,0,,1,0.91,25,36,-11,-0.50,+0.81,22.3,24.9,-2.6,-0.12,+0.88
Pape Cheikh Diop,SEN,MF,Lyon,Ligue 1,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
Pape Cheikh Diop,SEN,MF,Celta Vigo,La Liga,21,1997,16,599,37,17.5,6.7,6,74,2,10,15,15,0.88,5,8,-3,-0.45,-0.16,5.8,7.7,-1.9,-0.28,-0.21
Chema,ESP,DF,Getafe,La Liga,27,1992,4,309,77,9.0,3.4,3,90,3,1,39,9,1.25,2,4,-2,-0.58,-0.81,2.9,4.4,-1.5,-0.45,-0.46
Rayan Cherki,FRA,MF,Lyon,Ligue 1,15,2003,6,143,24,5.7,1.6,1,60,0,5,17,6,1.00,3,3,0,0.00,-0.57,1.7,1.1,+0.6,+0.37,-0.04
Denis Cheryshev,RUS,MF,Valencia,La Liga,28,1990,24,926,39,27.1,10.3,9,73,1,15,18,4,1.42,11,20,-9,-0.87,-0.95,10.7,17.2,-6.5,-0.63,-0.43
James Chester,WAL,DF,Aston Villa,Premier League,30,1989,0,,,,,0,,0,0,,6,,,,,,,,,,,
Leandro Chichizola,ARG,GK,Getafe,La Liga,29,1990,0,,,,,0,,0,0,,38,,,,,,,,,,,
Giorgio Chiellini,ITA,DF,Juventus,Serie A,34,1984,4,202,51,5.9,2.2,3,63,1,1,13,4,2.50,4,1,+3,+1.34,+0.50,3.8,2.1,+1.7,+0.75,+0.04
Federico Chiesa,ITA,FW,Fiorentina,Serie A,21,1997,34,2637,78,77.1,29.3,31,82,16,3,29,1,1.44,41,33,+8,+0.27,+0.85,44.1,35.0,+9.0,+0.31,+0.68
Ben Chilwell,ENG,DF,Leicester City,Premier League,22,1996,27,2373,88,69.4,26.4,27,88,25,0,,1,1.67,48,26,+22,+0.83,+0.49,39.5,32.7,+6.8,+0.26,-0.63
Niccolò Chiorra,ITA,GK,Fiorentina,Serie A,18,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Vlad Chiricheș,ROU,DF,Napoli,Serie A,29,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,
Vlad Chiricheș,ROU,DF,Sassuolo,Serie A,29,1989,9,707,79,20.7,7.9,8,87,6,1,15,5,1.33,17,16,+1,+0.13,-0.04,11.1,13.8,-2.7,-0.34,-0.17
Gianmarco Chironi,ITA,GK,Lecce,Serie A,21,1997,0,,,,,0,,0,0,,10,,,,,,,,,,,
Tahith Chong,NED,FW,Manchester Utd,Premier League,19,1999,3,37,12,1.1,0.4,0,,0,3,12,4,2.00,0,0,0,0.00,-0.80,0.4,0.1,+0.3,+0.74,+0.17
Joris Chotard,FRA,MF,Montpellier,Ligue 1,17,2001,20,1251,63,49.6,13.9,13,84,8,7,23,5,1.55,19,17,+2,+0.14,+0.21,15.9,14.6,+1.3,+0.09,+0.32
Hamza Choudhury,ENG,MF,Leicester City,Premier League,21,1997,20,893,45,26.1,9.9,10,76,4,10,13,9,1.60,16,12,+4,+0.40,-0.38,11.1,10.5,+0.6,+0.06,-0.53
Mounir Chouiar,FRA,MF,Dijon,Ligue 1,20,1999,20,1506,75,59.8,16.7,18,80,8,2,34,0,1.05,17,18,-1,-0.06,+0.74,17.5,23.4,-5.9,-0.35,+0.38
Andreas Christensen,DEN,DF,Chelsea,Premier League,23,1996,21,1751,83,51.2,19.5,21,83,18,0,,14,1.62,37,33,+4,+0.21,-0.39,34.9,22.0,+12.9,+0.66,-0.19
Samuel Chukwueze,NGA,MF,Villarreal,La Liga,20,1999,37,2048,55,59.9,22.8,20,79,10,17,27,0,1.54,36,35,+1,+0.04,-0.81,35.4,28.8,+6.6,+0.29,-0.10
Darko Churlinov,MKD,FW,Köln,Bundesliga,19,2000,1,21,21,0.7,0.2,0,,0,1,21,1,0.00,1,0,+1,+4.29,+4.85,0.9,0.2,+0.7,+2.87,+3.01
Churripi,ESP,GK,Valladolid,La Liga,25,1994,3,244,81,7.1,2.7,3,81,2,0,,8,1.00,2,3,-1,-0.37,-0.09,2.6,3.3,-0.6,-0.23,+0.06
Luca Cigarini,ITA,MF,Cagliari,Serie A,33,1986,22,1598,73,46.7,17.8,19,82,10,3,14,8,1.32,31,30,+1,+0.06,+0.30,22.2,23.9,-1.7,-0.10,+0.60
Per Ciljan Skjelbred,NOR,MF,Hertha BSC,Bundesliga,32,1987,24,1628,68,53.2,18.1,21,75,10,3,15,5,1.50,30,19,+11,+0.61,+1.99,23.8,21.6,+2.2,+0.12,+0.95
Jasper Cillessen,NED,GK,Valencia,La Liga,30,1989,24,2096,87,61.3,23.3,24,87,23,0,,7,1.54,27,30,-3,-0.13,+0.14,25.1,30.3,-5.2,-0.22,+0.24
Giuseppe Ciocci,ITA,GK,Cagliari,Serie A,17,2002,0,,,,,0,,0,0,,13,,,,,,,,,,,
Thiago Cionek,POL,DF,SPAL,Serie A,33,1986,28,2169,77,63.4,24.1,23,88,22,5,29,7,0.57,18,41,-23,-0.95,+0.99,26.6,43.6,-16.9,-0.70,+0.12
Dennis Cirken,ENG,DF,Tottenham,Premier League,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ibrahim Cissé,CIV,DF,Nice,Ligue 1,20,1999,2,50,25,2.0,0.6,0,,0,2,24,1,1.50,1,1,0,0.00,-0.11,0.9,1.1,-0.2,-0.43,-0.20
Ibrahim Cissé,SEN,DF,Angers,Ligue 1,23,1996,1,60,60,2.4,0.7,1,60,0,0,,4,1.00,0,1,-1,-1.50,-1.35,0.5,0.6,-0.1,-0.10,-0.05
Andrea Cistana,ITA,DF,Brescia,Serie A,22,1997,21,1838,88,53.7,20.4,21,88,20,0,,2,0.62,17,35,-18,-0.88,+0.60,22.2,37.1,-15.0,-0.73,+0.42
Ciaran Clark,IRL,DF,Newcastle Utd,Premier League,29,1989,14,1186,85,34.7,13.2,14,85,11,0,,4,1.64,13,14,-1,-0.08,+0.69,10.4,20.6,-10.2,-0.78,-0.17
Leon Clarke,ENG,FW,Sheffield Utd,Premier League,34,1985,2,35,18,1.0,0.4,0,,0,2,18,2,0.00,0,2,-2,-5.14,-5.20,0.4,1.7,-1.3,-3.22,-3.09
Alexis Claude-Maurice,FRA,MF,Nice,Ligue 1,21,1998,22,1629,74,64.6,18.1,19,83,12,3,14,0,1.41,25,25,0,0.00,-0.30,21.9,28.3,-6.4,-0.35,-0.32
Christian Clemens,GER,MF,Köln,Bundesliga,27,1991,1,16,16,0.5,0.2,0,,0,1,16,1,0.00,0,0,0,0.00,+0.53,0.1,0.4,-0.3,-1.58,-1.46
Óscar Clemente,ESP,MF,Atlético Madrid,La Liga,20,1999,1,4,4,0.1,0.0,0,,0,1,4,0,0.00,0,1,-1,-22.50,-23.16,0.0,0.2,-0.2,-5.52,-6.10
Yannis Clementia,MTQ,GK,Nice,Ligue 1,22,1997,2,180,90,7.1,2.0,2,90,2,0,,26,3.00,4,2,+2,+1.00,+0.96,3.3,2.0,+1.2,+0.61,+0.92
Denilho Cleonise,NED,FW,Genoa,Serie A,17,2001,4,47,12,1.4,0.5,0,,0,4,12,3,0.50,0,0,0,0.00,+0.69,0.9,0.6,+0.3,+0.56,+0.88
Carlos Clerc,ESP,DF,Levante,La Liga,27,1992,23,1848,80,54.0,20.5,20,90,19,3,17,9,1.48,33,31,+2,+0.10,+0.56,24.9,32.8,-7.8,-0.38,+0.25
Tom Cleverley,ENG,MF,Watford,Premier League,29,1989,18,971,54,28.4,10.8,11,78,8,7,16,2,0.67,7,26,-19,-1.76,-1.43,13.2,21.3,-8.1,-0.75,-0.59
Conor Coady,ENG,DF,Wolves,Premier League,26,1993,38,3420,90,100.0,38.0,38,90,38,0,,0,1.55,51,40,+11,+0.29,,47.1,34.8,+12.3,+0.32,
Luca Coccolo,ITA,DF,Juventus,Serie A,21,1998,0,,,,,0,,0,0,,8,,,,,,,,,,,
Alex Cochrane,ENG,DF,Brighton,Premier League,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Marcus Coco,FRA,FW,Nantes,Ligue 1,23,1996,1,14,14,0.6,0.2,1,14,0,0,,0,0.00,0,0,0,0.00,+0.11,0.0,0.0,0.0,0.00,+0.21
Renaud Cohade,FRA,MF,Metz,Ligue 1,34,1984,12,764,64,30.3,8.5,9,77,2,3,23,8,0.83,7,17,-10,-1.18,-1.28,8.1,9.7,-1.6,-0.19,+0.07
Coke,ESP,DF,Levante,La Liga,32,1987,17,989,58,28.9,11.0,11,80,6,6,17,20,1.29,9,16,-7,-0.64,-0.67,11.7,18.3,-6.6,-0.60,-0.14
Silvio Colella,ITA,DF,Lecce,Serie A,17,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,
Séamus Coleman,IRL,DF,Everton,Premier League,30,1988,27,1839,68,53.8,20.4,21,81,15,6,24,6,1.30,19,28,-9,-0.44,-0.27,24.6,28.7,-4.2,-0.20,-0.49
Álex Collado,ESP,DF,Barcelona,La Liga,20,1999,1,6,6,0.2,0.1,0,,0,1,6,11,0.00,0,0,0,0.00,-1.27,0.4,0.0,+0.4,+6.32,+5.53
Ebrima Colley,GAM,FW,Atalanta,Serie A,19,2000,5,82,16,2.4,0.9,0,,0,5,16,14,2.00,2,2,0,0.00,-1.35,2.0,0.8,+1.2,+1.26,+0.20
Omar Colley,GAM,DF,Sampdoria,Serie A,26,1992,31,2772,89,81.1,30.8,30,90,30,1,72,5,1.06,37,53,-16,-0.52,-0.38,40.3,42.8,-2.5,-0.08,-0.13
Jamilu Collins,NGA,DF,Paderborn 07,Bundesliga,24,1994,30,2668,89,87.2,29.6,30,89,29,0,,0,0.67,31,60,-29,-0.98,+0.86,34.6,58.1,-23.5,-0.79,+0.26
Simone Colombi,ITA,GK,Parma,Serie A,28,1991,4,360,90,10.5,4.0,4,90,4,0,,34,1.00,3,4,-1,-0.25,-0.25,4.1,6.5,-2.4,-0.60,-0.21
Lorenzo Colombo,ITA,FW,Milan,Serie A,17,2002,1,9,9,0.3,0.1,0,,0,1,9,5,3.00,1,0,+1,+10.00,+9.58,0.4,0.1,+0.3,+2.57,+2.25
Racine Coly,SEN,DF,Nice,Ligue 1,23,1995,10,649,65,25.8,7.2,8,75,4,2,27,6,1.90,12,11,+1,+0.14,+0.04,9.9,11.9,-2.0,-0.27,-0.04
Kingsley Coman,FRA,FW,Bayern Munich,Bundesliga,23,1996,24,1505,63,49.2,16.7,17,79,8,7,24,2,2.17,49,18,+31,+1.85,-0.29,37.1,18.5,+18.6,+1.11,-0.54
Arnau Comas,ESP,DF,Barcelona,La Liga,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Mattia Compagnon,ITA,MF,Udinese,Serie A,17,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,
Alexandre Conceicao,POR,DF,Nice,Ligue 1,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
Daniel Congré,FRA,DF,Montpellier,Ligue 1,34,1985,24,1941,81,77.0,21.6,23,84,20,1,1,2,1.46,25,26,-1,-0.05,-0.36,24.7,25.1,-0.4,-0.02,+0.21
Aaron Connolly,IRL,FW,Brighton,Premier League,19,2000,24,1258,52,36.8,14.0,14,72,0,10,26,4,1.13,18,22,-4,-0.29,+0.17,15.6,19.8,-4.2,-0.30,+0.08
Andrea Consigli,ITA,GK,Sassuolo,Serie A,32,1987,31,2790,90,81.6,31.0,31,90,31,0,,2,1.32,58,55,+3,+0.10,-0.33,48.5,51.6,-3.1,-0.10,+0.57
Diego Contento,GER,DF,Düsseldorf,Bundesliga,29,1990,0,,,,,0,,0,0,,14,,,,,,,,,,,
Andrea Conti,ITA,DF,Milan,Serie A,25,1994,23,1725,75,50.4,19.2,21,81,15,2,14,11,1.78,30,29,+1,+0.05,-0.80,29.7,26.8,+2.9,+0.15,-0.36
Lewis Cook,ENG,MF,Bournemouth,Premier League,22,1997,27,1352,50,39.5,15.0,14,81,8,13,17,7,0.81,18,30,-12,-0.80,-0.23,17.1,23.7,-6.6,-0.44,-0.08
Steve Cook,ENG,DF,Bournemouth,Premier League,28,1991,29,2428,84,71.0,27.0,28,85,25,1,51,3,0.83,30,47,-17,-0.63,+0.10,32.6,43.0,-10.4,-0.39,+0.02
Francis Coquelin,FRA,MF,Valencia,La Liga,28,1991,26,1905,73,55.7,21.2,21,86,13,5,22,2,1.54,29,27,+2,+0.09,+0.63,24.1,27.7,-3.6,-0.17,+0.33
Gabriele Corbo,ITA,DF,Bologna,Serie A,19,2000,2,122,61,3.6,1.4,1,90,1,1,32,35,0.00,0,5,-5,-3.69,-3.47,1.9,3.2,-1.4,-1.00,-0.98
Sébastien Corchia,FRA,DF,Espanyol,La Liga,28,1990,3,269,90,7.9,3.0,3,90,2,0,,2,0.33,0,5,-5,-1.67,-0.93,2.0,2.3,-0.4,-0.12,+0.20
Iñigo Córdoba,ESP,FW,Athletic Club,La Liga,22,1997,24,1442,60,42.2,16.0,21,65,4,3,23,1,1.67,22,14,+8,+0.50,+0.73,16.3,18.6,-2.3,-0.14,+0.11
Jhon Córdoba,COL,FW,Köln,Bundesliga,26,1993,29,1998,69,65.3,22.2,23,80,10,6,26,1,1.03,36,41,-5,-0.23,+0.88,31.4,33.0,-1.6,-0.07,+0.14
Sergio Córdova,VEN,FW,Augsburg,Bundesliga,21,1997,16,367,23,12.0,4.1,4,63,0,12,10,5,1.38,9,5,+4,+0.98,+1.72,7.4,8.0,-0.5,-0.13,+0.28
Benjamin Corgnet,FRA,MF,Strasbourg,Ligue 1,32,1987,6,261,44,10.7,2.9,3,82,1,3,5,12,1.50,1,4,-3,-1.03,-1.16,3.6,4.0,-0.4,-0.15,-0.34
Jack Cork,ENG,MF,Burnley,Premier League,30,1989,30,2613,87,76.4,29.0,30,87,24,0,,0,1.40,31,41,-10,-0.34,-0.68,32.0,36.0,-4.0,-0.14,-0.10
Andreas Cornelius,DEN,FW,Parma,Serie A,26,1993,26,1494,57,43.7,16.6,17,73,11,9,29,3,1.46,32,19,+13,+0.78,+1.44,24.0,28.8,-4.7,-0.28,+0.22
Maxwel Cornet,CIV,FW,Lyon,Ligue 1,22,1996,22,1330,60,52.8,14.8,14,85,9,8,17,2,1.41,17,16,+1,+0.07,-0.99,19.5,12.7,+6.8,+0.46,+0.11
Quentin Cornette,FRA,FW,Amiens,Ligue 1,25,1994,13,349,27,13.8,3.9,3,73,0,10,13,4,0.46,4,4,0,0.00,+0.79,3.3,3.5,-0.2,-0.05,+0.30
Ángel Correa,ARG,MF,Atlético Madrid,La Liga,24,1995,33,2061,62,60.3,22.9,22,77,9,11,33,1,1.79,31,20,+11,+0.48,-0.38,30.8,19.3,+11.5,+0.50,-0.19
Joaquín Correa,ARG,FW,Lazio,Serie A,24,1994,30,2002,67,58.5,22.2,22,81,11,8,27,1,2.23,47,26,+21,+0.94,-0.07,40.1,28.7,+11.4,+0.51,+0.04
Rober Correa,ESP,DF,Eibar,La Liga,26,1992,12,929,77,27.2,10.3,11,84,7,1,5,9,0.75,8,17,-9,-0.87,-0.58,9.8,12.5,-2.7,-0.26,-0.02
Thierry Correia,POR,DF,Valencia,La Liga,20,1999,4,259,65,7.6,2.9,3,83,2,1,9,21,1.00,5,6,-1,-0.35,-0.18,3.3,5.2,-2.0,-0.69,-0.40
Antonio Cortés,ESP,FW,Granada,La Liga,19,2000,8,181,23,5.3,2.0,2,45,0,6,15,5,1.38,4,0,+4,+1.99,+1.91,3.3,2.0,+1.4,+0.68,+0.72
Edoardo Corvi,ITA,GK,Parma,Serie A,18,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,26,1993,19,1389,73,45.4,15.4,15,88,12,4,17,13,1.63,34,27,+7,+0.45,+0.88,29.1,22.4,+6.6,+0.43,+0.57
Diego Costa,ESP,FW,Atlético Madrid,La Liga,30,1988,23,1350,59,39.5,15.0,14,78,6,9,29,0,1.91,23,9,+14,+0.93,+0.50,19.7,12.5,+7.3,+0.48,-0.15
Douglas Costa,BRA,FW,Juventus,Serie A,28,1990,23,802,35,23.5,8.9,7,62,1,16,23,2,2.22,28,9,+19,+2.13,+1.65,18.0,8.3,+9.7,+1.08,+0.49
Jaume Costa,ESP,DF,Valencia,La Liga,31,1988,19,1389,73,40.6,15.4,15,83,10,4,38,14,1.58,20,17,+3,+0.19,+0.64,18.9,20.3,-1.3,-0.09,+0.38
João Paulo Santos Costa,POR,GK,Granada,La Liga,23,1996,0,,,,,0,,0,0,,11,,,,,,,,,,,
Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,35,1983,1,90,90,2.6,1.0,1,90,1,0,,37,1.00,1,1,0,0.00,+0.35,1.3,0.5,+0.8,+0.78,+0.85
Logan Costa,CPV,DF,Reims,Ligue 1,18,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Nuno da Costa,CPV,FW,Strasbourg,Ligue 1,28,1991,14,527,38,21.7,5.9,4,90,3,10,17,5,1.29,6,10,-4,-0.68,-0.87,6.6,7.5,-0.9,-0.16,-0.40
David Costas,ESP,DF,Celta Vigo,La Liga,24,1995,6,338,56,9.9,3.8,3,90,3,3,23,7,0.83,5,10,-5,-1.33,-1.13,5.1,5.9,-0.8,-0.22,-0.12
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,32,1987,28,2520,90,100.0,28.0,28,90,28,0,,0,1.32,40,34,+6,+0.21,,29.7,33.3,-3.6,-0.13,
Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,27,1991,21,1616,77,64.1,18.0,18,87,15,3,18,1,1.43,16,14,+2,+0.11,+0.61,18.6,17.0,+1.6,+0.09,+0.83
Senou Coulibaly,MLI,DF,Dijon,Ligue 1,24,1994,10,666,67,26.4,7.4,9,70,5,1,32,9,0.50,2,13,-11,-1.49,-1.54,7.4,14.8,-7.4,-1.01,-0.68
Yoann Court,FRA,FW,Brest,Ligue 1,29,1990,23,1465,64,58.1,16.3,18,77,6,5,14,0,1.17,20,22,-2,-0.12,-0.04,14.4,22.9,-8.5,-0.52,-0.35
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,27,1992,34,3060,90,89.5,34.0,34,90,34,0,,2,2.26,60,20,+40,+1.18,-0.07,56.6,23.9,+32.7,+0.96,+0.42
Philippe Coutinho,BRA,MF,Bayern Munich,Bundesliga,27,1992,23,1411,61,46.1,15.7,15,81,5,8,24,2,2.35,45,13,+32,+2.04,+0.08,37.9,13.2,+24.7,+1.58,+0.35
Conor Coventry,IRL,MF,West Ham,Premier League,19,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Maurice Covic,GER,MF,Hertha BSC,Bundesliga,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,20,1999,7,556,79,22.1,6.2,6,86,5,1,42,5,2.29,10,3,+7,+1.13,+1.41,6.8,5.8,+1.0,+0.16,+0.29
Alessio Cragno,ITA,GK,Cagliari,Serie A,25,1994,16,1440,90,42.1,16.0,16,90,16,0,,3,0.75,13,21,-8,-0.50,-0.68,16.2,24.1,-7.9,-0.49,-0.13
Aaron Cresswell,ENG,DF,West Ham,Premier League,29,1989,31,2727,88,79.7,30.3,31,88,28,0,,0,0.97,41,51,-10,-0.33,+0.06,36.8,47.2,-10.4,-0.34,+0.23
Noah Crétier,FRA,DF,Nice,Ligue 1,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Domenico Criscito,ITA,DF,Genoa,Serie A,32,1986,26,2053,79,60.0,22.8,24,82,20,2,39,1,1.15,28,43,-15,-0.66,+0.07,28.7,37.5,-8.8,-0.38,-0.18
Bryan Cristante,ITA,MF,Roma,Serie A,24,1995,26,1616,62,47.3,18.0,18,81,13,8,19,0,1.73,43,31,+12,+0.67,-0.03,36.1,24.6,+11.5,+0.64,0.00
Cristian,ESP,GK,Valencia,La Liga,21,1998,0,,,,,0,,0,0,,7,,,,,,,,,,,
Sebastián Cristóforo,URU,MF,Eibar,La Liga,25,1993,18,877,49,25.6,9.7,9,81,4,9,17,1,1.28,11,12,-1,-0.10,+0.46,11.3,11.3,0.0,0.00,+0.33
