Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Memphis Depay,NED,FW,Lyon,Ligue 1,25,1994,11.3,0,0,0,10,18,3,15,4,9,1,0,0,53,2,11,15.4
Kastriot Dermaku,ALB,DF,Parma,Serie A,27,1992,11.4,2,0,0,15,4,0,0,7,6,0,1,0,77,29,11,72.5
Daniele Dessena,ITA,MF,Brescia,Serie A,32,1987,20.8,7,1,1,29,24,0,11,6,15,2,1,0,166,22,28,44.0
Mattia Destro,ITA,FW,Bologna,Serie A,28,1991,2.1,2,0,0,6,2,1,0,2,3,0,0,0,5,2,13,13.3
Mattia Destro,ITA,FW,Genoa,Serie A,28,1991,1.7,0,0,0,3,3,1,0,2,0,0,0,0,5,4,10,28.6
Gerard Deulofeu,ESP,FW,Watford,Premier League,25,1994,23.3,3,0,0,29,29,18,59,26,21,1,0,0,164,3,15,16.7
Deyverson,BRA,FW,Getafe,La Liga,28,1991,2.3,2,0,0,9,0,1,1,1,0,0,0,0,14,15,10,60.0
Samuel Di Carmine,ITA,FW,Hellas Verona,Serie A,30,1988,14.4,3,0,0,35,31,17,9,0,2,2,0,0,49,29,45,39.2
Federico Di Francesco,ITA,FW,SPAL,Serie A,25,1994,12.0,4,0,0,25,33,4,22,4,6,1,0,0,71,7,16,30.4
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,25,1993,33.0,5,0,0,38,58,3,53,13,43,0,0,0,234,65,52,55.6
Ángel Di María,ARG,FW,Paris S-G,Ligue 1,31,1988,22.2,2,0,0,13,24,6,91,10,13,0,0,0,142,1,4,20.0
Boulaye Dia,SEN,FW,Reims,Ligue 1,22,1996,20.1,0,0,0,28,28,14,9,9,13,1,0,0,84,27,80,25.2
Fousseni Diabaté,MLI,FW,Amiens,Ligue 1,23,1995,13.2,3,0,0,14,13,2,28,8,10,0,0,0,115,9,14,39.1
Moussa Diaby,FRA,FW,Leverkusen,Bundesliga,20,1999,19.7,3,0,0,15,22,9,85,8,4,0,0,0,118,3,14,17.6
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,22,1996,16.0,5,0,0,19,16,2,1,4,10,0,1,0,136,35,20,63.6
Bafodé Diakité,FRA,DF,Toulouse,Ligue 1,18,2001,15.2,1,1,0,6,4,0,5,15,14,0,0,0,131,25,17,59.5
Abdou Diallo,SEN,DF,Paris S-G,Ligue 1,23,1996,13.3,4,0,0,23,6,0,6,8,10,0,0,0,123,17,11,60.7
Amad Diallo,CIV,FW,Atalanta,Serie A,17,2002,0.3,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,
Habib Diallo,SEN,FW,Metz,Ligue 1,24,1995,24.4,2,1,0,36,26,17,12,4,2,0,0,0,102,99,161,38.1
Ibrahima Diallo,FRA,MF,Brest,Ligue 1,20,1999,17.3,2,0,0,25,28,0,3,15,38,0,0,0,199,17,13,56.7
Moussa Diarra,MLI,DF,Toulouse,Ligue 1,18,2000,1.0,0,0,0,0,1,0,0,3,1,0,0,0,10,3,3,50.0
Lucas Dias,FRA,GK,Nîmes,Ligue 1,20,1999,3.5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
Amadou Diawara,GUI,MF,Roma,Serie A,22,1997,16.9,4,0,0,30,19,0,2,18,32,0,0,0,155,9,9,50.0
Brahim Díaz,ESP,FW,Real Madrid,La Liga,19,1999,0.7,1,0,0,2,6,0,1,2,1,0,0,0,6,0,1,0.0
Víctor Díaz,ESP,DF,Granada,La Liga,31,1988,32.0,4,0,0,28,13,1,69,27,45,0,0,0,304,54,45,54.5
Bakaye Dibassy,MLI,DF,Amiens,Ligue 1,29,1989,20.8,5,1,0,19,16,0,7,34,19,0,0,1,179,24,36,40.0
Eric Dier,ENG,DF,Tottenham,Premier League,25,1994,14.9,5,0,0,24,6,1,1,6,14,0,1,0,170,79,36,68.7
Lucas Digne,FRA,DF,Everton,Premier League,26,1993,33.7,6,0,0,49,31,3,153,24,39,0,1,1,363,112,53,67.9
Mitchell Dijks,NED,DF,Bologna,Serie A,26,1993,11.2,4,0,0,23,13,3,23,5,10,0,1,0,101,9,11,45.0
Javairô Dilrosun,NED,MF,Hertha BSC,Bundesliga,21,1998,14.5,2,0,0,7,19,3,34,19,6,0,0,0,109,4,15,21.1
Federico Dimarco,ITA,DF,Inter,Serie A,21,1997,0.3,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0.0
Federico Dimarco,ITA,DF,Hellas Verona,Serie A,21,1997,5.8,1,0,0,9,7,2,26,2,6,0,0,1,64,3,4,42.9
Tristan Dingomé,CMR,MF,Reims,Ligue 1,28,1991,9.9,1,0,0,23,11,0,8,4,7,0,0,0,64,1,9,10.0
Lois Diony,FRA,FW,Saint-Étienne,Ligue 1,26,1992,7.4,1,0,0,12,9,4,11,0,8,0,0,0,20,8,33,19.5
Issa Diop,FRA,DF,West Ham,Premier League,22,1997,30.7,8,0,0,37,12,1,1,32,16,0,3,0,306,84,39,68.3
Papakouli Diop,SEN,MF,Eibar,La Liga,33,1986,25.0,7,0,0,60,43,1,5,20,27,0,0,0,319,61,35,63.5
Assane Dioussé,SEN,MF,Saint-Étienne,Ligue 1,21,1997,1.3,1,0,0,3,0,0,0,1,1,0,0,0,21,1,1,50.0
Axel Disasi,FRA,DF,Reims,Ligue 1,21,1998,27.0,3,0,0,37,24,0,1,11,23,0,2,0,268,73,45,61.9
Tiago Djaló,POR,DF,Lille,Ligue 1,19,2000,7.3,1,0,0,11,7,0,1,5,8,0,1,0,69,10,8,55.6
Djené,TOG,DF,Getafe,La Liga,27,1991,34.0,5,0,0,45,26,1,6,32,28,0,2,1,458,96,59,61.9
Moussa Djenepo,MLI,MF,Southampton,Premier League,21,1998,10.3,4,1,0,23,32,3,16,7,18,0,0,0,55,5,14,26.3
Koffi Djidji,CIV,DF,Torino,Serie A,26,1992,9.5,0,0,0,9,2,0,0,9,13,0,1,1,94,11,12,47.8
Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,24,1994,22.9,6,0,0,40,27,0,4,38,40,0,1,0,245,67,18,78.8
Berat Djimsiti,ALB,DF,Atalanta,Serie A,26,1993,30.9,5,0,0,38,41,0,2,31,25,0,1,0,366,116,42,73.4
Naïs Djouahra,FRA,FW,Real Sociedad,La Liga,19,1999,0.3,0,0,0,1,0,0,3,0,0,0,0,0,2,2,0,100.0
Marko Dmitrović,SRB,GK,Eibar,La Liga,27,1992,35.0,3,0,0,1,2,0,0,0,0,0,0,0,205,0,0,
Matt Doherty,IRL,DF,Wolves,Premier League,27,1992,31.5,1,0,0,31,22,3,38,19,33,1,1,0,255,107,92,53.8
Kasper Dolberg,DEN,FW,Nice,Ligue 1,21,1997,21.0,2,0,0,26,39,7,3,9,8,0,0,0,38,17,20,45.9
Keagan Dolly,RSA,MF,Montpellier,Ligue 1,26,1993,1.6,1,0,0,6,0,0,1,2,1,0,0,0,18,2,1,66.7
Jaume Doménech,ESP,GK,Valencia,La Liga,28,1990,14.7,1,0,0,0,1,0,0,0,0,0,0,0,68,0,0,
Nicolás Domínguez,ARG,MF,Bologna,Serie A,21,1998,7.8,1,0,0,17,8,0,5,8,16,0,0,0,105,4,7,36.4
Giulio Donati,ITA,DF,Lecce,Serie A,29,1990,19.6,4,0,0,19,33,0,52,16,25,0,0,1,137,15,10,60.0
Ji Dong-won,KOR,FW,Mainz 05,Bundesliga,28,1991,1.1,1,0,0,4,3,1,1,0,0,0,0,0,1,3,4,42.9
Anastasios Donis,GRE,FW,Reims,Ligue 1,22,1996,6.8,1,0,0,19,8,5,17,0,3,0,0,0,31,7,21,25.0
Alfredo Donnarumma,ITA,FW,Brescia,Serie A,28,1990,18.7,1,0,0,20,40,11,9,6,7,0,0,0,81,12,39,23.5
Gianluigi Donnarumma,ITA,GK,Milan,Serie A,20,1999,35.6,3,0,0,1,6,0,0,0,0,0,0,0,152,0,0,
Gabriel Dos Santos,BRA,DF,Lille,Ligue 1,21,1997,23.2,3,0,0,22,27,0,4,12,31,0,0,1,254,88,36,71.0
Mathieu Dossevi,TOG,MF,Toulouse,Ligue 1,31,1988,19.5,0,0,0,19,27,5,95,8,22,0,0,0,128,7,23,23.3
Bas Dost,NED,FW,Eint Frankfurt,Bundesliga,30,1989,16.4,2,0,0,16,16,9,1,4,4,0,0,0,69,125,52,70.6
Abdoulaye Doucouré,MLI,MF,Watford,Premier League,26,1993,35.1,9,0,0,64,22,6,27,24,49,0,1,1,440,53,53,50.0
Mamadou Doucouré,FRA,MF,M'Gladbach,Bundesliga,21,1998,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Moussa Doumbia,MLI,FW,Reims,Ligue 1,24,1994,19.1,8,1,1,24,61,1,36,20,14,1,0,0,158,5,20,20.0
Souleyman Doumbia,CIV,DF,Angers,Ligue 1,22,1996,5.0,1,0,0,6,2,0,12,4,4,0,0,0,43,4,6,40.0
Souleyman Doumbia,CIV,DF,Rennes,Ligue 1,22,1996,1.0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,1,0.0
Thomas Doyle,ENG,MF,Manchester City,Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Mohamed Dräger,TUN,DF,Paderborn 07,Bundesliga,23,1996,16.2,2,0,0,16,25,0,24,15,26,0,0,0,146,8,13,38.1
Aleksandar Dragović,AUT,DF,Leverkusen,Bundesliga,28,1991,11.4,7,1,1,18,5,0,0,7,15,0,1,0,121,22,13,62.9
Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,21,1997,31.0,1,0,0,1,6,0,0,0,0,0,1,0,175,0,0,
Julian Draxler,GER,MF,Paris S-G,Ligue 1,25,1993,7.6,5,0,0,18,6,0,5,8,8,0,0,0,59,3,1,75.0
Dominick Drexler,GER,MF,Köln,Bundesliga,29,1990,17.6,5,0,0,30,36,8,38,22,19,0,1,0,163,18,32,36.0
Danny Drinkwater,ENG,MF,Aston Villa,Premier League,29,1990,2.9,1,0,0,11,1,0,1,7,5,0,0,0,46,2,2,50.0
Danny Drinkwater,ENG,MF,Burnley,Premier League,29,1990,0.6,0,0,0,1,0,0,0,2,2,0,0,0,8,0,1,0.0
Josip Drmić,SUI,FW,Norwich City,Premier League,26,1992,7.2,0,1,0,10,7,7,3,3,3,0,0,0,49,12,40,23.1
Domingos Duarte,POR,DF,Granada,La Liga,24,1995,34.3,7,0,0,38,22,4,5,15,21,0,4,0,297,87,47,64.9
Léo Duarte,BRA,DF,Milan,Serie A,23,1996,4.5,2,0,0,2,2,0,0,2,1,0,0,0,32,11,8,57.9
Óscar Duarte,CRC,DF,Levante,La Liga,30,1989,5.4,0,0,0,9,3,0,0,3,7,0,1,0,38,13,14,48.1
Rubén Duarte,ESP,DF,Alavés,La Liga,23,1995,29.6,11,0,0,47,44,0,44,19,38,1,5,0,289,58,49,54.2
Edgaras Dubickas,LTU,DF,Lecce,Serie A,21,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Leo Dubois,FRA,DF,Lyon,Ligue 1,24,1994,15.0,3,0,0,19,11,1,45,13,21,0,0,0,124,19,8,70.4
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,30,1989,38.0,0,0,0,0,5,0,0,0,0,0,0,0,170,0,0,
Ondrej Duda,SVK,MF,Norwich City,Premier League,24,1994,8.0,0,0,0,12,13,2,8,5,15,0,0,0,66,8,20,28.6
Ondrej Duda,SVK,MF,Hertha BSC,Bundesliga,24,1994,5.0,2,0,0,13,11,0,6,3,3,0,0,0,43,7,11,38.9
Shane Duffy,IRL,DF,Brighton,Premier League,27,1992,13.8,2,0,0,16,8,0,1,13,9,0,0,0,136,63,17,78.8
Haris Duljević,BIH,FW,Nîmes,Ligue 1,25,1993,5.8,0,0,0,4,9,1,13,2,9,0,0,0,32,3,9,25.0
Paul Dummett,WAL,DF,Newcastle Utd,Premier League,27,1991,13.6,2,0,0,6,7,0,14,15,6,0,0,1,121,35,23,60.3
Alfred Duncan,GHA,MF,Sassuolo,Serie A,26,1993,9.4,3,0,0,21,14,0,5,6,11,0,2,0,67,5,8,38.5
Alfred Duncan,GHA,MF,Fiorentina,Serie A,26,1993,9.9,2,0,0,10,14,0,10,5,7,0,0,0,65,4,6,40.0
Lewis Dunk,ENG,DF,Brighton,Premier League,27,1991,35.9,9,0,0,28,24,1,2,36,28,0,0,0,410,84,44,65.6
Filip Đuričić,SRB,MF,Sassuolo,Serie A,27,1992,18.1,6,0,0,40,54,3,5,7,20,1,0,0,125,11,23,32.4
Erik Durm,GER,DF,Eint Frankfurt,Bundesliga,27,1992,5.7,0,0,0,4,5,0,14,3,8,0,0,0,59,5,10,33.3
Riza Durmisi,DEN,DF,Nice,Ligue 1,25,1994,1.8,0,0,0,1,0,0,2,1,1,0,0,0,8,0,3,0.0
Hugo Duro,ESP,FW,Getafe,La Liga,19,1999,4.2,3,0,0,14,17,1,3,1,2,1,0,0,23,14,38,26.9
Jean-Kevin Duverne,FRA,DF,Brest,Ligue 1,22,1997,13.1,0,0,0,9,9,0,0,16,11,0,1,0,154,23,26,46.9
Paulo Dybala,ARG,FW,Juventus,Serie A,25,1993,23.9,5,0,0,27,61,6,41,12,18,3,0,0,125,3,9,25.0
Edin Džeko,BIH,FW,Roma,Serie A,33,1986,31.7,4,0,0,41,53,16,23,7,11,4,0,0,130,135,75,64.3
Blerim Džemaili,SUI,MF,Bologna,Serie A,33,1986,7.8,2,0,0,13,19,0,4,5,16,0,0,0,75,4,3,57.1
Bruno Ecuele Manga,GAB,DF,Dijon,Ligue 1,31,1988,28.0,2,0,0,10,17,0,1,25,20,0,0,0,272,85,32,72.6
Simone Edera,ITA,MF,Torino,Serie A,22,1997,4.4,4,1,1,13,5,0,3,2,7,1,0,0,25,3,11,21.4
Ederson,BRA,GK,Manchester City,Premier League,25,1993,34.1,3,1,0,1,2,0,0,0,1,0,0,0,155,0,0,
John Egan,IRL,DF,Sheffield Utd,Premier League,26,1992,35.4,5,1,1,33,23,1,3,26,27,0,1,0,371,139,57,70.9
Johannes Eggestein,GER,MF,Werder Bremen,Bundesliga,21,1998,5.7,3,1,1,8,7,1,10,2,5,0,0,0,57,2,12,14.3
Maximilian Eggestein,GER,MF,Werder Bremen,Bundesliga,22,1996,31.7,6,0,0,38,41,0,19,25,32,0,0,0,320,34,43,44.2
Kingsley Ehizibue,NED,DF,Köln,Bundesliga,24,1995,25.9,6,1,0,57,36,3,50,28,51,0,1,0,201,42,23,64.6
Albin Ekdal,SWE,MF,Sampdoria,Serie A,30,1989,26.5,8,0,0,47,61,0,5,32,44,2,0,0,299,30,21,58.8
Harvey Elliott,ENG,DF,Liverpool,Premier League,16,2003,0.1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Elif Elmas,MKD,MF,Napoli,Serie A,19,1999,12.6,7,0,0,35,16,0,3,7,10,0,0,0,84,2,14,12.5
Ilay Elmkies,ISR,MF,Hoffenheim,Bundesliga,19,2000,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Ahmed Elmohamady,EGY,DF,Aston Villa,Premier League,31,1987,11.5,1,0,0,14,5,2,50,6,17,0,0,0,114,25,20,55.6
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,25,1994,16.8,4,0,0,13,12,0,6,14,13,0,0,0,185,72,30,70.6
Nico Elvedi,SUI,DF,M'Gladbach,Bundesliga,22,1996,29.1,5,0,0,24,22,1,1,30,37,0,1,0,346,93,62,60.0
Rodrigo Ely,BRA,DF,Alavés,La Liga,25,1993,23.6,9,1,0,35,15,2,0,12,16,0,0,0,268,81,34,70.4
Adri Embarba,ESP,MF,Espanyol,La Liga,27,1992,15.2,4,0,0,30,34,1,58,11,18,0,0,0,107,12,38,24.0
Breel Embolo,SUI,FW,M'Gladbach,Bundesliga,22,1997,17.2,4,0,0,49,59,13,5,5,15,2,0,0,95,18,42,30.0
Emerson,BRA,DF,Betis,La Liga,20,1999,31.5,11,0,0,49,103,1,80,17,45,0,0,0,236,65,37,63.7
Renaud Emond,BEL,FW,Nantes,Ligue 1,27,1991,3.2,1,0,0,4,6,0,0,1,4,0,0,0,14,14,20,41.2
Alan Empereur,BRA,DF,Hellas Verona,Serie A,25,1994,9.5,3,0,0,20,10,0,2,15,13,0,1,0,97,25,18,58.1
Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,22,1997,8.8,1,0,0,16,13,12,5,5,6,0,0,0,27,37,42,46.8
Youssef En-Nesyri,MAR,FW,Leganés,La Liga,22,1997,15.4,2,0,0,21,22,17,12,2,5,1,0,0,61,60,91,39.7
Björn Engels,BEL,DF,Aston Villa,Premier League,24,1994,16.1,1,0,0,6,6,1,3,12,4,0,2,0,128,58,28,67.4
Sergi Enrich,ESP,FW,Eibar,La Liga,29,1990,20.7,6,0,0,63,24,17,5,5,17,0,0,0,105,100,170,37.0
Javier Eraso,ESP,MF,Leganés,La Liga,29,1990,9.1,3,0,0,20,16,3,12,4,8,0,0,0,58,10,25,28.6
Christian Eriksen,DEN,MF,Inter,Serie A,27,1992,7.8,0,0,0,6,4,0,17,1,6,0,0,0,71,4,6,40.0
Christian Eriksen,DEN,MF,Tottenham,Premier League,27,1992,12.2,5,0,0,10,7,2,24,8,12,0,0,0,138,3,9,25.0
Gonzalo Escalante,ARG,MF,Eibar,La Liga,26,1993,18.6,9,1,1,38,33,2,10,15,29,2,1,0,252,49,51,49.0
Aarón Escandell,ESP,GK,Granada,La Liga,23,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,
Sergio Escudero,ESP,DF,Sevilla,La Liga,29,1989,8.6,2,0,0,13,9,0,18,6,13,0,1,0,99,21,16,56.8
Bernardo Espinosa,COL,DF,Espanyol,La Liga,30,1989,25.1,5,1,0,34,18,3,4,12,19,0,1,0,342,100,54,64.9
Sebastiano Esposito,ITA,FW,Inter,Serie A,17,2002,2.2,2,0,0,6,5,1,0,3,3,0,0,0,13,1,8,11.1
Vicente Esquerdo,ESP,MF,Valencia,La Liga,20,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Alexander Esswein,GER,FW,Hertha BSC,Bundesliga,29,1990,2.4,1,0,0,4,7,0,8,1,3,0,0,0,15,6,1,85.7
Pervis Estupiñán,ECU,DF,Osasuna,La Liga,21,1998,33.1,8,0,0,43,44,4,140,44,57,0,0,0,368,45,41,52.3
Oghenekaro Etebo,NGA,MF,Getafe,La Liga,23,1995,6.4,4,0,0,9,7,0,10,10,14,0,0,0,72,24,12,66.7
Beñat Etxebarria,ESP,MF,Athletic Club,La Liga,32,1987,4.4,0,0,0,6,1,0,5,3,4,0,0,0,43,5,4,55.6
Xabier Etxeita,ESP,DF,Getafe,La Liga,31,1987,16.1,7,0,0,20,13,0,1,7,11,0,0,0,182,54,35,60.7
Antony Evans,ENG,MF,Paderborn 07,Bundesliga,20,1998,1.7,0,0,0,8,1,0,5,0,4,0,0,0,18,2,3,40.0
Jonny Evans,NIR,DF,Leicester City,Premier League,31,1988,37.6,8,1,0,41,27,2,5,39,31,1,1,1,434,141,60,70.1
Edu Expósito,ESP,MF,Eibar,La Liga,22,1996,25.7,3,0,0,39,22,0,14,20,41,0,0,0,310,46,60,43.4
Valentin Eysseric,FRA,MF,Fiorentina,Serie A,27,1992,0.5,0,0,0,3,0,0,1,0,0,0,0,0,4,1,2,33.3
Valentin Eysseric,FRA,FW,Hellas Verona,Serie A,27,1992,3.9,3,0,0,11,3,1,6,2,1,0,0,0,18,8,10,44.4
Łukasz Fabiański,POL,GK,West Ham,Premier League,34,1985,23.5,1,0,0,1,2,0,0,0,0,0,1,0,120,0,0,
Fabinho,BRA,MF,Liverpool,Premier League,25,1993,23.1,6,0,0,36,24,0,6,25,53,0,0,0,326,41,30,57.7
Fábio,BRA,DF,Nantes,Ligue 1,29,1990,9.3,4,0,0,12,4,0,15,12,24,0,0,0,66,19,15,55.9
Cesc Fàbregas,ESP,MF,Monaco,Ligue 1,32,1987,10.3,1,1,0,14,8,1,15,7,9,0,0,0,70,12,10,54.5
Fabricio,ESP,GK,Mallorca,La Liga,31,1987,1.0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,
Ralf Fährmann,GER,GK,Norwich City,Premier League,30,1988,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
Fayçal Fajr,MAR,MF,Getafe,La Liga,30,1988,4.5,2,0,0,4,7,0,12,4,1,0,0,0,55,6,10,37.5
Luca Falbo,ITA,DF,Lazio,Serie A,19,2000,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Filippo Falco,ITA,FW,Lecce,Serie A,27,1992,22.4,0,0,0,14,89,6,98,5,15,0,0,0,122,3,20,13.0
Eliseo Falcon,ESP,DF,Levante,La Liga,22,1997,0.8,2,1,1,1,0,0,0,0,0,0,0,0,3,1,0,100.0
Wladimiro Falcone,ITA,GK,Sampdoria,Serie A,24,1995,2.0,1,0,0,1,0,0,0,0,0,0,1,0,12,0,0,
Simon Falette,GUI,DF,Eint Frankfurt,Bundesliga,27,1992,1.0,0,0,0,0,0,0,0,1,1,0,0,0,17,2,0,100.0
Iago Falque,ESP,MF,Genoa,Serie A,29,1990,5.8,0,0,0,5,2,3,20,1,2,0,0,0,46,6,7,46.2
Iago Falque,ESP,MF,Torino,Serie A,29,1990,1.1,0,0,0,1,1,0,2,0,0,0,0,0,9,0,2,0.0
Akin Famewo,ENG,MF,Norwich City,Premier League,20,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andri Fannar Baldursson,ISL,MF,Bologna,Serie A,17,2002,1.6,0,0,0,5,4,0,1,1,1,0,0,0,17,1,2,33.3
Paolo Faragò,ITA,DF,Cagliari,Serie A,26,1993,14.9,3,0,0,24,16,0,33,7,29,0,0,0,132,29,15,65.9
Davide Faraoni,ITA,DF,Hellas Verona,Serie A,27,1991,35.9,6,0,0,38,41,4,95,25,36,0,1,0,333,41,42,49.4
Mohamed Fares,ALG,DF,SPAL,Serie A,23,1996,4.7,2,0,0,12,10,0,9,3,3,0,0,0,23,4,5,44.4
Diego Farias,BRA,FW,Lecce,Serie A,29,1990,9.2,3,1,0,17,18,1,21,6,5,1,0,0,59,1,5,16.7
Ansu Fati,ESP,FW,Barcelona,La Liga,16,2002,11.4,2,1,0,17,22,4,23,2,10,0,0,0,54,6,10,37.5
Julien Faussurier,FRA,DF,Brest,Ligue 1,32,1987,22.0,1,0,0,18,17,2,66,23,28,0,0,0,187,15,22,40.5
Andrea Favilli,ITA,FW,Genoa,Serie A,22,1997,7.3,4,0,0,28,19,4,3,3,5,1,0,0,23,27,38,41.5
Federico Fazio,ARG,DF,Roma,Serie A,32,1987,13.5,2,1,0,11,9,1,1,9,11,0,0,0,127,36,21,63.2
Aleix Febas,ESP,MF,Mallorca,La Liga,23,1996,18.8,4,0,0,26,57,0,7,19,25,1,0,0,125,3,16,15.8
Zouhair Feddal,MAR,DF,Betis,La Liga,30,1989,15.9,10,2,0,25,11,0,1,9,11,0,0,0,159,41,22,65.1
Ljubomir Fejsa,SRB,MF,Alavés,La Liga,30,1988,8.7,2,0,0,30,7,0,0,4,17,0,1,0,114,20,9,69.0
Nabil Fekir,FRA,MF,Betis,La Liga,26,1993,29.3,10,2,2,78,139,14,42,12,26,5,0,0,158,26,46,36.1
Felipe,BRA,DF,Atlético Madrid,La Liga,30,1989,23.4,7,0,0,35,16,1,5,24,18,0,1,0,228,82,33,71.3
Luiz Felipe,ITA,DF,Lazio,Serie A,22,1997,22.5,6,0,0,21,18,2,4,20,25,0,1,0,175,30,25,54.5
Lucas Felippe,BRA,MF,Hellas Verona,Serie A,19,2000,0.3,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,
João Félix,POR,FW,Atlético Madrid,La Liga,19,1999,19.4,6,0,0,38,48,6,20,2,4,1,0,0,86,16,48,25.0
Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,21,1997,21.8,3,0,0,14,14,1,0,22,24,0,0,0,241,87,52,62.6
Kiko Femenía,ESP,DF,Watford,Premier League,28,1991,24.9,5,0,0,32,16,1,56,27,32,1,0,0,271,21,10,67.7
Zinedine Ferhat,ALG,FW,Nîmes,Ligue 1,26,1993,25.0,1,0,0,17,54,7,85,16,16,0,0,0,179,60,58,50.8
Bruno Fernandes,POR,MF,Manchester Utd,Premier League,24,1994,13.2,2,0,0,12,21,2,22,7,14,2,0,0,91,2,10,16.7
Edimilson Fernandes,SUI,MF,Mainz 05,Bundesliga,23,1996,16.5,7,1,1,18,6,0,9,31,26,0,0,0,186,14,12,53.8
Gedson Fernandes,POR,MF,Tottenham,Premier League,20,1999,0.8,0,0,0,0,2,0,3,0,1,0,0,0,9,0,1,0.0
Gelson Fernandes,SUI,MF,Eint Frankfurt,Bundesliga,32,1986,8.6,5,1,1,25,3,0,1,13,20,0,0,0,96,11,23,32.4
Matheus Fernandes,BRA,MF,Valladolid,La Liga,21,1998,1.8,0,0,0,3,1,0,1,0,4,0,0,0,23,4,11,26.7
Aitor Fernández,ESP,GK,Levante,La Liga,28,1991,36.0,2,0,0,1,4,0,0,0,0,0,1,0,193,0,0,
Andrés Fernández,ESP,GK,Villarreal,La Liga,32,1986,4.0,1,0,0,1,1,0,0,0,0,0,1,0,23,0,0,
Carlos Fernández,ESP,FW,Granada,La Liga,23,1996,24.5,8,0,0,70,45,8,13,12,13,2,0,0,134,75,130,36.6
Federico Fernández,ARG,DF,Newcastle Utd,Premier League,30,1989,29.1,8,0,0,21,19,2,16,8,32,0,0,1,250,68,50,57.6
Gabriel Fernández,URU,FW,Celta Vigo,La Liga,25,1994,6.2,5,1,1,16,13,7,7,2,2,0,0,0,23,26,26,50.0
Joaquín Fernández,ESP,MF,Valladolid,La Liga,23,1996,18.4,9,0,0,34,11,5,3,21,23,0,0,0,179,45,36,55.6
Fernandinho,BRA,DF,Manchester City,Premier League,34,1985,26.6,9,2,1,29,22,1,3,16,25,0,0,1,310,73,36,67.0
Fernando,BRA,MF,Sevilla,La Liga,32,1987,29.5,13,0,0,42,28,2,6,30,44,0,0,0,377,83,63,56.8
Juan Ferney Otero,COL,FW,Amiens,Ligue 1,24,1995,13.4,0,1,0,18,19,6,28,12,11,1,0,0,91,37,47,44.0
Alex Ferrari,ITA,DF,Sampdoria,Serie A,25,1994,11.2,4,0,0,16,12,0,0,17,12,0,0,0,120,15,12,55.6
Facundo Ferreyra,ARG,FW,Espanyol,La Liga,28,1991,6.4,2,0,0,25,8,5,2,2,5,0,0,0,26,17,26,39.5
Jordan Ferri,FRA,MF,Montpellier,Ligue 1,27,1992,12.8,1,1,0,22,31,0,17,11,17,0,0,0,146,13,12,52.0
Oliver Fink,GER,MF,Düsseldorf,Bundesliga,37,1982,7.5,2,0,0,15,18,0,7,9,20,1,0,0,85,46,34,57.5
Alfreð Finnbogason,ISL,FW,Augsburg,Bundesliga,30,1989,10.7,1,0,0,13,10,6,2,4,5,0,0,0,52,16,48,25.0
Roberto Firmino,BRA,FW,Liverpool,Premier League,27,1991,33.2,0,0,0,33,26,6,16,11,26,0,0,0,191,29,74,28.2
Junior Firpo,ESP,DF,Barcelona,La Liga,22,1996,11.3,5,0,0,36,16,2,8,8,14,0,0,0,81,10,9,52.6
John Fleck,SCO,MF,Sheffield Utd,Premier League,27,1991,28.0,8,0,0,38,28,1,58,20,24,0,0,0,250,12,25,32.4
Mark Flekken,NED,GK,Freiburg,Bundesliga,26,1993,10.0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,0,
