Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Blocks Int,Blocks Tkl+Int,Blocks Clr,Blocks Err
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,25,1993,5.9,2,2,0,2,0,1,8,12.5,7,88,22,25.0,4,39,45,3,1,0,2,2,4,2,0
Paco Alcácer,ESP,FW,Villarreal,La Liga,25,1993,10.3,4,2,2,2,0,1,12,8.3,11,146,43,29.5,18,67,61,10,2,0,8,2,6,9,0
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,28,1991,19.7,54,38,19,29,6,14,40,35.0,26,292,101,34.6,68,167,57,21,4,0,17,23,77,19,1
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,28,1991,21.4,59,36,34,20,5,23,61,37.7,38,444,130,29.3,184,232,28,57,20,0,37,16,75,68,0
Toby Alderweireld,BEL,DF,Tottenham,Premier League,30,1989,32.9,44,24,24,17,3,14,36,38.9,22,258,83,32.2,169,79,10,69,34,1,35,11,55,229,3
Haitam Aleesami,NOR,DF,Amiens,Ligue 1,28,1991,21.3,44,28,24,17,3,20,50,40.0,30,374,105,28.1,171,159,44,55,13,1,42,26,70,98,1
Álex Alegría,ESP,FW,Mallorca,La Liga,26,1992,1.2,1,0,0,1,0,0,0,,0,21,6,28.6,1,8,12,1,0,0,1,1,2,0,0
Carles Aleñá,ESP,MF,Betis,La Liga,21,1998,8.2,20,11,4,10,6,7,20,35.0,13,137,26,19.0,34,69,34,9,2,0,7,1,21,4,0
Carles Aleñá,ESP,MF,Barcelona,La Liga,21,1998,1.9,2,1,1,1,0,1,5,20.0,4,38,6,15.8,10,21,7,2,0,0,2,0,2,1,0
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,24,1995,10.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,1,1
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,20,1998,35.3,58,25,38,14,6,34,85,40.0,51,409,131,32.0,193,123,93,53,9,0,44,34,92,98,2
Enrico Alfonso,ITA,GK,Brescia,Serie A,31,1988,3.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Rachid Alioui,MAR,FW,Angers,Ligue 1,27,1992,17.4,13,11,2,8,3,4,13,30.8,9,373,84,22.5,10,213,150,4,0,0,4,4,17,10,0
Alisson,BRA,GK,Liverpool,Premier League,26,1992,28.3,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,1,1,2,1
Allan,BRA,MF,Napoli,Serie A,28,1991,14.2,55,36,21,25,9,17,50,34.0,33,411,105,25.5,121,218,72,26,3,0,23,5,60,16,0
Dele Alli,ENG,MF,Tottenham,Premier League,23,1996,20.5,41,29,10,24,7,8,32,25.0,24,479,135,28.2,108,234,137,53,7,0,46,7,48,17,0
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,25,1994,33.6,62,36,34,17,11,13,46,28.3,33,732,175,23.9,238,277,217,44,1,0,43,20,82,16,0
Marcos Alonso,ESP,DF,Chelsea,Premier League,28,1990,15.9,27,19,17,6,4,5,28,17.9,23,215,88,40.9,89,84,42,30,1,0,29,14,41,48,0
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,30,1989,15.3,43,19,30,10,3,16,34,47.1,18,221,59,26.7,122,81,18,38,5,0,33,13,56,82,0
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,32,1986,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Sergio Álvarez,ESP,MF,Eibar,La Liga,27,1992,12.7,37,20,14,22,1,9,34,26.5,25,265,80,30.2,84,150,31,25,3,0,22,9,46,58,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,24,1995,31.2,39,25,27,11,1,13,31,41.9,18,222,79,35.6,145,64,13,58,23,2,35,34,73,264,2
Bruno Alves,POR,DF,Parma,Serie A,37,1981,29.7,23,11,17,6,0,9,14,64.3,5,172,49,28.5,133,32,7,40,26,1,14,15,38,189,3
Steven Alzate,COL,MF,Brighton,Premier League,20,1998,13.2,28,23,23,3,2,10,22,45.5,12,235,77,32.8,99,94,42,26,3,0,23,10,38,14,0
Ibrahim Amadou,FRA,MF,Leganés,La Liga,26,1993,8.6,16,9,7,9,0,3,10,30.0,7,161,42,26.1,53,90,18,7,0,0,7,5,21,8,0
Ibrahim Amadou,FRA,DF,Norwich City,Premier League,26,1993,8.4,21,7,12,8,1,3,11,27.3,8,107,26,24.3,64,40,3,8,6,0,2,11,32,58,1
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,29,1989,18.8,43,22,20,20,3,14,57,24.6,43,438,123,28.1,155,243,40,25,8,0,17,17,60,22,1
Amath,SEN,MF,Getafe,La Liga,23,1996,0.7,2,0,1,0,1,0,4,0.0,4,36,10,27.8,8,16,12,1,0,0,1,1,3,1,0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,25,1994,24.0,62,28,40,17,5,31,68,45.6,37,287,88,30.7,143,97,47,53,5,0,48,30,92,131,1
Thierry Ambrose,GLP,FW,Metz,Ligue 1,22,1997,6.1,7,5,1,4,2,1,8,12.5,7,122,37,30.3,25,53,44,5,0,0,5,4,11,3,0
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,21,1998,18.1,27,15,22,4,1,9,23,39.1,14,218,51,23.4,128,56,34,25,9,0,16,12,39,61,2
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,22,1996,20.6,18,13,7,8,3,4,26,15.4,22,287,99,34.5,49,154,84,28,2,0,26,14,32,9,1
Ethan Ampadu,WAL,DF,RB Leipzig,Bundesliga,18,2000,0.9,5,3,4,1,0,1,2,50.0,1,15,8,53.3,9,6,0,2,1,0,1,0,5,7,0
Opoku Ampomah,GHA,FW,Düsseldorf,Bundesliga,23,1996,5.6,10,6,4,4,2,3,12,25.0,9,90,21,23.3,21,42,27,4,0,0,4,3,13,5,0
Sofyan Amrabat,MAR,MF,Hellas Verona,Serie A,22,1996,32.4,63,42,28,25,10,20,65,30.8,45,594,171,28.8,164,315,115,43,13,0,30,27,90,31,2
Joachim Andersen,DEN,DF,Lyon,Ligue 1,23,1996,17.0,18,10,16,2,0,6,19,31.6,13,107,34,31.8,79,24,4,22,14,0,8,8,26,95,2
Djavan Anderson,NED,DF,Lazio,Serie A,24,1995,1.9,1,1,1,0,0,0,0,,0,24,5,20.8,10,9,5,5,0,0,5,1,2,2,0
Felipe Anderson,BRA,MF,West Ham,Premier League,26,1993,16.6,45,30,20,18,7,11,48,22.9,37,370,104,28.1,92,189,89,21,1,0,20,14,59,14,0
Sebastian Andersson,SWE,FW,Union Berlin,Bundesliga,28,1991,29.8,18,11,1,9,8,8,25,32.0,17,579,143,24.7,25,294,260,31,5,0,26,6,24,40,0
Florin Andone,ROU,MF,Brighton,Premier League,26,1993,0.8,2,2,0,1,1,0,0,,0,7,1,14.3,1,3,3,1,1,0,0,0,2,1,0
Benjamin André,FRA,MF,Lille,Ligue 1,28,1990,22.8,83,63,34,44,5,37,100,37.0,63,593,190,32.0,192,313,88,45,12,0,33,45,128,47,0
Lorenzo Andrenacci,ITA,GK,Brescia,Serie A,24,1995,5.9,0,0,0,0,0,0,2,0.0,2,4,2,50.0,4,0,0,0,0,0,0,0,0,0,0
Robert Andrich,GER,MF,Union Berlin,Bundesliga,24,1994,28.6,78,46,38,32,8,27,69,39.1,42,639,158,24.7,193,372,74,39,7,0,32,37,115,65,0
Victorien Angban,CIV,MF,Metz,Ligue 1,22,1996,11.4,25,16,14,10,1,14,30,46.7,16,243,62,25.5,68,148,27,15,2,0,13,9,34,8,0
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,29,1990,8.8,1,1,0,1,0,0,6,0.0,6,129,28,21.7,2,77,50,5,0,0,5,1,2,5,0
José Ángel,ESP,DF,Eibar,La Liga,29,1989,26.2,62,31,30,29,3,25,43,58.1,18,251,83,33.1,107,109,35,40,6,0,34,27,89,102,0
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,0,0,1,1
Angeliño,ESP,DF,Manchester City,Premier League,22,1997,4.7,8,5,4,3,1,5,6,83.3,1,47,18,38.3,14,25,8,4,0,0,4,5,13,18,0
Angeliño,ESP,DF,RB Leipzig,Bundesliga,22,1997,12.2,14,8,7,4,3,7,20,35.0,13,127,50,39.4,36,58,33,35,1,0,34,10,24,24,0
Faustino Anjorin,ENG,FW,Chelsea,Premier League,17,2001,0.2,1,0,1,0,0,0,0,,0,2,1,50.0,0,2,0,1,0,0,1,0,1,0,0
Peter Ankersen,DEN,DF,Genoa,Serie A,28,1990,11.8,10,5,5,4,1,2,15,13.3,13,151,34,22.5,64,46,41,29,5,0,24,9,19,22,2
Cristian Ansaldi,ARG,DF,Torino,Serie A,32,1986,19.6,44,27,29,9,6,14,39,35.9,25,271,92,33.9,112,90,69,28,3,0,25,12,56,32,2
Janis Antiste,FRA,MF,Toulouse,Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,0.0,1,1,0,0.0,0,0,1,0,0,0,0,1,1,0,0
Michail Antonio,JAM,FW,West Ham,Premier League,29,1990,19.6,14,10,5,4,5,2,14,14.3,12,337,78,23.1,31,151,155,26,5,0,21,8,22,9,0
Antoñito,ESP,DF,Valladolid,La Liga,31,1987,11.4,25,16,18,7,0,12,27,44.4,15,150,49,32.7,88,47,15,24,0,0,24,19,44,25,0
Mirko Antonucci,ITA,FW,Roma,Serie A,20,1999,0.9,4,2,1,0,3,2,3,66.7,1,23,6,26.1,5,13,5,2,0,0,2,3,7,2,0
Vitorino Antunes,POR,MF,Getafe,La Liga,32,1987,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,1,0,0,1,0,0,0,0
Christopher Antwi-Adjei,GHA,MF,Paderborn 07,Bundesliga,25,1994,27.4,31,20,15,14,2,9,38,23.7,29,484,122,25.2,144,217,123,46,2,0,44,11,42,13,0
Anuar,MAR,MF,Valladolid,La Liga,24,1995,2.1,4,4,2,2,0,1,3,33.3,2,37,7,18.9,13,21,3,6,3,0,3,3,7,1,0
Houssem Aouar,FRA,MF,Lyon,Ligue 1,21,1998,21.7,28,19,8,16,4,3,28,10.7,25,388,100,25.8,88,205,95,19,1,0,18,11,39,12,0
Adil Aouchiche,FRA,MF,Paris S-G,Ligue 1,17,2002,0.7,2,2,2,0,0,0,2,0.0,2,29,7,24.1,6,10,13,3,0,0,3,0,2,0,0
Dennis Appiah,FRA,DF,Nantes,Ligue 1,27,1992,17.8,63,32,39,16,8,19,45,42.2,26,303,97,32.0,146,126,31,20,3,0,17,15,78,65,0
Mauro Arambarri,URU,MF,Getafe,La Liga,23,1995,34.1,74,49,28,38,8,21,64,32.8,43,799,206,25.8,169,516,114,69,6,0,63,26,100,49,0
Guilherme Arana,BRA,DF,Atalanta,Serie A,22,1997,0.9,5,2,2,3,0,3,4,75.0,1,24,7,29.2,14,6,4,2,0,0,2,1,6,2,0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,30,1989,23.5,55,31,23,28,4,28,75,37.3,47,531,197,37.1,166,290,75,38,6,0,32,23,78,34,1
Luiz Araújo,BRA,FW,Lille,Ligue 1,23,1996,9.2,18,9,3,8,7,6,32,18.8,26,262,75,28.6,41,114,107,16,0,0,16,5,23,7,0
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,27,1991,32.1,47,27,37,9,1,15,32,46.9,17,217,71,32.7,144,64,9,43,22,0,21,38,85,205,0
Ronald Araújo,URU,DF,Barcelona,La Liga,20,1999,2.6,4,2,2,2,0,3,4,75.0,1,26,8,30.8,18,8,0,9,3,0,6,0,4,11,0
Anaitz Arbilla,ESP,DF,Eibar,La Liga,32,1987,22.3,33,20,23,9,1,12,38,31.6,26,162,57,35.2,86,62,14,38,6,0,32,15,48,136,2
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,26,1993,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Santiago Arias,COL,DF,Atlético Madrid,La Liga,27,1992,12.0,30,17,19,10,1,11,21,52.4,10,124,47,37.9,66,42,16,28,7,0,21,9,39,35,0
Nicolò Armini,ITA,DF,Lazio,Serie A,18,2001,0.0,1,0,1,0,0,1,1,100.0,0,5,1,20.0,5,0,0,0,0,0,0,0,1,1,0
Stuart Armstrong,SCO,MF,Southampton,Premier League,27,1992,19.1,49,25,27,14,8,13,46,28.3,33,408,129,31.6,115,187,106,24,5,0,19,9,58,22,1
José Arnaiz,ESP,MF,Leganés,La Liga,24,1995,3.7,4,3,3,1,0,1,4,25.0,3,76,17,22.4,21,36,19,7,0,0,7,2,6,1,0
José Arnaiz,ESP,FW,Osasuna,La Liga,24,1995,8.8,5,3,0,4,1,0,12,0.0,12,164,43,26.2,25,69,70,13,0,0,13,5,10,6,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,25,1994,31.3,57,35,21,32,4,22,83,26.5,61,578,185,32.0,169,320,89,37,7,0,30,23,80,45,0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,24,1994,33.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,0,0,1,2
Kwadwo Asamoah,GHA,DF,Inter,Serie A,30,1988,7.1,9,5,4,4,1,6,15,40.0,9,96,25,26.0,28,43,25,9,1,0,8,10,19,12,0
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,22,1997,7.0,32,22,18,12,2,8,27,29.6,19,203,65,32.0,108,82,13,22,3,0,19,8,40,19,0
Sergio Asenjo,ESP,GK,Villarreal,La Liga,30,1989,34.0,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,23,1996,3.7,5,4,3,2,0,1,6,16.7,5,34,11,32.4,12,13,9,2,0,0,2,2,7,3,0
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,18,2001,0.8,2,1,2,0,0,2,3,66.7,1,12,1,8.3,5,7,0,1,0,0,1,0,2,0,0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,31,1987,36.2,29,21,7,11,11,12,34,35.3,22,537,146,27.2,80,222,235,24,4,0,20,19,48,6,0
Roger Assalé,CIV,FW,Leganés,La Liga,25,1993,5.9,3,1,2,0,1,0,4,0.0,4,70,18,25.7,8,30,32,6,0,0,6,0,3,1,0
Youcef Atal,ALG,FW,Nice,Ligue 1,23,1996,11.1,29,17,15,10,4,15,34,44.1,19,195,53,27.2,75,77,43,24,0,0,24,17,46,12,0
Miguel Atienza,ESP,MF,Eibar,La Liga,20,1999,0.3,1,1,0,1,0,1,1,100.0,0,15,4,26.7,6,6,3,2,1,0,1,1,2,2,0
Christian Atsu,GHA,FW,Newcastle Utd,Premier League,27,1992,8.3,12,9,4,6,2,4,15,26.7,11,243,47,19.3,99,104,40,28,1,0,27,7,19,6,0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,30,1989,34.8,39,24,15,14,10,12,50,24.0,38,573,130,22.7,113,256,204,59,2,0,57,9,48,16,0
Emil Audero,ITA,GK,Sampdoria,Serie A,22,1997,36.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,1,2
Tommaso Augello,ITA,DF,Sampdoria,Serie A,24,1994,12.6,15,13,7,4,4,5,8,62.5,3,97,17,17.5,48,31,18,19,2,0,17,8,23,19,1
Jean-Kévin Augustin,FRA,FW,Monaco,Ligue 1,22,1997,3.0,2,0,0,2,0,0,4,0.0,4,39,13,33.3,4,20,15,2,0,0,2,4,6,0,0
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,25,1994,10.3,30,18,17,11,2,13,32,40.6,19,164,56,34.1,77,57,30,23,5,0,18,8,38,35,0
Serge Aurier,CIV,DF,Tottenham,Premier League,26,1992,30.0,98,55,66,26,6,32,61,52.5,29,521,153,29.4,264,185,72,58,7,0,51,29,127,105,1
Mathias Autret,FRA,MF,Brest,Ligue 1,28,1991,13.6,24,11,6,11,7,4,22,18.2,18,316,71,22.5,71,164,81,24,2,0,22,10,34,6,0
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,25,1994,17.7,19,16,6,10,3,5,15,33.3,10,342,92,26.9,22,141,179,17,0,0,17,4,23,7,0
Javier Avilés,ESP,MF,Leganés,La Liga,21,1997,2.0,7,3,3,3,1,4,7,57.1,3,52,11,21.2,17,24,11,4,0,0,4,1,8,2,0
Chidozie Awaziem,NGA,DF,Leganés,La Liga,22,1997,22.2,39,26,32,7,0,12,25,48.0,13,204,71,34.8,126,72,6,38,15,0,23,12,51,141,2
Taiwo Awoniyi,NGA,FW,Mainz 05,Bundesliga,21,1997,5.4,2,2,0,1,1,2,7,28.6,5,79,23,29.1,10,40,29,7,2,0,5,2,4,1,0
Florian Ayé,FRA,FW,Brescia,Serie A,22,1997,15.3,20,13,10,6,4,6,15,40.0,9,493,100,20.3,54,250,189,34,3,0,31,2,22,19,0
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,27,1991,35.0,54,29,16,21,17,15,45,33.3,30,1018,219,21.5,179,514,325,35,6,0,29,14,68,20,0
Kaan Ayhan,TUR,DF,Düsseldorf,Bundesliga,24,1994,30.3,51,33,34,14,3,18,38,47.4,20,266,100,37.6,147,95,24,34,16,0,18,37,88,106,1
Ramon Azeez,NGA,MF,Granada,La Liga,26,1992,15.1,17,14,3,11,3,4,13,30.8,9,330,82,24.8,58,191,81,17,2,0,15,15,32,15,0
César Azpilicueta,ESP,DF,Chelsea,Premier League,29,1989,35.9,102,61,50,38,14,37,74,50.0,37,569,187,32.9,251,221,97,81,20,0,61,39,141,146,0
Ludovic Baal,GUF,DF,Brest,Ligue 1,33,1986,9.2,34,21,17,14,3,12,25,48.0,13,178,62,34.8,96,65,17,22,3,0,19,14,48,31,1
Iddrisu Baba,GHA,MF,Mallorca,La Liga,23,1996,32.3,68,45,33,31,4,17,69,24.6,52,580,188,32.4,231,308,41,34,8,0,26,23,91,71,1
Khouma Babacar,SEN,FW,Lecce,Serie A,26,1993,15.8,17,9,2,7,8,2,15,13.3,13,290,47,16.2,36,144,110,19,6,0,13,2,19,30,0
