Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Jean-Philippe Gbamin,CIV,MF,Everton,Premier League,23,1995,1.5,85,8,21,57,14,0,83,1,1,100.0,1,0,57,289,117,10,4,0,0,5,56,54,96.4,6
Yann Gboho,FRA,FW,Rennes,Ligue 1,18,2001,2.5,93,2,6,47,50,7,92,7,10,70.0,8,0,80,421,264,15,5,1,9,10,112,69,61.6,25
David de Gea,ESP,GK,Manchester Utd,Premier League,28,1990,38.0,997,927,997,0,0,0,658,0,0,,0,0,420,1852,878,0,0,0,0,0,373,372,99.7,0
Theodor Gebre Selassie,CZE,DF,Werder Bremen,Bundesliga,32,1986,27.0,1631,123,515,864,340,44,1406,7,19,36.8,9,0,916,4216,2170,81,24,4,22,15,1087,981,90.2,61
Dennis Geiger,GER,MF,Hoffenheim,Bundesliga,21,1998,12.6,724,15,118,422,229,13,646,7,10,70.0,8,0,490,2402,1092,48,19,2,22,18,610,495,81.1,58
Jérémy Gélin,FRA,DF,Rennes,Ligue 1,22,1997,10.3,632,94,345,300,20,6,616,1,1,100.0,1,0,410,1716,780,5,1,0,4,1,438,432,98.6,4
Christian Gentner,GER,MF,Union Berlin,Bundesliga,33,1985,27.1,1371,76,296,780,354,53,1317,20,26,76.9,22,0,704,3147,1408,63,26,2,30,24,928,772,83.2,110
Yannick Gerhardt,GER,MF,Wolfsburg,Bundesliga,25,1994,9.2,512,13,81,310,140,19,503,4,11,36.4,4,0,321,1554,761,33,9,3,10,10,361,312,86.4,36
Valère Germain,FRA,FW,Marseille,Ligue 1,29,1990,15.0,605,27,82,281,267,48,589,4,12,33.3,5,1,355,1281,483,27,8,4,20,22,624,415,66.5,85
Gervinho,CIV,FW,Parma,Serie A,32,1987,25.2,775,4,75,340,462,129,757,60,104,57.7,67,3,680,4686,3032,153,52,44,55,56,967,624,64.5,173
Anwar El Ghazi,NED,FW,Aston Villa,Premier League,24,1995,22.8,843,29,121,311,487,73,798,35,56,62.5,37,3,591,3443,1994,113,45,11,37,41,912,606,66.4,139
Rachid Ghezzal,ALG,MF,Fiorentina,Serie A,27,1992,9.2,618,15,100,322,236,28,587,16,32,50.0,16,4,459,2440,1191,66,20,8,17,17,517,458,88.6,58
Andrea Ghezzi,ITA,MF,Brescia,Serie A,18,2001,0.4,20,0,5,10,7,2,19,0,1,0.0,0,0,12,36,7,1,0,1,2,1,13,12,92.3,1
Paolo Ghiglione,ITA,DF,Genoa,Serie A,22,1997,19.1,1128,58,316,482,382,29,987,25,52,48.1,33,4,745,2875,1877,77,23,5,23,19,818,711,86.9,56
Andrea Ghion,ITA,MF,Sassuolo,Serie A,19,2000,0.5,54,0,9,28,21,2,52,0,1,0.0,0,0,40,293,205,7,1,0,0,0,46,43,93.5,4
Saman Ghoddos,IRN,FW,Amiens,Ligue 1,25,1993,2.6,129,2,21,62,55,6,115,3,5,60.0,3,0,79,274,192,9,1,1,7,4,109,80,73.4,12
Faouzi Ghoulam,ALG,DF,Napoli,Serie A,28,1991,4.2,340,14,66,162,130,3,283,5,5,100.0,5,0,210,910,521,26,12,0,4,1,247,227,91.9,18
Morgan Gibbs-White,ENG,MF,Wolves,Premier League,19,2000,1.4,99,1,15,49,42,5,97,1,5,20.0,1,0,77,355,181,8,0,2,7,1,99,80,80.8,8
Niko Gießelmann,GER,DF,Düsseldorf,Bundesliga,27,1991,22.9,1378,79,551,582,326,13,1129,8,16,50.0,9,1,717,3632,1886,65,25,0,26,11,810,737,91.0,48
Rafał Gikiewicz,POL,GK,Union Berlin,Bundesliga,31,1987,33.0,1464,1206,1456,7,2,2,1042,0,0,,0,0,723,4144,2642,0,0,0,1,0,653,649,99.4,1
José Antonio Martínez Gil,ESP,DF,Granada,La Liga,26,1993,13.2,622,60,319,305,28,11,577,3,3,100.0,3,1,317,1697,817,21,2,0,6,1,317,307,96.8,9
Billy Gilmour,SCO,MF,Chelsea,Premier League,18,2001,2.2,196,5,54,125,34,2,195,3,6,50.0,3,0,145,586,247,10,1,0,2,6,157,150,95.5,4
Daniel Ginczek,GER,FW,Wolfsburg,Bundesliga,28,1991,8.5,294,6,25,138,142,37,281,5,13,38.5,7,0,163,506,233,15,4,7,22,16,385,220,57.1,101
Matthias Ginter,GER,DF,M'Gladbach,Bundesliga,25,1994,30.9,2445,344,1494,1089,85,32,2379,6,8,75.0,6,0,1662,10344,6296,123,18,1,7,5,1818,1780,97.9,26
Andrei Girotto,BRA,DF,Nantes,Ligue 1,27,1992,24.2,1517,179,826,701,64,22,1481,4,7,57.1,5,0,852,4189,2248,45,9,1,4,0,908,887,97.7,9
Olivier Giroud,FRA,FW,Chelsea,Premier League,32,1986,11.0,415,16,28,229,165,65,389,2,3,66.7,2,0,170,334,167,11,3,2,18,6,541,301,55.6,105
Klaus Gjasula,ALB,MF,Paderborn 07,Bundesliga,29,1989,25.3,1431,115,549,779,187,31,1412,26,31,83.9,28,1,889,4096,1992,51,13,0,17,22,955,868,90.9,53
Kamil Glik,POL,DF,Monaco,Ligue 1,31,1988,23.0,1352,187,773,631,26,19,1323,0,0,,0,0,765,3640,2307,30,0,0,0,1,915,896,97.9,12
Serge Gnabry,GER,FW,Bayern Munich,Bundesliga,24,1995,24.4,1468,11,106,598,886,220,1433,64,107,59.8,69,2,1139,6381,3695,233,73,45,55,35,1524,1172,76.9,309
Joris Gnagnon,FRA,DF,Rennes,Ligue 1,22,1997,14.2,786,125,455,351,35,17,769,1,2,50.0,1,0,484,3238,1787,39,6,0,6,2,521,509,97.7,13
