Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Marc Albrighton,ENG,FW,Leicester City,Premier League,28,1989,18.1,1005,41,199,450,415,31,973,24,59,40.7,29,5,737,3682,1700,94,27,7,27,31,820,665,81.1,83
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,24,1993,13.5,403,6,17,162,233,78,370,7,11,63.6,9,0,252,663,312,22,1,5,31,13,479,295,61.6,124
Pedro Alcalá,ESP,DF,Girona,La Liga,29,1989,20.8,1125,191,702,443,39,20,1080,4,6,66.7,5,0,618,3249,1713,35,5,0,6,4,636,612,96.2,15
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,27,1991,26.8,2823,55,555,1896,567,32,2690,52,61,85.2,54,0,2197,10071,5176,233,62,3,13,24,2171,2100,96.7,85
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,27,1991,33.1,2164,91,579,1399,334,21,2069,24,41,58.5,27,1,1520,7443,3451,121,38,1,30,33,1408,1330,94.5,39
Toby Alderweireld,BEL,DF,Tottenham,Premier League,29,1989,32.5,2654,311,1425,1300,115,22,2568,2,4,50.0,2,0,1791,9273,4747,117,27,0,2,4,1926,1902,98.8,5
Álex Alegría,ESP,FW,Rayo Vallecano,La Liga,25,1992,1.6,62,0,7,31,31,8,59,5,11,45.5,6,0,46,110,52,4,1,2,6,2,80,45,56.3,17
Alexis Alegue,FRA,FW,Nantes,Ligue 1,21,1996,0.1,3,0,0,1,2,0,3,0,0,,0,0,2,0,0,0,0,0,1,1,5,3,60.0,1
Iván Alejo,ESP,MF,Getafe,La Liga,23,1995,1.6,68,1,10,37,31,1,65,7,9,77.8,7,0,55,282,130,8,4,0,6,8,64,48,75.0,8
Carles Aleñá,ESP,MF,Barcelona,La Liga,20,1998,7.1,665,3,64,423,233,13,654,11,17,64.7,11,0,571,2779,1450,72,28,3,13,9,626,580,92.7,38
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,23,1995,25.0,897,727,894,4,0,0,624,3,3,100.0,3,0,458,1608,848,0,0,0,2,0,374,374,100.0,0
Alexander,ARG,DF,Leganés,La Liga,29,1988,0.1,9,0,3,3,4,0,7,0,0,,0,0,4,15,3,0,0,0,0,0,4,4,100.0,1
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,19,1998,27.4,2518,82,587,1199,854,45,2065,18,38,47.4,21,5,1570,6242,3656,169,52,5,31,18,1651,1551,93.9,90
Rachid Alioui,MAR,FW,Nîmes,Ligue 1,26,1992,13.9,525,7,30,225,301,57,502,11,17,64.7,12,0,332,1585,781,40,16,5,24,9,607,374,61.6,125
Alisson,BRA,GK,Liverpool,Premier League,25,1992,38.0,1346,1141,1337,10,0,0,1051,2,2,100.0,2,0,754,2862,1551,1,0,0,2,1,677,677,100.0,0
Bobby Allain,FRA,GK,Dijon,Ligue 1,26,1991,13.0,514,439,513,1,0,0,345,0,0,,0,0,230,1140,730,0,0,0,0,0,146,146,100.0,0
Allan,BRA,MF,Napoli,Serie A,27,1991,29.1,2583,80,551,1680,519,34,2489,56,78,71.8,58,2,2066,9393,5237,238,60,13,30,38,1998,1886,94.4,64
Allan,BRA,MF,Eint Frankfurt,Bundesliga,21,1997,2.0,85,1,15,50,32,1,83,1,2,50.0,1,0,49,265,115,6,5,1,0,1,49,45,91.8,6
Dele Alli,ENG,MF,Tottenham,Premier League,22,1996,20.3,1328,32,175,675,564,104,1295,31,62,50.0,37,8,991,4566,2385,108,37,12,44,30,1239,966,78.0,200
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,24,1994,8.4,386,9,63,167,202,29,382,7,16,43.8,10,4,296,2194,1409,68,24,8,19,14,379,242,63.9,58
Júnior Alonso,PAR,DF,Celta Vigo,La Liga,25,1993,6.0,375,22,108,215,63,8,344,2,6,33.3,2,0,226,742,390,21,7,0,4,2,251,230,91.6,11
Marcos Alonso,ESP,DF,Chelsea,Premier League,27,1990,30.7,2638,118,722,1199,886,83,2340,21,34,61.8,24,1,1693,8277,5062,253,71,3,22,42,1870,1701,91.0,126
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,29,1989,6.3,379,25,109,170,120,8,319,3,3,100.0,3,0,212,1199,751,37,12,1,6,5,207,193,93.2,14
Sergio Álvarez,ESP,MF,Eibar,La Liga,26,1992,11.9,621,48,184,410,54,8,613,3,3,100.0,3,0,370,1721,648,18,4,0,2,8,353,337,95.5,5
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,31,1986,13.0,480,435,480,0,0,0,333,0,0,,0,0,246,1135,713,0,0,0,0,0,193,193,100.0,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,23,1995,29.0,1626,179,805,883,56,19,1568,4,6,66.7,5,0,928,5501,3249,85,15,0,7,12,927,912,98.4,12
Bruno Alves,POR,DF,Parma,Serie A,36,1981,32.5,1549,322,960,609,76,30,1471,5,5,100.0,5,0,793,4964,2628,45,1,0,4,3,824,806,97.8,21
Dani Alves,BRA,MF,Paris S-G,Ligue 1,35,1983,18.0,1775,28,272,1078,547,41,1693,24,36,66.7,25,0,1383,5244,3072,143,52,7,13,28,1513,1407,93.0,108
Alfons Amade,GER,MF,Hoffenheim,Bundesliga,18,1999,0.1,6,2,2,3,2,1,6,0,0,,0,0,1,6,4,0,1,0,0,0,2,2,100.0,1
Ibrahim Amadou,FRA,MF,Sevilla,La Liga,25,1993,8.5,450,31,157,265,54,6,444,7,10,70.0,8,0,283,1259,598,21,8,0,4,3,306,279,91.2,12
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,28,1989,28.0,1395,55,307,914,260,17,1378,28,49,57.1,33,1,1009,5469,2711,126,35,2,39,38,1029,911,88.5,62
Daniel Amartey,GHA,DF,Leicester City,Premier League,23,1994,7.1,514,44,203,279,58,3,449,2,3,66.7,2,0,309,1176,582,26,8,0,4,4,299,283,94.6,3
Jordi Amat,ESP,DF,Rayo Vallecano,La Liga,26,1992,30.7,1598,166,811,850,53,14,1527,21,24,87.5,21,0,979,5998,3454,74,19,0,9,9,959,927,96.7,11
Amath,SEN,MF,Getafe,La Liga,22,1996,11.1,390,11,57,177,189,49,388,22,41,53.7,24,2,289,1501,941,43,13,11,32,27,393,237,60.3,76
Jordan Amavi,FRA,DF,Marseille,Ligue 1,24,1994,24.2,1640,84,489,830,437,26,1405,27,45,60.0,28,3,933,4839,2945,127,55,9,28,35,914,841,92.0,53
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,20,1998,32.0,1527,122,554,782,307,17,1297,26,40,65.0,29,1,835,4748,2972,135,51,3,16,19,822,734,89.3,39
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,21,1996,8.4,488,8,70,284,181,30,477,18,26,69.2,19,2,383,2027,1075,62,22,9,6,14,399,352,88.2,50
Yanis Ammour,FRA,MF,Montpellier,Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0
Luke Amos,ENG,MF,Tottenham,Premier League,21,1997,0.0,4,0,2,1,1,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Joachim Andersen,DEN,DF,Sampdoria,Serie A,22,1996,32.0,2307,345,1135,1281,69,18,2222,14,15,93.3,14,0,1529,8527,5332,103,14,0,3,8,1598,1576,98.6,15
Felipe Anderson,BRA,MF,West Ham,Premier League,25,1993,33.8,2315,34,348,1193,1035,128,2193,83,157,52.9,87,13,1780,11169,6958,310,131,53,77,73,1915,1652,86.3,154
Florin Andone,ROU,FW,Brighton,Premier League,25,1993,9.8,352,16,56,150,174,45,347,14,30,46.7,15,2,221,796,377,15,4,4,46,33,545,242,44.4,75
Benjamin André,FRA,MF,Rennes,Ligue 1,27,1990,27.7,1855,65,370,1156,444,51,1823,27,42,64.3,31,0,1240,5897,2897,129,49,0,35,39,1377,1205,87.5,169
Marco Andreolli,ITA,DF,Cagliari,Serie A,32,1986,1.2,82,13,45,40,1,1,82,0,0,,0,0,52,184,98,1,0,0,0,0,62,60,96.8,1
Marco Andreolli,ITA,DF,Chievo,Serie A,32,1986,7.2,315,45,192,127,6,4,308,1,1,100.0,1,0,164,697,263,4,0,0,2,1,193,186,96.4,3
Yoann Andreu,FRA,DF,Angers,Ligue 1,29,1989,0.0,3,0,0,2,1,0,2,0,0,,0,0,1,0,0,0,0,0,0,1,1,1,100.0,0
José Ángel,ESP,DF,Eibar,La Liga,28,1989,33.6,2498,99,600,1307,780,21,1984,53,68,77.9,54,1,1416,7767,3827,174,79,5,20,17,1289,1235,95.8,29
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11.0,393,336,389,5,0,0,291,1,1,100.0,1,0,211,778,505,0,0,0,1,0,188,187,99.5,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,31,1986,20.1,1141,44,259,506,510,45,951,59,95,62.1,61,2,785,5548,3326,145,67,7,25,34,778,665,85.5,49
Mirco Antenucci,ITA,FW,SPAL,Serie A,33,1984,23.7,821,6,58,392,432,104,779,29,51,56.9,29,0,641,3180,1279,83,27,17,66,47,968,622,64.3,232
Waldemar Anton,GER,DF,Hannover 96,Bundesliga,22,1996,34.0,2105,264,1209,987,92,31,2032,21,27,77.8,22,0,1337,8886,4822,93,18,2,13,19,1265,1241,98.1,27
Luca Antonelli,ITA,DF,Empoli,Serie A,31,1987,8.4,494,39,162,240,131,23,445,5,8,62.5,5,0,296,1649,1149,44,22,3,12,4,307,285,92.8,18
Mauro Antonio Burruchaga,ARG,MF,Chievo,Serie A,20,1998,0.6,49,3,16,32,7,0,47,0,2,0.0,0,0,35,173,112,6,2,0,0,3,29,28,96.6,1
Michail Antonio,JAM,FW,West Ham,Premier League,28,1990,23.4,1223,40,175,566,586,108,1163,59,102,57.8,67,1,834,4786,2954,154,41,29,90,81,1295,851,65.7,183
Antoñito,ESP,DF,Valladolid,La Liga,30,1987,20.7,1101,47,280,517,395,20,945,29,42,69.0,30,2,714,3643,2279,123,45,6,28,27,785,672,85.6,46
Vitorino Antunes,POR,DF,Getafe,La Liga,31,1987,24.2,1439,76,385,670,463,21,1088,23,35,65.7,23,2,726,3714,2016,97,39,7,20,18,729,629,86.3,45
Anuar,MAR,MF,Valladolid,La Liga,23,1995,12.0,535,35,168,324,83,15,525,3,5,60.0,4,0,311,2016,1108,31,10,3,10,12,399,294,73.7,23
Dennis Aogo,GER,MF,Stuttgart,Bundesliga,31,1987,11.4,645,22,152,406,123,9,587,4,6,66.7,4,1,416,1735,766,29,9,1,4,6,428,406,94.9,12
Houssem Aouar,FRA,MF,Lyon,Ligue 1,20,1998,34.0,2472,37,354,1629,682,122,2447,67,103,65.0,72,1,2048,10501,5282,269,74,24,62,50,2207,1977,89.6,210
Emmanuel Apeh,NGA,MF,Celta Vigo,La Liga,21,1996,0.2,9,0,0,4,7,1,9,0,1,0.0,0,0,9,17,1,0,0,0,0,1,14,8,57.1,5
Mauro Arambarri,URU,MF,Getafe,La Liga,22,1995,29.7,1114,53,214,709,250,25,1087,40,51,78.4,43,1,685,2880,1151,42,18,5,29,22,609,505,82.9,36
Guilherme Arana,BRA,MF,Sevilla,La Liga,21,1997,7.0,347,14,103,168,92,12,294,4,11,36.4,4,1,220,1157,694,42,8,4,3,1,226,208,92.0,9
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,29,1989,21.0,1884,50,325,1257,402,41,1840,21,30,70.0,21,0,1384,5142,2557,116,38,4,30,24,1516,1403,92.5,80
Luiz Araújo,BRA,FW,Lille,Ligue 1,22,1996,8.7,440,3,56,203,220,19,412,26,40,65.0,31,1,350,1887,1151,50,12,8,20,20,384,320,83.3,48
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,26,1991,29.8,1791,245,969,853,53,21,1745,3,4,75.0,4,0,1117,4779,2347,48,4,0,1,5,1180,1161,98.4,14
Anaitz Arbilla,ESP,DF,Eibar,La Liga,31,1987,21.7,1357,101,494,859,110,21,1294,6,7,85.7,6,0,794,6032,2926,106,31,1,10,4,746,723,96.9,15
Joaquín Ardaiz,URU,FW,Frosinone,Serie A,19,1999,0.2,6,0,0,4,3,0,6,0,0,,0,0,4,28,18,1,1,0,0,2,11,4,36.4,1
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,25,1993,21.0,546,488,544,3,0,0,389,0,0,,0,0,260,1183,635,0,0,0,0,0,229,229,100.0,0
Santiago Arias,COL,DF,Atlético Madrid,La Liga,26,1992,19.7,1223,50,309,537,446,23,1050,14,23,60.9,14,0,744,3547,1980,112,35,3,10,9,742,657,88.5,45
Lorenzo Ariaudo,ITA,DF,Frosinone,Serie A,29,1989,18.7,811,176,516,342,22,14,777,3,3,100.0,3,0,450,3149,1734,17,3,0,3,1,465,453,97.4,12
Nicolò Armini,ITA,DF,Lazio,Serie A,17,2001,0.4,26,2,12,17,3,0,24,0,0,,0,0,20,187,145,1,1,0,0,0,19,19,100.0,0
Yoël Armougom,FRA,DF,Caen,Ligue 1,20,1998,20.6,1116,50,359,601,236,11,932,19,40,47.5,23,1,661,3379,1935,81,25,4,21,10,715,622,87.0,33
Stuart Armstrong,SCO,MF,Southampton,Premier League,26,1992,15.9,879,19,110,414,418,48,836,16,32,50.0,17,1,608,3228,1639,82,37,7,39,26,779,603,77.4,81
José Arnaiz,ESP,DF,Leganés,La Liga,23,1995,1.3,52,1,10,22,26,6,51,4,8,50.0,6,0,44,223,97,7,2,2,4,3,45,36,80.0,10
Marko Arnautović,AUT,FW,West Ham,Premier League,29,1989,22.1,873,10,55,335,532,137,829,23,40,57.5,24,1,623,2880,1101,69,23,16,42,34,1179,690,58.5,217
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,24,1994,31.9,1775,77,403,1017,470,28,1584,22,29,75.9,23,0,1155,5487,2892,99,26,4,19,28,1192,1050,88.1,104
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,23,1994,36.0,1219,1084,1210,8,2,0,919,1,1,100.0,1,0,643,2237,1047,0,0,0,0,1,625,625,100.0,0
Harry Arter,IRL,MF,Cardiff City,Premier League,28,1989,22.2,867,32,153,531,223,16,812,8,12,66.7,8,1,457,1954,995,38,18,2,11,9,500,424,84.8,31
Kwadwo Asamoah,GHA,DF,Inter,Serie A,29,1988,29.7,2480,79,631,1379,669,33,2269,53,73,72.6,54,1,1898,8654,5389,237,84,14,23,20,1855,1774,95.6,63
Takuma Asano,JPN,MF,Hannover 96,Bundesliga,23,1994,7.8,286,3,39,130,143,20,284,9,20,45.0,9,0,227,1177,608,25,8,2,29,19,334,212,63.5,71
Santiago Ascacíbar,ARG,MF,Stuttgart,Bundesliga,21,1997,27.0,1433,68,363,871,266,22,1404,10,17,58.8,11,0,849,3809,1925,97,25,2,22,17,856,777,90.8,44
Sergio Asenjo,ESP,GK,Villarreal,La Liga,29,1989,32.0,929,841,923,6,0,0,600,0,0,,0,0,335,1983,1089,0,0,0,0,0,246,246,100.0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,22,1996,19.8,1233,7,104,579,674,106,1182,36,56,64.3,38,4,1075,6926,3684,189,58,23,35,27,1215,996,82.0,176
Iago Aspas,ESP,FW,Celta Vigo,La Liga,30,1987,25.0,1142,5,86,569,570,123,1086,35,53,66.0,37,1,888,4403,2278,119,44,17,41,38,1280,900,70.3,250
Simon Asta,GER,DF,Augsburg,Bundesliga,17,2001,1.0,51,3,15,25,14,0,46,2,3,66.7,2,0,24,118,70,3,2,0,1,0,29,25,86.2,0
Youcef Atal,ALG,DF,Nice,Ligue 1,22,1996,25.1,1765,67,389,858,692,90,1575,110,200,55.0,119,10,1325,7176,5019,244,70,35,89,50,1317,1138,86.4,113
Christian Atsu,GHA,MF,Newcastle Utd,Premier League,26,1992,16.6,671,20,118,307,320,44,662,30,52,57.7,31,3,513,3134,1713,79,31,11,38,31,669,455,68.0,88
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,29,1989,30.3,1079,21,94,454,595,156,1035,27,55,49.1,31,1,764,4123,2357,138,32,34,62,41,1368,824,60.2,255
Emil Audero,ITA,GK,Sampdoria,Serie A,21,1997,36.0,1248,1152,1244,6,1,1,867,0,0,,0,0,602,2007,909,0,0,0,1,0,490,488,99.6,0
Jean-Kévin Augustin,FRA,FW,RB Leipzig,Bundesliga,21,1997,5.1,182,0,5,77,114,38,182,11,23,47.8,11,3,153,683,386,18,9,5,26,14,221,141,63.8,74
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,24,1994,33.6,2303,88,642,1032,758,73,1955,9,18,50.0,11,0,1396,6658,4039,181,61,12,36,24,1566,1410,90.0,125
Serge Aurier,CIV,DF,Tottenham,Premier League,25,1992,6.3,437,26,129,183,144,7,380,9,17,52.9,10,3,259,891,468,24,8,1,9,12,266,235,88.3,12
Charlie Austin,ENG,FW,Southampton,Premier League,29,1989,10.9,339,20,40,141,168,48,334,3,9,33.3,3,0,183,670,215,11,2,4,35,15,535,235,43.9,63
Ezequiel Ávila,ARG,FW,Huesca,La Liga,24,1994,22.2,918,31,114,431,445,108,888,31,60,51.7,32,2,581,3134,1681,93,36,13,60,29,975,636,65.2,191
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,26,1991,13.1,509,9,57,248,237,64,496,20,40,50.0,24,2,352,1751,790,45,9,7,48,39,680,337,49.6,108
Kaan Ayhan,TUR,DF,Düsseldorf,Bundesliga,23,1994,27.2,1716,208,1005,744,88,21,1626,9,12,75.0,10,0,1117,6440,3939,85,14,1,4,10,1099,1087,98.9,23
Floyd Ayité,TOG,FW,Fulham,Premier League,29,1988,5.3,285,5,44,145,120,20,281,14,22,63.6,16,2,208,1128,567,28,8,5,15,13,261,196,75.1,34
César Azpilicueta,ESP,DF,Chelsea,Premier League,28,1989,37.8,3300,132,987,1567,889,50,2934,17,28,60.7,18,0,2057,6823,3770,191,63,7,20,21,2283,2161,94.7,60
Abdoulaye Ba,SEN,DF,Rayo Vallecano,La Liga,27,1991,23.4,1341,226,872,498,25,11,1303,3,6,50.0,4,0,761,3686,1552,17,1,0,7,1,753,731,97.1,9
Florian Baak,GER,MF,Hertha BSC,Bundesliga,19,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
