Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Adrian Šemper,CRO,GK,Chievo,Serie A,20,1998,6,6,540,6.0,8,1.33,31,23,74.2,1,3,2,2,33.3,0,0,0,0,
Luigi Sepe,ITA,GK,Parma,Serie A,27,1991,37,37,3330,37.0,59,1.59,191,144,73.3,10,11,16,10,27.0,8,8,0,0,0.0
Unai Simón,ESP,GK,Athletic Club,La Liga,21,1997,7,7,630,7.0,13,1.86,31,20,64.5,1,4,2,0,0.0,2,2,0,0,0.0
Salvatore Sirigu,ITA,GK,Torino,Serie A,31,1987,36,36,3170,35.2,35,0.99,136,103,75.7,15,14,7,14,38.9,4,2,2,0,50.0
Antonio Sivera,ESP,GK,Alavés,La Liga,21,1996,3,3,270,3.0,4,1.33,14,10,71.4,2,0,1,0,0.0,0,0,0,0,
Łukasz Skorupski,POL,GK,Bologna,Serie A,27,1991,38,38,3420,38.0,56,1.47,173,121,69.9,11,11,16,10,26.3,4,4,0,0,0.0
Yann Sommer,SUI,GK,M'Gladbach,Bundesliga,29,1988,34,34,3060,34.0,43,1.26,154,115,74.0,16,7,11,13,38.2,3,3,0,0,0.0
David Soria,ESP,GK,Getafe,La Liga,25,1993,37,37,3330,37.0,34,0.92,127,100,76.4,14,14,9,13,35.1,7,4,2,1,33.3
Juan Soriano,ESP,GK,Sevilla,La Liga,20,1997,4,4,359,4.0,2,0.50,11,10,90.9,4,0,0,3,75.0,1,1,0,0,0.0
Stefano Sorrentino,ITA,GK,Chievo,Serie A,39,1979,31,31,2790,31.0,61,1.97,167,111,64.7,1,11,19,5,16.1,4,2,2,0,50.0
Julián Speroni,ARG,GK,Crystal Palace,Premier League,39,1979,1,1,90,1.0,4,4.00,10,6,60.0,0,0,1,0,0.0,0,0,0,0,
Marco Sportiello,ITA,GK,Frosinone,Serie A,26,1992,35,35,3150,35.0,64,1.83,198,140,70.2,5,9,21,8,22.9,5,5,0,0,0.0
Thomas Strakosha,ALB,GK,Lazio,Serie A,23,1995,35,35,3150,35.0,39,1.11,129,96,73.6,16,7,12,10,28.6,7,5,2,0,28.6
Danijel Subašić,CRO,GK,Monaco,Ligue 1,33,1984,14,14,1138,12.6,12,0.95,36,26,72.2,4,5,5,4,28.6,3,2,1,0,33.3
Seydou Sy,SEN,GK,Monaco,Ligue 1,22,1995,3,2,225,2.5,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,
Wojciech Szczęsny,POL,GK,Juventus,Serie A,28,1990,28,28,2520,28.0,20,0.71,78,59,75.6,22,5,1,11,39.3,3,1,1,1,50.0
Ciprian Tătărușanu,ROU,GK,Nantes,Ligue 1,32,1986,27,27,2391,26.6,30,1.13,95,67,69.5,8,6,13,7,25.9,4,1,3,0,75.0
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,26,1992,35,35,3150,35.0,32,0.91,116,86,73.3,25,8,2,16,45.7,1,1,0,0,0.0
Pietro Terracciano,ITA,GK,Fiorentina,Serie A,28,1990,2,2,180,2.0,3,1.50,11,7,72.7,0,1,1,0,0.0,0,0,0,0,
Pietro Terracciano,ITA,GK,Empoli,Serie A,28,1990,8,8,720,8.0,10,1.25,34,25,70.6,1,2,5,2,25.0,0,0,0,0,
Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,28,1990,33,33,2938,32.6,48,1.47,159,113,70.4,14,9,10,8,24.2,1,1,0,0,0.0
Mark Travers,IRL,GK,Bournemouth,Premier League,19,1999,2,2,180,2.0,5,2.50,13,9,61.5,1,0,1,1,50.0,0,0,0,0,
Philipp Tschauner,GER,GK,Hannover 96,Bundesliga,32,1985,1,1,90,1.0,3,3.00,5,3,60.0,0,0,1,0,0.0,1,1,0,0,0.0
Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,29,1988,9,8,757,8.4,9,1.07,20,13,65.0,4,3,1,2,25.0,3,2,0,1,0.0
Tomáš Vaclík,CZE,GK,Sevilla,La Liga,29,1989,33,33,2970,33.0,44,1.33,134,95,70.1,13,8,12,8,24.2,5,4,1,0,20.0
Koke Vegas,ESP,GK,Levante,La Liga,22,1995,1,1,90,1.0,2,2.00,8,6,75.0,0,1,0,0,0.0,0,0,0,0,
Emiliano Viviano,ITA,GK,SPAL,Serie A,32,1985,17,17,1525,16.9,25,1.48,82,60,74.4,7,3,7,4,23.5,4,4,0,0,0.0
Michel Vorm,NED,GK,Tottenham,Premier League,34,1983,2,2,180,2.0,4,2.00,13,9,69.2,0,0,2,0,0.0,0,0,0,0,
Axel Werner,ARG,GK,Huesca,La Liga,22,1996,6,6,540,6.0,16,2.67,35,21,57.1,1,1,4,0,0.0,1,1,0,0,0.0
Yoel,ESP,GK,Valladolid,La Liga,29,1988,3,3,270,3.0,6,2.00,11,6,54.5,0,2,1,0,0.0,1,1,0,0,0.0
Robin Zentner,GER,GK,Mainz 05,Bundesliga,23,1994,10,10,900,10.0,14,1.40,51,37,72.5,4,4,2,2,20.0,0,0,0,0,
Luca Zidane,FRA,GK,Real Madrid,La Liga,20,1998,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,
Ron-Robert Zieler,GER,GK,Stuttgart,Bundesliga,29,1989,34,34,3060,34.0,70,2.06,178,114,61.8,7,7,20,6,17.6,3,2,0,1,0.0
