Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
Lucien Agoume,FRA,MF,Spezia,Serie A,18,2002,12,800,67,23.4,8.9,9,84,6,3,13,22,1.08,14,14,0,0.00,+0.69,13.1,17.3,-4.2,-0.47,+0.16
Felix Agu,GER,DF,Werder Bremen,Bundesliga,20,1999,15,701,47,22.9,7.8,8,76,5,7,13,16,1.00,12,15,-3,-0.39,+0.30,8.5,12.2,-3.6,-0.47,+0.05
Kevin Agudelo,COL,FW,Spezia,Serie A,21,1998,29,1356,47,39.6,15.1,14,72,4,15,23,8,1.03,26,26,0,0.00,+0.87,19.9,24.7,-4.8,-0.32,+0.46
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,1996,35,3147,90,92.0,35.0,35,90,34,0,,0,1.54,46,36,+10,+0.29,-0.37,43.9,37.6,+6.4,+0.18,-1.00
Sergio Agüero,ARG,FW,Manchester City,Premier League,32,1988,12,559,47,16.3,6.2,7,69,2,5,16,7,2.42,11,4,+7,+1.13,-0.26,12.2,4.4,+7.8,+1.26,+0.18
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,27,1993,33,2225,67,65.1,24.7,27,79,15,6,14,2,1.97,37,30,+7,+0.28,-1.75,36.7,23.4,+13.3,+0.54,-1.00
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,6,252,42,8.2,2.8,3,43,0,3,41,6,0.50,3,12,-9,-3.21,-3.53,4.4,6.7,-2.3,-0.81,-0.88
Sören Ahlers,GER,GK,Schalke 04,Bundesliga,22,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,20,899,45,26.3,10.0,10,77,5,10,13,14,0.75,5,21,-16,-1.60,-1.07,9.9,20.3,-10.4,-1.04,-0.57
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,1994,27,2146,79,62.7,23.8,26,82,14,1,17,0,1.19,34,38,-4,-0.17,+0.19,33.9,31.6,+2.3,+0.10,-0.16
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,1994,2,36,18,1.1,0.4,0,,0,2,18,1,2.00,0,0,0,0.00,-0.90,0.2,0.4,-0.3,-0.70,-1.61
Antonis Aidonis,GER,DF,Stuttgart,Bundesliga,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,1995,25,1289,52,37.7,14.3,14,80,11,11,15,10,1.76,26,22,+4,+0.28,+0.53,20.6,19.9,+0.7,+0.05,+0.15
Ola Aina,NGA,DF,Fulham,Premier League,23,1996,31,2664,86,77.9,29.6,31,86,24,0,,4,0.84,22,36,-14,-0.47,+0.96,31.8,41.4,-9.6,-0.32,-0.08
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19,2001,21,1404,67,41.1,15.6,16,83,10,5,15,8,1.00,16,23,-7,-0.45,-0.05,16.8,18.3,-1.5,-0.09,+0.11
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,2001,3,187,62,5.5,2.1,2,80,0,1,28,0,1.00,3,8,-5,-2.41,-2.04,1.8,5.6,-3.8,-1.83,-1.68
Semi Ajayi,NGA,DF,West Brom,Premier League,26,1993,33,2780,84,81.3,30.9,31,88,30,2,26,4,0.64,31,71,-40,-1.29,-1.15,26.4,58.2,-31.7,-1.03,-0.71
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,35,2967,85,86.8,33.0,34,87,28,1,25,1,1.20,46,49,-3,-0.09,+1.10,48.4,41.1,+7.3,+0.22,+0.48
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,28,2350,84,76.8,26.1,26,89,23,2,25,0,1.82,60,37,+23,+0.88,+0.12,54.5,30.6,+24.0,+0.92,+0.37
Carlos Akapo,EQG,DF,Cádiz,La Liga,27,1993,13,865,67,25.3,9.6,10,74,7,3,41,14,1.46,10,8,+2,+0.21,+1.05,8.6,10.1,-1.5,-0.15,+0.53
Marley Aké,FRA,FW,Marseille,Ligue 1,19,2001,9,146,16,4.3,1.6,0,,0,9,16,11,1.56,3,3,0,0.00,-0.19,3.3,3.7,-0.4,-0.23,-0.28
Marley Aké,FRA,FW,Juventus,Serie A,19,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Nathan Aké,NED,DF,Manchester City,Premier League,25,1995,10,797,80,23.3,8.9,9,86,8,1,20,7,1.70,16,13,+3,+0.34,-1.31,15.5,9.3,+6.2,+0.70,-0.53
Paul Akouokou,CIV,MF,Betis,La Liga,22,1997,10,378,38,11.1,4.2,4,75,1,6,13,21,1.50,6,3,+3,+0.71,+0.80,6.2,4.4,+1.9,+0.44,+0.48
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,1992,32,1056,33,30.9,11.7,6,83,2,26,22,4,2.00,18,14,+4,+0.34,+0.26,15.7,13.3,+2.4,+0.20,-0.16
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,1995,16,1184,74,38.7,13.2,14,83,10,2,14,2,1.06,20,22,-2,-0.15,-0.15,19.7,23.3,-3.6,-0.27,-0.37
David Alaba,AUT,DF,Bayern Munich,Bundesliga,28,1992,32,2675,84,87.4,29.7,30,88,27,2,23,0,2.25,82,43,+39,+1.31,-2.43,62.6,38.2,+24.5,+0.82,-1.60
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,22,1998,22,1505,68,44.0,16.7,17,84,9,5,17,9,0.77,22,34,-12,-0.72,+0.18,18.9,27.6,-8.6,-0.52,+0.18
Jony Álamo,ESP,MF,Elche,La Liga,18,2001,1,73,73,2.1,0.8,1,73,0,0,,15,1.00,2,1,+1,+1.23,+1.82,0.7,0.7,+0.1,+0.07,+0.82
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,1992,25,1245,50,40.7,13.8,12,75,3,13,27,4,1.56,21,15,+6,+0.43,+0.04,18.0,15.7,+2.2,+0.16,-0.07
Fabrizio Alastra,ITA,GK,Parma,Serie A,22,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
David Alba,ESP,MF,Getafe,La Liga,21,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jordi Alba,ESP,DF,Barcelona,La Liga,31,1989,35,3025,86,88.5,33.6,34,88,28,1,45,1,2.14,79,34,+45,+1.34,+0.88,69.7,34.7,+35.0,+1.04,+0.05
Luis Alberto,ESP,MF,Lazio,Serie A,27,1992,34,2618,77,76.5,29.1,33,78,10,1,39,0,1.82,46,39,+7,+0.24,+0.35,45.8,34.9,+10.9,+0.38,+0.27
Raúl Albiol,ESP,DF,Villarreal,La Liga,34,1985,35,3115,89,91.1,34.6,35,89,31,0,,2,1.40,51,42,+9,+0.26,-1.81,51.4,38.7,+12.7,+0.37,-0.17
Julian Albrecht,GER,MF,Hertha BSC,Bundesliga,18,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Marc Albrighton,ENG,DF,Leicester City,Premier League,30,1989,31,1746,56,51.1,19.4,17,80,9,14,27,7,1.90,36,22,+14,+0.72,+0.51,30.7,25.0,+5.6,+0.29,+0.15
Paco Alcácer,ESP,FW,Villarreal,La Liga,26,1993,27,1544,57,45.1,17.2,19,71,1,8,24,2,1.44,25,22,+3,+0.17,-0.45,24.7,19.1,+5.6,+0.33,-0.10
Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,1989,13,909,70,26.6,10.1,8,87,7,5,42,20,0.77,12,25,-13,-1.29,-0.96,9.9,17.0,-7.1,-0.70,-0.20
Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,1991,24,1854,77,54.2,20.6,20,85,13,4,40,1,1.71,34,18,+16,+0.78,+0.20,40.5,23.2,+17.3,+0.84,+0.27
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,1991,30,2165,72,63.3,24.1,25,82,15,5,22,1,0.90,24,39,-15,-0.62,-0.05,25.6,31.4,-5.9,-0.24,+0.39
Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,1996,17,1299,76,42.5,14.4,14,89,13,3,18,12,1.18,17,19,-2,-0.14,+0.32,19.3,19.0,+0.4,+0.02,+0.28
Toby Alderweireld,BEL,DF,Tottenham,Premier League,31,1989,25,2240,90,65.5,24.9,25,90,24,0,,10,1.80,44,25,+19,+0.76,+0.46,34.9,31.1,+3.8,+0.15,+0.06
Iván Alejo,ESP,MF,Cádiz,La Liga,25,1995,22,827,38,24.2,9.2,6,69,0,16,26,12,1.36,10,12,-2,-0.22,+0.48,10.3,14.0,-3.7,-0.41,+0.19
Carles Aleñá,ESP,MF,Barcelona,La Liga,22,1998,2,48,24,1.4,0.5,0,,0,2,24,14,3.00,1,0,+1,+1.87,+0.65,0.5,1.9,-1.4,-2.60,-3.69
Carles Aleñá,ESP,MF,Getafe,La Liga,22,1998,22,1366,62,39.9,15.2,15,83,6,7,18,0,0.95,10,21,-11,-0.72,-0.55,14.7,15.1,-0.4,-0.03,+0.29
Kyle Alex John,ENG,DF,Everton,Premier League,19,2001,0,,,,,0,,,0,,6,,,,,,,,,,,
Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,1,16,16,0.5,0.2,0,,0,1,16,21,0.00,0,0,0,0.00,-0.42,0.1,0.5,-0.4,-2.03,-2.28
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,25,1995,0,,,,,0,,,0,,3,,,,,,,,,,,
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,1998,36,3031,84,88.6,33.7,34,88,30,2,19,0,1.81,60,40,+20,+0.59,-0.79,65.3,40.4,+24.9,+0.74,+0.20
Alfon,ESP,MF,Celta Vigo,La Liga,21,1999,2,34,17,1.0,0.4,0,,0,2,17,3,0.50,0,0,0,0.00,+0.05,0.2,0.3,0.0,-0.07,-0.02
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,16,2004,21,348,17,10.2,3.9,1,65,0,20,14,10,0.67,5,8,-3,-0.78,-0.34,4.5,5.5,-1.0,-0.27,-0.03
Marco Alia,ALB,GK,Lazio,Serie A,20,2000,0,,,,,0,,0,0,,31,,,,,,,,,,,
Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,36,2461,68,72.0,27.3,29,79,19,7,22,2,1.64,47,35,+12,+0.44,+0.81,45.7,43.2,+2.5,+0.09,+0.83
Rachid Alioui,MAR,FW,Angers,Ligue 1,28,1992,1,15,15,0.4,0.2,0,,0,1,15,0,1.00,0,0,0,0.00,+0.48,0.0,0.0,0.0,+0.01,+0.25
Alisson,BRA,GK,Liverpool,Premier League,27,1992,33,2970,90,86.8,33.0,33,90,33,0,,0,1.88,58,32,+26,+0.79,+0.79,63.9,37.9,+26.0,+0.79,+0.53
Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12,1080,90,31.6,12.0,12,90,12,0,,20,0.67,6,30,-24,-2.00,-1.08,10.7,24.8,-14.2,-1.18,-0.04
Allan,BRA,MF,Everton,Premier League,29,1991,24,2051,85,60.0,22.8,23,88,21,1,33,2,1.54,27,30,-3,-0.13,-0.26,30.6,31.5,-0.9,-0.04,+0.23
Dele Alli,ENG,MF,Tottenham,Premier League,24,1996,15,620,41,18.1,6.9,7,70,1,8,16,8,1.33,11,9,+2,+0.29,-0.38,11.0,10.4,+0.6,+0.09,-0.05
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,26,1994,34,2429,71,71.0,27.0,28,82,12,6,20,2,1.18,30,48,-18,-0.67,-0.85,28.8,37.5,-8.7,-0.32,+0.06
Gael Alonso,ESP,DF,Celta Vigo,La Liga,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Marcos Alonso,ESP,DF,Chelsea,Premier League,29,1990,13,960,74,28.1,10.7,11,84,9,2,20,9,2.08,15,13,+2,+0.19,-0.54,17.0,11.2,+5.8,+0.54,-0.39
Altube,ESP,GK,Real Madrid,La Liga,20,2000,0,,,,,0,,0,0,,35,,,,,,,,,,,
Fran Álvarez,ESP,MF,Valladolid,La Liga,22,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Iker Álvarez,AND,GK,Villarreal,La Liga,19,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Sergio Álvarez,ESP,MF,Eibar,La Liga,28,1992,27,1568,58,45.8,17.4,17,84,12,10,15,11,0.89,10,27,-17,-0.98,-0.68,12.8,25.2,-12.5,-0.72,-1.05
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,1995,23,1948,85,57.0,21.6,22,87,21,1,45,3,1.22,29,26,+3,+0.14,+0.08,26.0,23.4,+2.6,+0.12,-0.22
Bruno Alves,POR,DF,Parma,Serie A,38,1981,19,1632,86,47.7,18.1,18,90,18,1,12,11,0.58,10,39,-29,-1.60,-0.84,14.1,31.6,-17.5,-0.97,-0.78
Steven Alzate,COL,MF,Brighton,Premier League,21,1998,15,896,60,26.2,10.0,10,76,4,5,28,20,0.93,10,17,-7,-0.70,-0.74,11.2,10.3,+0.9,+0.09,-0.38
Alfons Amade,GER,DF,Hoffenheim,Bundesliga,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,1993,24,1504,63,44.0,16.7,20,72,7,4,15,0,1.25,13,19,-6,-0.36,+0.20,17.5,20.4,-3.0,-0.18,+0.11
Romain Amalfitano,FRA,FW,Dijon,Ligue 1,30,1989,2,116,58,3.4,1.3,1,70,0,1,46,0,0.00,1,4,-3,-2.33,-1.10,0.4,5.4,-5.0,-3.89,-2.83
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,2001,1,45,45,1.3,0.5,0,,0,1,45,9,0.00,1,2,-1,-2.00,-1.63,0.9,1.2,-0.3,-0.59,-0.39
Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,12,722,60,21.1,8.0,8,80,6,4,21,14,1.54,13,14,-1,-0.12,-0.76,10.7,11.0,-0.3,-0.04,-0.32
Jordan Amavi,FRA,DF,Marseille,Ligue 1,26,1994,13,813,63,23.8,9.0,10,80,7,3,3,2,2.31,16,6,+10,+1.11,+1.21,11.2,10.5,+0.7,+0.07,+0.04
Thierry Ambrose,GLP,FW,Metz,Ligue 1,23,1997,23,753,33,22.0,8.4,5,62,0,18,25,10,1.22,13,11,+2,+0.24,+0.44,8.9,10.8,-1.9,-0.23,-0.02
Wisdom Amey,ITA,DF,Bologna,Serie A,14,2005,1,2,2,0.1,0.0,0,,0,1,2,2,0.00,0,0,0,0.00,+0.37,0.0,0.0,0.0,+1.10,+1.40
Bruno Amione,ARG,DF,Hellas Verona,Serie A,18,2002,0,,,,,0,,0,0,,13,,,,,,,,,,,
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,1996,29,1890,65,61.8,21.0,20,85,14,9,21,0,1.62,39,24,+15,+0.71,+0.79,29.5,24.7,+4.8,+0.23,+0.07
Yanis Ammour,FRA,FW,Montpellier,Ligue 1,21,1999,0,,,,,0,,,0,,1,,,,,,,,,,,
Ethan Ampadu,WAL,DF,Sheffield Utd,Premier League,19,2000,25,2089,84,61.1,23.2,23,86,19,2,53,4,0.52,12,41,-29,-1.25,-0.30,19.1,38.7,-19.6,-0.85,-0.07
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23,1996,31,2441,79,71.4,27.1,28,86,21,3,11,4,1.06,33,44,-11,-0.41,-0.31,32.4,40.0,-7.6,-0.28,-0.07
Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,1989,23,800,35,23.4,8.9,7,73,2,16,18,13,1.17,6,18,-12,-1.35,-1.01,7.8,16.9,-9.1,-1.02,-0.62
Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,1996,3,192,64,5.6,2.1,2,90,2,1,12,3,1.33,1,2,-1,-0.47,-1.56,3.8,1.8,+2.0,+0.92,-0.18
Joachim Andersen,DEN,DF,Fulham,Premier League,24,1996,31,2730,88,79.8,30.3,30,89,29,1,59,0,0.87,22,35,-13,-0.43,+1.27,34.1,40.2,-6.2,-0.20,+0.51
Djavan Anderson,NED,DF,Lazio,Serie A,25,1995,3,72,24,2.1,0.8,1,45,0,2,14,13,1.00,0,2,-2,-2.50,-2.72,0.2,0.5,-0.3,-0.33,-0.65
Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,17,2002,1,4,4,0.1,0.0,0,,0,1,4,8,0.00,0,0,0,0.00,+0.42,0.0,0.3,-0.3,-7.28,-6.95
Felipe Anderson,BRA,FW,West Ham,Premier League,27,1993,2,3,2,0.1,0.0,0,,0,2,2,2,0.00,0,0,0,0.00,-0.40,0.1,0.2,-0.1,-3.63,-3.78
Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,1991,16,1126,70,36.8,12.5,14,79,4,2,10,1,0.69,14,23,-9,-0.72,-0.07,17.3,18.8,-1.4,-0.11,+0.58
Florin Andone,ROU,FW,Brighton,Premier League,27,1993,0,,,,,0,,,0,,1,,,,,,,,,,,
Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2,180,90,5.3,2.0,2,90,2,0,,3,1.50,5,5,0,0.00,+0.44,3.1,2.1,+1.0,+0.49,+0.77
Benjamin André,FRA,MF,Lille,Ligue 1,29,1990,35,2885,82,84.4,32.1,35,82,17,0,,0,2.20,47,17,+30,+0.94,-0.91,37.4,21.3,+16.1,+0.50,-0.72
Lluis Andreu,ESP,GK,Elche,La Liga,21,1999,0,,,,,0,,0,0,,11,,,,,,,,,,,
Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,1994,29,2526,87,82.5,28.1,29,87,26,0,,0,1.45,43,32,+11,+0.39,+1.07,41.2,32.6,+8.6,+0.31,+1.01
Victorien Angban,CIV,MF,Metz,Ligue 1,23,1996,26,1672,64,48.9,18.6,21,76,7,5,15,8,1.50,21,23,-2,-0.11,0.00,19.6,21.9,-2.3,-0.13,+0.17
Ángel,ESP,GK,Granada,La Liga,18,2002,1,90,90,2.6,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,-1.57,0.8,2.6,-1.8,-1.77,-1.44
José Ángel,ESP,DF,Eibar,La Liga,30,1989,14,901,64,26.3,10.0,11,76,5,3,23,5,0.64,5,18,-13,-1.30,-0.94,12.3,10.4,+1.8,+0.18,+0.45
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,36,1984,0,,,,,0,,0,0,,17,,,,,,,,,,,
Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,1998,2,135,68,3.9,1.5,1,90,1,1,45,9,0.50,1,3,-2,-1.33,-0.76,1.1,2.2,-1.1,-0.73,-0.36
Angeliño,ESP,DF,RB Leipzig,Bundesliga,23,1997,26,2161,83,70.6,24.0,24,87,18,2,38,2,1.88,43,20,+23,+0.96,+0.46,44.7,19.9,+24.8,+1.03,-0.11
Davide Angelo Ghislandi,ITA,DF,Atalanta,Serie A,19,2001,1,5,5,0.1,0.1,0,,0,1,5,5,3.00,0,0,0,0.00,-1.13,0.1,0.0,+0.1,+1.43,+0.51
Faustino Anjorin,ENG,MF,Chelsea,Premier League,18,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
Peter Ankersen,DEN,DF,Genoa,Serie A,29,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,
Philip Ankhrah,GHA,MF,Hellas Verona,Serie A,17,2002,1,13,13,0.4,0.1,0,,0,1,13,3,1.00,0,0,0,0.00,+0.05,0.0,0.3,-0.2,-1.65,-1.47
Ebenezer Annan,GHA,DF,Bologna,Serie A,17,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Cristian Ansaldi,ARG,DF,Torino,Serie A,33,1986,31,1947,63,56.9,21.6,20,88,16,11,17,3,1.03,26,38,-12,-0.55,-0.13,29.9,35.9,-6.0,-0.28,-0.12
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,1996,31,2711,87,88.6,30.1,30,90,29,1,18,1,1.29,50,52,-2,-0.07,-0.84,48.0,47.2,+0.8,+0.03,+0.26
Michail Antonio,JAM,FW,West Ham,Premier League,30,1990,26,1974,76,57.7,21.9,24,80,12,2,23,0,1.85,38,25,+13,+0.59,+0.47,35.6,23.0,+12.6,+0.57,+1.01
José Antonio Miranda,EQG,MF,Getafe,La Liga,22,1998,4,26,7,0.8,0.3,0,,0,4,7,4,0.50,0,2,-2,-6.92,-6.58,0.8,1.3,-0.5,-1.87,-1.68
Mirko Antonucci,ITA,MF,Roma,Serie A,21,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Valentin Antov,BUL,DF,Bologna,Serie A,19,2000,5,232,46,6.8,2.6,2,82,1,3,23,13,0.60,1,6,-5,-1.94,-1.69,2.4,6.6,-4.2,-1.62,-1.42
