Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Ángel Correa,ARG,FW,Atlético Madrid,La Liga,25,1995,26.6,3,0,0,39,37,13,40,21,30,0,0,0,170,14,44,24.1
Joaquín Correa,ARG,FW,Lazio,Serie A,25,1994,21.5,3,1,1,27,58,5,9,9,10,3,0,0,93,12,33,26.7
Rober Correa,ESP,DF,Eibar,La Liga,27,1992,12.6,3,0,0,10,20,1,31,24,17,1,0,0,158,46,25,64.8
Félix Correia,POR,MF,Juventus,Serie A,19,2001,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Thierry Correia,POR,DF,Valencia,La Liga,21,1999,23.7,6,1,1,37,47,2,48,36,34,0,0,0,188,32,29,52.5
Danny da Costa,GER,DF,Mainz 05,Bundesliga,27,1993,13.4,2,0,0,6,4,1,35,22,10,0,0,0,104,15,7,68.2
Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,27,1993,1.2,0,0,0,2,0,0,3,0,2,0,0,0,10,1,2,33.3
David Pereira da Costa,POR,MF,Lens,Ligue 1,19,2001,1.8,0,0,0,2,3,0,0,0,5,0,0,0,11,2,0,100.0
Diego Costa,ESP,FW,Atlético Madrid,La Liga,31,1988,2.3,1,0,0,8,3,5,2,0,0,1,0,0,3,9,15,37.5
Douglas Costa,BRA,MF,Juventus,Serie A,29,1990,0.5,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0.0
Douglas Costa,BRA,FW,Bayern Munich,Bundesliga,29,1990,3.6,0,0,0,7,4,3,12,3,2,0,0,0,25,2,5,28.6
Hélder Costa,ANG,MF,Leeds United,Premier League,26,1994,12.8,0,0,0,24,19,3,16,6,15,0,0,1,68,4,25,13.8
Jaume Costa,ESP,DF,Villarreal,La Liga,32,1988,3.9,1,0,0,8,9,0,7,8,3,0,0,0,30,6,5,54.5
Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,36,1983,6.0,2,0,0,0,0,1,0,0,0,0,0,0,24,0,0,
Charles Costes,FRA,MF,Dijon,Ligue 1,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,33,1987,38.0,0,0,0,0,3,0,0,0,0,0,0,0,189,0,0,
Vladimír Coufal,CZE,DF,West Ham,Premier League,27,1992,33.9,3,0,0,33,38,0,102,39,41,0,0,0,322,50,42,54.3
Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,28,1991,10.9,2,0,0,15,11,11,9,3,6,0,0,0,35,70,77,47.6
Lassana Coulibaly,MLI,MF,Angers,Ligue 1,24,1996,18.7,4,1,0,31,32,0,5,36,56,0,0,0,202,25,30,45.5
Mamadou Coulibaly,SEN,MF,Udinese,Serie A,21,1999,2.0,0,0,0,2,1,1,1,1,7,0,0,0,29,0,8,0.0
Senou Coulibaly,MLI,DF,Dijon,Ligue 1,25,1994,21.5,6,1,1,20,15,0,0,40,23,0,0,0,158,40,44,47.6
Tanguy Coulibaly,FRA,DF,Stuttgart,Bundesliga,19,2001,16.7,2,0,0,35,23,11,29,7,20,0,0,0,102,13,36,26.5
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,28,1992,38.0,0,0,0,1,4,0,0,0,0,0,1,0,177,0,0,
Philippe Coutinho,BRA,MF,Barcelona,La Liga,28,1992,7.3,0,0,0,9,14,1,10,4,6,0,0,0,39,3,9,25.0
Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,21,1999,15.2,2,0,0,23,17,1,13,21,18,0,0,0,113,17,26,39.5
Alessio Cragno,ITA,GK,Cagliari,Serie A,26,1994,34.0,1,0,0,2,5,0,0,0,0,0,2,0,128,0,0,
Gian Crespi,ITA,GK,Crotone,Serie A,19,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Aaron Cresswell,ENG,DF,West Ham,Premier League,30,1989,35.2,3,0,0,15,18,0,91,36,13,0,0,0,307,38,30,55.9
Domenico Criscito,ITA,DF,Genoa,Serie A,33,1986,19.2,6,0,0,29,27,0,18,35,27,0,1,0,191,22,28,44.0
Bryan Cristante,ITA,DF,Roma,Serie A,25,1995,23.9,8,0,0,37,22,4,11,34,31,0,0,1,196,37,27,57.8
Giovanni Crociata,ITA,MF,Crotone,Serie A,22,1997,0.3,0,0,0,1,1,0,2,0,1,0,0,0,3,0,0,
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,28,1992,21.8,4,0,0,13,4,2,41,10,17,0,1,0,186,30,29,50.8
Juan Cuadrado,COL,DF,Juventus,Serie A,32,1988,24.2,9,1,0,38,70,3,92,31,21,2,0,0,166,13,23,36.1
Adrián Cubas,PAR,MF,Nîmes,Ligue 1,24,1996,24.9,6,1,1,40,20,0,4,57,62,0,0,0,292,6,24,20.0
Sergio Cubero Ezcurra,ESP,MF,Eibar,La Liga,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cucho,COL,FW,Getafe,La Liga,21,1999,16.3,5,0,0,33,34,10,31,5,10,0,0,0,100,40,73,35.4
Marc Cucurella,ESP,MF,Getafe,La Liga,22,1998,36.0,8,0,0,75,67,9,96,54,48,0,0,0,291,72,101,41.6
Mickaël Cuisance,FRA,FW,Bayern Munich,Bundesliga,20,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Mickaël Cuisance,FRA,MF,Marseille,Ligue 1,20,1999,11.4,3,0,0,36,14,1,9,7,17,0,0,0,75,9,27,25.0
Matheus Cunha,BRA,FW,Hertha BSC,Bundesliga,21,1999,23.9,9,0,0,50,82,5,58,35,30,1,1,0,185,15,28,34.9
Giuseppe Cuomo,ITA,DF,Crotone,Serie A,22,1998,8.9,4,0,0,15,7,0,0,15,14,0,0,0,106,24,9,72.7
Patrick Cutrone,ITA,FW,Wolves,Premier League,22,1998,0.3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3
Patrick Cutrone,ITA,FW,Fiorentina,Serie A,22,1998,2.2,0,0,0,8,4,0,2,0,2,0,0,0,11,4,9,30.8
Patrick Cutrone,ITA,FW,Valencia,La Liga,22,1998,1.2,0,0,0,3,1,1,1,1,0,0,0,0,4,0,9,0.0
Wylan Cyprien,FRA,MF,Parma,Serie A,25,1995,4.6,2,0,0,7,8,0,3,3,6,0,0,0,36,4,2,66.7
Rafael Czichos,GER,DF,Köln,Bundesliga,30,1990,25.1,7,0,0,29,18,2,3,38,37,0,1,0,257,78,53,59.5
Lennart-Marten Czyborra,GER,DF,Genoa,Serie A,21,1999,13.0,2,0,0,15,8,0,17,12,7,0,0,0,85,12,20,37.5
Danilo D'Ambrosio,ITA,DF,Inter,Serie A,31,1988,7.8,2,0,0,15,13,0,8,6,11,0,0,0,49,14,7,66.7
Damien Da Silva,FRA,DF,Rennes,Ligue 1,32,1988,29.6,7,1,0,30,22,0,7,40,18,0,1,0,278,88,28,75.9
Moanes Dabbur,ISR,FW,Hoffenheim,Bundesliga,28,1992,11.1,2,0,0,21,26,5,8,6,8,0,0,0,76,22,23,48.9
Bryan Dabo,BFA,MF,Benevento,Serie A,28,1992,12.4,5,0,0,21,22,1,14,14,8,0,0,0,128,53,21,71.6
Colin Dagba,FRA,DF,Paris S-G,Ligue 1,21,1998,15.1,3,0,0,23,11,3,32,12,13,0,1,0,96,4,14,22.2
Finn Dahmen,GER,GK,Mainz 05,Bundesliga,22,1998,3.0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,
Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,24,1996,14.0,2,0,0,29,19,0,7,21,24,0,1,0,170,14,12,53.8
Leon Dajaku,GER,FW,Union Berlin,Bundesliga,19,2001,0.4,0,0,0,0,1,2,0,0,1,0,0,0,5,1,1,50.0
Stuart Dallas,NIR,DF,Leeds United,Premier League,29,1991,37.9,7,0,0,45,59,0,56,59,52,0,0,0,367,41,37,52.6
Diogo Dalot,POR,DF,Milan,Serie A,21,1999,12.1,5,0,0,26,4,2,34,18,17,0,0,0,97,22,9,71.0
Mikkel Damsgaard,DEN,MF,Sampdoria,Serie A,20,2000,19.7,3,0,0,27,32,3,35,28,28,0,1,0,144,22,33,40.0
Flavius Daniliuc,AUT,DF,Nice,Ligue 1,19,2001,16.4,0,0,0,11,10,0,2,19,12,0,0,0,139,21,24,46.7
Danilo,BRA,DF,Juventus,Serie A,29,1991,32.4,6,0,0,30,24,2,28,44,37,0,1,0,268,34,18,65.4
Scott Dann,ENG,DF,Crystal Palace,Premier League,33,1987,15.0,1,0,0,8,5,0,0,8,7,0,0,0,148,49,34,59.0
Tiago Dantas,POR,MF,Bayern Munich,Bundesliga,19,2000,0.8,0,0,0,0,1,0,1,1,0,0,0,0,7,0,1,0.0
Dante,BRA,DF,Nice,Ligue 1,36,1983,8.6,2,0,0,8,5,0,0,2,7,0,1,0,78,22,8,73.3
Andrea Danzi,ITA,MF,Hellas Verona,Serie A,21,1999,1.2,1,0,0,1,0,0,0,1,0,0,0,0,12,2,0,100.0
Ebrima Darboe,GAM,MF,Roma,Serie A,19,2001,3.6,2,0,0,6,4,0,0,13,4,0,0,0,42,2,4,33.3
Márton Dárdai,GER,DF,Hertha BSC,Bundesliga,18,2002,9.1,0,0,0,12,4,0,8,15,11,0,0,0,64,12,14,46.2
Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,29,1990,21.1,5,1,0,34,30,2,45,32,24,0,0,0,206,21,32,39.6
Karl Darlow,ENG,GK,Newcastle Utd,Premier League,29,1990,25.0,3,0,0,0,4,0,0,1,0,0,0,0,103,0,0,
Matteo Darmian,ITA,DF,Parma,Serie A,30,1989,2.3,1,0,0,3,3,0,0,3,3,0,0,0,11,2,2,50.0
Matteo Darmian,ITA,DF,Inter,Serie A,30,1989,12.9,4,0,0,18,19,2,28,16,13,1,1,0,74,18,11,62.1
Jonathan David,CAN,FW,Lille,Ligue 1,20,2000,26.2,0,0,0,37,45,7,7,15,13,2,0,0,117,22,69,24.2
Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,19,2000,19.6,2,1,0,13,42,3,28,46,38,1,0,0,242,19,21,47.5
Ben Davies,WAL,DF,Tottenham,Premier League,27,1993,15.0,1,0,0,25,12,1,24,13,13,1,0,0,101,34,20,63.0
Tom Davies,ENG,MF,Everton,Premier League,22,1998,15.8,3,0,0,38,29,0,5,34,28,0,1,0,130,9,16,36.0
Keinan Davis,ENG,FW,Aston Villa,Premier League,22,1998,3.1,0,0,0,4,9,0,6,0,3,0,0,0,12,17,17,50.0
Leif Davis,ENG,DF,Leeds United,Premier League,20,2000,0.4,0,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0.0
Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,25,1995,20.7,9,0,0,43,12,2,5,26,30,0,0,0,232,54,42,56.3
Craig Dawson,ENG,DF,West Ham,Premier League,30,1990,21.4,5,1,1,22,13,2,0,39,11,0,0,2,153,65,28,69.9
Kevin De Bruyne,BEL,MF,Manchester City,Premier League,29,1991,22.2,1,0,0,27,42,1,65,16,31,2,0,0,157,8,14,36.4
Sebastien De Maio,FRA,DF,Udinese,Serie A,33,1987,9.5,1,0,0,12,7,3,1,13,13,0,0,0,104,24,19,55.8
Rodrigo De Paul,ARG,MF,Udinese,Serie A,26,1994,35.6,5,2,1,41,131,1,114,19,30,0,1,0,267,6,13,31.6
Mattia De Sciglio,ITA,DF,Lyon,Ligue 1,27,1992,16.3,4,1,0,24,10,0,24,36,23,0,0,0,145,20,13,60.6
Mattia De Sciglio,ITA,DF,Juventus,Serie A,27,1992,0.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,32,1988,23.8,4,0,0,42,15,1,35,28,17,0,0,0,182,51,35,59.3
Thibault De Smet,BEL,DF,Reims,Ligue 1,22,1998,5.5,3,0,0,13,6,0,9,5,8,0,1,0,52,11,13,45.8
Lucas Deaux,FRA,MF,Nîmes,Ligue 1,31,1988,19.5,4,1,0,36,20,3,21,14,38,0,1,0,221,37,31,54.4
Mathieu Debuchy,FRA,DF,Saint-Étienne,Ligue 1,35,1985,23.4,5,0,0,41,20,4,61,47,37,0,3,0,211,79,29,73.1
Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,29,1991,14.8,1,0,0,15,20,5,7,8,12,0,0,0,79,8,27,22.9
Alessandro Deiola,ITA,MF,Spezia,Serie A,24,1995,4.0,1,0,0,7,5,0,3,2,6,0,0,0,34,3,6,33.3
Alessandro Deiola,ITA,MF,Cagliari,Serie A,24,1995,6.8,2,0,0,14,6,0,4,15,7,0,0,0,61,9,2,81.8
Romain Del Castillo,FRA,MF,Rennes,Ligue 1,24,1996,7.2,2,0,0,16,13,2,26,4,23,0,0,0,59,7,13,35.0
Lorenzo Del Pinto,ITA,MF,Benevento,Serie A,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Thomas Delaine,FRA,DF,Metz,Ligue 1,28,1992,19.8,4,0,0,23,16,0,69,16,18,0,0,0,132,10,14,41.7
Thomas Delaney,DEN,MF,Dortmund,Bundesliga,28,1991,14.3,6,0,0,41,30,1,9,24,37,0,0,0,160,30,14,68.2
Liam Delap,ENG,FW,Manchester City,Premier League,17,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
Jonathan Delaplace,FRA,DF,Lorient,Ligue 1,34,1986,10.1,1,1,0,16,8,1,27,20,12,0,0,0,96,6,11,35.3
Sacha Delaye,FRA,MF,Montpellier,Ligue 1,18,2002,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
Cristian Dell'Orco,ITA,DF,Spezia,Serie A,26,1994,2.9,0,0,0,2,2,0,0,4,1,0,0,0,37,5,4,55.6
Andy Delort,ALG,FW,Montpellier,Ligue 1,28,1991,27.6,4,0,0,55,48,19,92,4,15,1,0,0,141,128,112,53.3
Fabian Delph,ENG,MF,Everton,Premier League,30,1989,3.0,1,0,0,3,9,0,3,4,2,0,0,0,29,0,0,
Moussa Dembélé,FRA,FW,Atlético Madrid,La Liga,24,1996,1.1,0,0,0,3,0,3,1,0,0,0,0,0,8,6,6,50.0
Moussa Dembélé,FRA,FW,Lyon,Ligue 1,24,1996,7.5,3,0,0,16,6,7,2,2,3,0,0,0,34,16,26,38.1
Ousmane Dembélé,FRA,FW,Barcelona,La Liga,23,1997,19.7,2,0,0,14,34,11,58,14,10,0,0,0,77,8,12,40.0
Merih Demiral,TUR,DF,Juventus,Serie A,22,1998,10.4,1,0,0,13,2,2,0,12,11,0,1,0,82,25,8,75.8
Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,27,1993,19.4,2,0,0,45,27,0,30,13,35,0,0,0,197,15,24,38.5
Ermedin Demirović,BIH,FW,Freiburg,Bundesliga,22,1998,16.6,7,0,0,51,21,10,11,5,13,1,0,0,68,45,96,31.9
Diego Demme,GER,MF,Napoli,Serie A,28,1991,17.7,6,0,0,40,32,1,8,17,37,0,0,0,168,7,16,30.4
Jason Denayer,BEL,DF,Lyon,Ligue 1,25,1995,29.0,1,0,0,24,9,0,1,22,21,0,0,0,237,46,42,52.3
Leander Dendoncker,BEL,MF,Wolves,Premier League,25,1995,27.8,4,0,0,37,15,4,8,27,29,0,0,1,232,83,51,61.9
Kevin Denkey,TOG,FW,Nîmes,Ligue 1,19,2000,5.8,3,0,0,22,10,2,5,2,3,0,0,0,27,6,16,27.3
Emmanuel Dennis,NGA,FW,Köln,Bundesliga,22,1997,5.3,0,0,0,16,5,7,9,3,7,0,0,0,27,9,18,33.3
Stefano Denswil,NED,DF,Bologna,Serie A,27,1993,1.3,0,0,0,0,2,0,0,1,2,0,0,0,11,3,1,75.0
Fabio Depaoli,ITA,DF,Benevento,Serie A,23,1997,12.4,2,0,0,24,8,1,19,16,15,0,0,1,69,15,9,62.5
Fabio Depaoli,ITA,MF,Sampdoria,Serie A,23,1997,0.9,0,0,0,5,2,2,1,0,0,0,0,0,5,0,4,0.0
Fabio Depaoli,ITA,DF,Atalanta,Serie A,23,1997,2.1,0,0,0,6,2,0,1,1,1,0,0,0,9,3,2,60.0
Memphis Depay,NED,FW,Lyon,Ligue 1,26,1994,32.5,4,0,0,32,62,12,99,9,6,2,0,0,157,16,32,33.3
Clément Depres,FRA,MF,Nîmes,Ligue 1,25,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike van der Hoorn,NED,DF,Arminia,Bundesliga,27,1992,15.1,3,0,0,13,7,0,0,8,7,0,2,0,154,55,36,60.4
Kastriot Dermaku,ALB,DF,Parma,Serie A,28,1992,1.1,0,0,0,2,1,0,0,1,0,0,0,0,7,0,1,0.0
Kiril Despodov,BUL,FW,Cagliari,Serie A,23,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Sergiño Dest,USA,DF,Barcelona,La Liga,19,2000,21.2,1,0,0,18,15,3,39,17,19,0,0,0,147,5,11,31.3
Mattia Destro,ITA,FW,Genoa,Serie A,29,1991,17.8,5,0,0,41,39,23,4,2,7,0,0,0,62,32,77,29.4
Gerard Deulofeu,ESP,FW,Udinese,Serie A,26,1994,6.6,0,0,0,10,7,11,14,3,2,1,0,0,32,0,11,0.0
Deyverson,BRA,FW,Alavés,La Liga,29,1991,9.7,4,0,0,16,24,11,13,10,6,0,0,0,73,65,49,57.0
Jacopo Dezi,ITA,FW,Parma,Serie A,28,1992,0.9,0,0,0,2,2,0,3,1,1,0,0,0,5,0,2,0.0
Samuel Di Carmine,ITA,FW,Hellas Verona,Serie A,31,1988,5.6,1,0,0,19,21,6,5,0,0,0,0,0,21,30,28,51.7
Samuel Di Carmine,ITA,FW,Crotone,Serie A,31,1988,5.3,1,0,0,6,13,0,3,1,2,1,0,0,11,12,16,42.9
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,26,1993,36.0,11,0,0,57,64,3,58,40,57,1,1,0,216,57,44,56.4
Ángel Di María,ARG,FW,Paris S-G,Ligue 1,32,1988,20.6,1,0,0,11,29,8,103,7,22,1,0,0,94,0,2,0.0
Alessandro Di Pardo,ITA,MF,Juventus,Serie A,21,1999,0.2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Giuseppe Di Serio,ITA,FW,Benevento,Serie A,19,2001,3.2,1,0,0,14,16,2,2,1,2,0,0,0,17,11,12,47.8
Boulaye Dia,SEN,FW,Reims,Ligue 1,23,1996,32.6,2,0,0,38,38,14,13,16,17,1,0,0,127,31,100,23.7
Abdoulay Diaby,MLI,MF,Getafe,La Liga,29,1991,0.2,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0.0
Moussa Diaby,FRA,FW,Leverkusen,Bundesliga,21,1999,26.5,5,0,0,28,19,10,102,19,7,0,0,0,143,5,18,21.7
Mbaye Diagne,SEN,FW,West Brom,Premier League,28,1991,13.2,2,0,0,18,26,17,5,2,4,0,0,0,48,48,100,32.4
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,23,1996,23.1,4,1,0,24,8,4,2,10,15,0,1,0,180,50,17,74.6
Abdou Diallo,SEN,DF,Paris S-G,Ligue 1,24,1996,16.6,3,2,1,15,10,1,10,17,15,0,0,0,142,24,15,61.5
Amad Diallo,CIV,MF,Atalanta,Serie A,18,2002,0.2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0
Amad Diallo,CIV,FW,Manchester Utd,Premier League,18,2002,1.8,0,0,0,2,5,0,0,3,3,0,0,0,11,1,2,33.3
Habib Diallo,SEN,FW,Metz,Ligue 1,25,1995,1.6,0,0,0,2,1,2,1,0,0,0,0,0,8,10,15,40.0
Habib Diallo,SEN,FW,Strasbourg,Ligue 1,25,1995,25.8,2,0,0,27,27,13,17,13,10,0,0,0,109,84,109,43.5
Ibrahima Diallo,FRA,MF,Southampton,Premier League,21,1999,11.3,3,0,0,31,18,0,7,16,25,0,1,0,126,8,19,29.6
Ibrahima Diallo,FRA,MF,Brest,Ligue 1,21,1999,4.9,1,0,0,8,10,0,3,3,8,0,0,0,44,2,3,40.0
Amadou Diambo,GHA,FW,Benevento,Serie A,19,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Grady Diangana,ENG,MF,West Brom,Premier League,22,1998,13.7,0,0,0,13,40,4,15,14,19,0,0,0,80,15,37,28.8
Stéphane Diarra,FRA,FW,Lorient,Ligue 1,21,1998,2.2,1,0,0,4,5,3,13,0,1,0,0,0,18,2,2,50.0
Rúben Dias,POR,DF,Manchester City,Premier League,23,1997,31.6,4,0,0,26,23,1,2,22,21,0,2,1,272,60,28,68.2
Krepin Diatta,SEN,MF,Monaco,Ligue 1,21,1999,4.3,3,0,0,4,8,3,8,1,2,0,0,0,33,7,8,46.7
Amadou Diawara,GUI,MF,Roma,Serie A,23,1997,7.3,4,1,1,20,5,0,0,9,12,0,0,0,80,3,3,50.0
Brahim Díaz,ESP,MF,Milan,Serie A,20,1999,13.6,2,0,0,14,36,1,8,6,20,1,0,0,87,6,30,16.7
Víctor Díaz,ESP,DF,Granada,La Liga,32,1988,9.2,3,0,0,13,1,0,22,16,16,0,1,0,91,16,14,53.3
Daniel Didavi,GER,FW,Stuttgart,Bundesliga,30,1990,10.8,2,0,0,15,17,4,19,6,7,0,0,0,63,9,11,45.0
Bamba Dieng,SEN,FW,Marseille,Ligue 1,20,2000,1.4,0,0,0,2,3,3,1,1,2,1,0,0,5,1,5,16.7
Eric Dier,ENG,DF,Tottenham,Premier League,26,1994,28.0,3,0,0,16,14,0,4,23,15,0,2,0,269,90,48,65.2
Daan Dierckx,BEL,DF,Parma,Serie A,17,2003,5.2,1,0,0,5,1,1,0,11,5,0,0,0,19,3,11,21.4
Lucas Digne,FRA,DF,Everton,Premier League,27,1993,29.8,2,1,0,38,30,4,132,26,40,0,0,0,285,94,39,70.7
Mitchell Dijks,NED,DF,Bologna,Serie A,27,1993,16.5,7,1,1,30,16,1,33,20,17,0,1,0,112,12,17,41.4
Javairô Dilrosun,NED,FW,Hertha BSC,Bundesliga,22,1998,5.9,0,0,0,8,10,1,9,6,5,0,0,0,30,1,7,12.5
Federico Dimarco,ITA,DF,Hellas Verona,Serie A,22,1997,29.0,6,0,0,36,50,6,103,42,25,0,1,0,246,13,30,30.2
Junior Dina Ebimbe,FRA,FW,Dijon,Ligue 1,19,2000,23.8,5,0,0,48,39,2,25,17,32,0,0,0,157,15,29,34.1
Tristan Dingomé,CMR,MF,Reims,Ligue 1,29,1991,0.2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,
Eren Dinkçi,GER,FW,Werder Bremen,Bundesliga,18,2001,1.2,0,1,0,1,0,1,1,3,0,0,0,0,10,3,3,50.0
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,19,2001,12.6,3,0,0,16,12,0,3,23,8,0,1,0,112,51,15,77.3
Lois Diony,FRA,FW,Angers,Ligue 1,27,1992,19.4,2,0,0,25,36,5,30,3,12,1,0,0,61,43,80,35.0
Issa Diop,FRA,DF,West Ham,Premier League,23,1997,15.3,3,0,0,9,7,1,1,14,19,0,0,1,111,30,20,60.0
Papakouli Diop,SEN,MF,Eibar,La Liga,34,1986,25.8,9,2,1,48,26,2,7,39,36,0,0,0,351,86,69,55.5
Sofiane Diop,FRA,MF,Monaco,Ligue 1,20,2000,22.5,4,0,0,36,61,4,24,16,41,0,0,0,218,22,28,44.0
Andy Diouf,FRA,FW,Rennes,Ligue 1,17,2003,0.1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,100.0
Yehvann Diouf,FRA,GK,Reims,Ligue 1,20,1999,1.5,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,
Assane Dioussé,SEN,DF,Saint-Étienne,Ligue 1,22,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Axel Disasi,FRA,DF,Monaco,Ligue 1,22,1998,22.3,4,2,0,29,21,1,3,27,23,0,0,1,217,55,30,64.7
Tiago Djaló,POR,DF,Lille,Ligue 1,20,2000,9.7,4,1,1,15,12,1,6,11,17,0,0,0,84,11,7,61.1
Djené,TOG,DF,Getafe,La Liga,28,1991,32.7,8,2,1,34,40,1,7,55,36,1,2,0,357,71,44,61.7
Moussa Djenepo,MLI,MF,Southampton,Premier League,22,1998,13.8,5,0,0,34,44,3,10,10,22,1,1,0,119,11,33,25.0
Koffi Djidji,CIV,DF,Crotone,Serie A,27,1992,16.9,4,0,0,22,2,1,3,28,21,0,0,0,114,33,24,57.9
Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,25,1994,28.4,8,0,0,48,38,2,5,80,44,0,2,0,227,66,29,69.5
Berat Djimsiti,ALB,DF,Atalanta,Serie A,27,1993,29.2,8,0,0,28,32,1,9,48,26,0,0,0,321,78,30,72.2
Marko Dmitrović,SRB,GK,Eibar,La Liga,28,1992,34.7,0,0,0,0,5,0,0,0,1,0,0,0,198,0,0,
Ritsu Doan,JPN,MF,Arminia,Bundesliga,22,1998,30.8,1,0,0,39,69,5,64,26,45,1,0,0,199,32,60,34.8
Mihai Dobre,ROU,FW,Dijon,Ligue 1,21,1998,5.9,0,0,0,6,6,2,6,9,8,0,0,0,38,14,10,58.3
Matt Doherty,IRL,DF,Tottenham,Premier League,28,1992,13.8,4,1,1,22,12,0,24,18,8,0,1,0,114,54,23,70.1
Jeremy Doku,BEL,MF,Rennes,Ligue 1,18,2002,25.7,1,1,0,37,77,6,69,12,38,0,0,0,175,8,15,34.8
Kasper Dolberg,DEN,FW,Nice,Ligue 1,22,1997,21.4,2,0,0,23,50,5,4,4,6,0,0,0,72,23,30,43.4
Keagan Dolly,RSA,MF,Montpellier,Ligue 1,27,1993,5.0,2,0,0,6,4,2,4,4,8,0,0,0,36,1,7,12.5
Jaume Doménech,ESP,GK,Valencia,La Liga,29,1990,28.0,1,0,0,0,1,0,0,0,0,0,0,0,141,0,0,
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,19,2001,4.0,2,0,0,7,2,0,0,7,4,0,0,0,17,10,13,43.5
Nicolás Domínguez,ARG,MF,Bologna,Serie A,22,1998,13.9,8,0,0,24,19,1,11,25,35,0,1,0,167,24,24,50.0
John Donald,ESP,DF,Elche,La Liga,19,2000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Ji Dong-won,KOR,FW,Mainz 05,Bundesliga,29,1991,0.7,1,0,0,4,1,0,0,0,0,0,0,0,10,5,4,55.6
Anastasios Donis,GRE,MF,Reims,Ligue 1,23,1996,1.1,0,1,0,2,0,3,3,0,0,0,0,0,2,1,0,100.0
Gianluigi Donnarumma,ITA,GK,Milan,Serie A,21,1999,37.0,1,0,0,0,3,0,0,0,0,0,0,0,147,0,0,
Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,22,1997,22.2,4,1,1,22,29,0,3,23,17,0,1,0,177,69,45,60.5
Bas Dost,NED,FW,Eint Frankfurt,Bundesliga,31,1989,9.1,3,0,0,17,9,3,4,2,4,0,0,0,34,70,32,68.6
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,27,1993,27.1,6,0,0,34,16,0,10,35,42,0,0,0,304,37,26,58.7
Cheick Doucouré,MLI,MF,Lens,Ligue 1,20,2000,29.2,8,0,0,51,17,0,3,55,59,0,0,0,333,31,22,58.5
Fodé Doucouré,MLI,DF,Reims,Ligue 1,19,2001,3.7,0,0,0,5,0,0,4,4,1,0,0,0,32,2,4,33.3
