Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
Federico Bernardeschi,ITA,FW,Juventus,Serie A,23,1994,22,7,847,9.4,4,3,4,0,0,4,0,0.43,0.32,0.74,0.43,0.74,3.0,3.0,2.0,5.1,0.33,0.22,0.55,0.33,0.55
Bernardo,BRA,DF,RB Leipzig,Bundesliga,22,1995,18,15,1350,15.0,1,1,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,0.6,0.6,0.8,1.4,0.04,0.06,0.09,0.04,0.09
Juan Bernat,ESP,DF,Bayern Munich,Bundesliga,24,1993,11,11,888,9.9,0,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.7,0.7,1.3,2.1,0.08,0.13,0.21,0.08,0.21
Andrea Bertolacci,ITA,MF,Genoa,Serie A,26,1991,33,33,2895,32.2,1,0,1,0,0,7,1,0.03,0.00,0.03,0.03,0.03,1.1,1.1,2.0,3.1,0.03,0.06,0.10,0.03,0.10
Ryan Bertrand,ENG,DF,Southampton,Premier League,27,1989,35,35,3135,34.8,0,4,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.9,1.9,3.6,5.5,0.05,0.10,0.16,0.05,0.16
Muhamed Bešić,BIH,MF,Everton,Premier League,24,1992,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.08,0.08,0.00,0.08
Daniel Bessa,ITA,MF,Hellas Verona,Serie A,24,1993,17,15,1389,15.4,1,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,0.9,0.9,1.3,2.2,0.06,0.08,0.14,0.06,0.14
Daniel Bessa,ITA,MF,Genoa,Serie A,24,1993,11,6,438,4.9,2,0,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,1.2,1.2,0.8,1.9,0.24,0.16,0.40,0.24,0.40
Vincent Bessat,FRA,DF,Caen,Ligue 1,31,1985,24,18,1570,17.4,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,1.7,2.2,0.03,0.10,0.12,0.03,0.12
Quentin Beunardeau,FRA,GK,Metz,Ligue 1,23,1994,1,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Matteo Bianchetti,ITA,DF,Hellas Verona,Serie A,24,1993,2,1,124,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ermin Bičakčić,BIH,DF,Hoffenheim,Bundesliga,27,1990,9,7,548,6.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.06,0.01,0.07,0.06,0.07
Pedro Bigas,ESP,DF,Las Palmas,La Liga,26,1990,12,11,894,9.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.02,0.02,0.05,0.02,0.05
Lucas Biglia,ARG,MF,Milan,Serie A,31,1986,28,24,2039,22.7,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.7,1.5,0.03,0.03,0.07,0.03,0.07
Philip Billing,DEN,MF,Huddersfield,Premier League,21,1996,16,8,764,8.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.04,0.05,0.02,0.05
Jean-Claude Billong,CMR,DF,Benevento,Serie A,23,1993,5,3,294,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Davide Biondini,ITA,MF,Sassuolo,Serie A,34,1983,7,2,206,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.09,0.09,0.00,0.09
Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,24,1992,34,34,2980,33.1,1,4,1,0,0,7,0,0.03,0.12,0.15,0.03,0.15,1.8,1.8,5.1,6.9,0.05,0.16,0.21,0.05,0.21
Mame Biram Diouf,SEN,FW,Stoke City,Premier League,29,1987,35,30,2596,28.8,6,2,6,0,0,6,0,0.21,0.07,0.28,0.21,0.28,7.3,7.3,1.6,8.9,0.25,0.06,0.31,0.25,0.31
Davide Biraschi,ITA,DF,Genoa,Serie A,23,1994,23,20,1796,20.0,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,0.4,1.1,0.03,0.02,0.05,0.03,0.05
Valter Birsa,SVN,MF,Chievo,Serie A,30,1986,35,29,2504,27.8,3,6,3,0,0,3,0,0.11,0.22,0.32,0.11,0.32,2.7,2.7,5.2,7.9,0.10,0.19,0.28,0.10,0.28
Milan Biševac,SRB,DF,Metz,Ligue 1,33,1983,10,10,710,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.06,0.01,0.07,0.06,0.07
Yves Bissouma,MLI,MF,Lille,Ligue 1,20,1996,24,15,1561,17.3,2,1,2,0,0,3,0,0.12,0.06,0.17,0.12,0.17,2.4,2.4,0.5,3.0,0.14,0.03,0.17,0.14,0.17
Leonardo Bittencourt,GER,MF,Köln,Bundesliga,23,1993,22,17,1613,17.9,5,3,5,0,0,4,0,0.28,0.17,0.45,0.28,0.45,3.4,3.4,2.6,6.0,0.19,0.15,0.33,0.19,0.33
Albano Bizzarri,ARG,GK,Udinese,Serie A,39,1977,32,32,2880,32.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Rubén Blanco,ESP,GK,Celta Vigo,La Liga,22,1995,22,22,1941,21.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ludovic Blas,FRA,MF,Guingamp,Ligue 1,19,1997,31,17,1793,19.9,3,2,3,0,0,3,1,0.15,0.10,0.25,0.15,0.25,3.4,3.4,1.3,4.7,0.17,0.07,0.23,0.17,0.23
Pablo de Blasis,ARG,FW,Mainz 05,Bundesliga,29,1988,25,20,1652,18.4,5,2,2,3,3,2,0,0.27,0.11,0.38,0.11,0.22,4.5,2.2,1.6,3.9,0.25,0.09,0.33,0.12,0.21
Jakub Błaszczykowski,POL,FW,Wolfsburg,Bundesliga,31,1985,9,6,520,5.8,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.8,1.1,0.05,0.13,0.19,0.05,0.19
Jérémy Blayac,FRA,FW,Strasbourg,Ligue 1,34,1983,25,7,917,10.2,3,1,3,0,0,2,0,0.29,0.10,0.39,0.29,0.39,4.7,4.7,1.5,6.2,0.46,0.15,0.61,0.46,0.61
