Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks
Ryder Matos,BRA,MF,Udinese,Serie A,24,1993,1.9,51,51,0,0,0,9,1,2,0,0,0,0,36,9,6,6,41,3,0,1,40,0,2,0,1
Ryder Matos,BRA,FW,Hellas Verona,Serie A,24,1993,10.9,275,259,16,4,0,62,2,10,1,0,0,0,208,34,33,46,209,5,6,1,216,0,6,3,22
Alessandro Matri,ITA,FW,Sassuolo,Serie A,32,1984,10.2,198,178,20,0,1,56,3,4,0,0,0,0,129,41,28,29,152,6,0,6,143,1,4,8,8
Ville Matti Steinmann,GER,MF,Hamburger SV,Bundesliga,22,1995,6.6,419,400,19,15,0,99,18,0,4,1,0,0,279,71,69,121,256,30,0,2,352,1,2,9,11
Federico Mattiello,ITA,DF,SPAL,Serie A,22,1995,24.5,894,722,172,7,0,121,9,33,2,0,1,0,496,159,239,412,269,36,163,3,679,6,15,11,40
Blaise Matuidi,FRA,MF,Paris S-G,Ligue 1,30,1987,0.3,16,16,0,0,0,1,0,0,0,0,0,0,14,1,1,13,2,1,0,0,13,0,0,2,0
Blaise Matuidi,FRA,MF,Juventus,Serie A,30,1987,26.2,1393,1370,23,17,1,200,21,21,0,0,0,0,1138,133,122,1155,162,42,6,3,1239,5,10,16,27
José Mauri,ITA,MF,Milan,Serie A,21,1996,0.1,12,12,0,0,0,0,0,0,0,0,0,0,9,3,0,1,10,1,0,0,11,0,0,0,0
Maurício,BRA,DF,Lazio,Serie A,28,1988,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Mërgim Mavraj,ALB,DF,Hamburger SV,Bundesliga,31,1986,16.1,712,672,40,36,0,104,33,4,0,0,0,0,412,114,186,500,89,72,4,9,555,0,15,7,16
Konstantinos Mavropanos,GRE,DF,Arsenal,Premier League,19,1997,2.2,104,102,2,2,0,7,4,0,0,0,0,0,77,14,13,30,67,5,0,0,93,0,0,3,2
Alfie Mawson,ENG,DF,Swansea City,Premier League,23,1994,38.0,1685,1633,52,44,0,230,114,6,0,0,0,0,1176,158,351,391,1138,90,8,6,1410,5,27,32,18
Philipp Max,GER,DF,Augsburg,Bundesliga,23,1993,32.9,1712,1204,508,75,0,240,111,156,113,28,31,10,611,388,713,1164,154,55,320,8,1127,11,41,32,60
Alexandru Maxim,ROU,MF,Mainz 05,Bundesliga,27,1990,10.6,469,378,91,33,0,86,43,18,48,10,8,8,279,69,121,30,419,3,9,4,341,3,8,16,19
Eric Maxim Choupo-Moting,CMR,FW,Stoke City,Premier League,28,1989,25.7,682,668,14,2,3,200,11,35,0,0,0,0,431,129,122,116,461,39,6,10,484,6,14,36,36
Florian Mayer,GER,DF,M'Gladbach,Bundesliga,19,1998,0.2,8,7,1,1,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,0
Borja Mayoral,ESP,FW,Real Madrid,La Liga,20,1997,3.8,111,105,6,0,0,15,0,1,0,0,0,0,96,10,5,14,89,5,0,1,91,1,2,4,2
Róbert Mazáň,SVK,DF,Celta Vigo,La Liga,23,1994,0.9,80,75,5,0,0,13,1,3,0,0,0,0,54,15,11,56,17,1,5,0,70,0,2,2,0
Luca Mazzitelli,ITA,MF,Sassuolo,Serie A,21,1995,11.3,441,429,12,4,0,86,12,10,3,0,0,0,251,83,107,106,287,32,4,0,300,5,15,14,20
Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,18,1998,23.3,701,674,27,2,1,144,12,62,4,0,0,0,578,38,85,108,573,8,11,0,558,3,9,18,30
Kylian Mbappé,FRA,FW,Monaco,Ligue 1,18,1998,0.8,31,31,0,0,0,0,0,5,0,0,0,0,22,5,4,4,26,1,0,0,19,0,1,4,1
Ibrahima Mbaye,SEN,DF,Bologna,Serie A,22,1994,19.6,1036,849,187,22,0,138,13,13,0,0,0,0,610,224,202,89,697,58,165,5,823,2,24,18,34
Chancel Mbemba,COD,DF,Newcastle Utd,Premier League,22,1994,7.5,275,217,58,3,1,37,2,4,1,0,0,0,137,71,67,39,156,17,54,0,201,1,7,7,9
Adama Mbengue,SEN,DF,Caen,Ligue 1,23,1993,17.7,821,635,186,4,0,133,35,59,1,0,0,0,381,144,296,497,98,35,181,1,508,5,25,37,54
Isaac Mbenza,BEL,FW,Montpellier,Ligue 1,21,1996,23.3,646,568,78,32,2,127,42,71,39,0,0,0,459,38,149,60,556,23,3,2,428,3,25,17,30
Bryan Mbeumo,CMR,FW,Troyes,Ligue 1,17,1999,0.7,24,23,1,0,0,6,0,1,0,0,0,0,15,3,6,13,5,3,0,0,13,0,1,0,2
Jordi Mboula,ESP,MF,Monaco,Ligue 1,18,1999,0.3,12,12,0,0,0,0,1,3,0,0,0,0,6,1,5,5,7,0,0,0,4,0,0,1,2
James McArthur,SCO,MF,Crystal Palace,Premier League,29,1987,27.0,1075,1053,22,5,0,242,15,9,0,0,0,0,738,170,167,261,698,60,9,18,852,4,17,26,30
Gareth McAuley,NIR,DF,West Brom,Premier League,37,1979,5.1,131,124,7,6,1,19,4,1,0,0,0,0,54,22,55,10,100,13,1,0,89,1,2,3,3
Oliver McBurnie,SCO,FW,Swansea City,Premier League,21,1996,3.1,102,96,6,0,0,37,0,2,0,0,0,0,50,28,24,6,65,7,0,4,74,1,2,1,4
Alex McCarthy,ENG,GK,Southampton,Premier League,27,1989,18.0,462,247,215,58,0,26,12,0,0,0,0,0,98,20,344,31,329,0,1,56,206,0,23,6,1
James McCarthy,IRL,MF,Everton,Premier League,26,1990,2.3,101,100,1,1,0,18,2,1,0,0,0,0,57,28,16,26,64,9,0,0,73,1,0,3,3
James McClean,IRL,MF,West Brom,Premier League,28,1989,15.6,451,426,25,2,0,88,15,47,12,11,0,1,256,79,116,371,38,23,11,2,292,2,14,6,40
Weston McKennie,USA,MF,Schalke 04,Bundesliga,18,1998,14.0,517,494,23,1,1,89,6,5,0,0,0,0,300,110,107,97,341,42,19,2,364,4,14,14,18
Sam McQueen,ENG,DF,Southampton,Premier League,22,1995,1.6,78,67,11,1,0,18,0,2,0,0,0,0,46,17,15,55,6,6,10,0,54,0,2,1,5
Scott McTominay,SCO,MF,Manchester Utd,Premier League,20,1996,7.0,353,349,4,4,0,51,7,3,0,0,0,0,297,17,39,25,307,10,0,1,315,0,3,6,3
Iuri Medeiros,POR,FW,Genoa,Serie A,23,1994,7.1,291,253,38,7,3,56,22,14,23,5,0,4,177,36,78,258,21,6,3,1,200,0,8,10,13
Slobodan Medojević,SRB,MF,Eint Frankfurt,Bundesliga,26,1990,0.3,15,15,0,0,0,0,0,1,0,0,0,0,9,1,5,0,11,4,0,0,10,0,1,0,0
Álvaro Medrán,ESP,MF,Valencia,La Liga,23,1994,0.8,48,48,0,0,0,3,3,0,0,0,0,0,35,5,8,13,32,2,0,1,45,0,0,1,1
Álvaro Medrán,ESP,MF,Alavés,La Liga,23,1994,10.5,465,438,27,19,2,83,20,5,4,1,0,0,331,50,84,135,305,16,1,2,362,7,6,23,15
Ben Mee,ENG,DF,Burnley,Premier League,27,1989,29.0,1055,1029,26,21,1,169,25,5,0,0,0,0,604,134,317,756,132,95,5,4,819,7,28,11,12
Riccardo Meggiorini,ITA,FW,Chievo,Serie A,31,1985,8.7,213,211,2,0,0,63,4,13,0,0,0,0,87,50,76,119,20,40,0,7,123,3,7,1,6
Admir Mehmedi,SUI,FW,Wolfsburg,Bundesliga,26,1991,3.2,131,117,14,4,1,30,5,4,5,1,3,1,81,29,21,14,102,6,2,1,98,0,5,3,4
Admir Mehmedi,SUI,DF,Leverkusen,Bundesliga,26,1991,7.8,419,344,75,10,0,66,10,21,7,0,1,0,261,85,73,40,290,18,58,4,321,0,10,11,9
Alexander Meier,GER,FW,Eint Frankfurt,Bundesliga,34,1983,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0
Soualiho Meïté,FRA,MF,Bordeaux,Ligue 1,23,1994,14.8,688,676,12,11,6,119,19,9,0,0,0,0,534,53,101,137,491,44,1,1,576,3,16,10,10
Soualiho Meïté,FRA,MF,Monaco,Ligue 1,23,1994,1.1,42,42,0,0,0,11,0,0,0,0,0,0,33,3,6,9,29,4,0,0,34,0,2,0,1
Óscar Melendo,ESP,MF,Espanyol,La Liga,19,1997,7.6,260,254,6,1,0,42,5,5,2,0,0,0,203,21,36,213,31,8,3,1,215,1,3,3,9
Ledian Memushaj,ALB,MF,Benevento,Serie A,30,1986,14.0,671,626,45,22,1,130,15,15,15,4,7,2,460,101,110,146,489,20,8,3,544,6,4,9,20
Pedro Mendes,POR,DF,Montpellier,Ligue 1,26,1990,31.7,1407,1355,52,31,0,145,74,7,0,0,0,0,919,98,390,189,1042,133,21,6,1118,4,44,18,24
Thiago Mendes,BRA,MF,Lille,Ligue 1,25,1992,25.5,1368,1303,65,19,9,270,46,18,22,0,0,0,1062,97,209,241,1056,32,24,5,1162,15,26,26,19
Brais Méndez,ESP,MF,Celta Vigo,La Liga,20,1997,10.5,461,446,15,6,1,82,10,24,6,0,1,0,367,26,68,368,72,13,2,2,347,3,12,14,15
Stiven Mendoza,COL,FW,Amiens,Ligue 1,25,1992,11.5,366,334,32,5,1,85,10,16,21,0,0,0,265,39,62,325,20,15,2,2,256,0,8,6,23
Alexandre Mendy,GNB,FW,Bordeaux,Ligue 1,23,1994,8.8,162,153,9,0,0,34,1,5,0,0,0,0,110,24,28,10,114,28,0,3,118,0,1,3,4
Benjamin Mendy,FRA,DF,Manchester City,Premier League,23,1994,4.0,277,229,48,4,0,24,9,32,0,0,0,0,168,69,40,202,15,10,44,1,217,1,5,9,12
Ferland Mendy,FRA,DF,Lyon,Ligue 1,22,1995,23.6,1500,1333,167,5,5,193,24,46,1,0,0,0,1067,199,234,935,323,63,161,5,1275,5,24,43,38
Nampalys Mendy,SEN,MF,Nice,Ligue 1,25,1992,10.7,734,731,3,3,0,122,17,0,0,0,0,0,645,24,65,66,645,21,0,1,671,1,7,7,6
Hamza Mendyl,MAR,DF,Lille,Ligue 1,19,1997,9.5,401,334,67,2,0,54,7,26,0,0,0,0,244,53,104,278,38,16,65,1,307,1,5,11,16
Gabriel Mercado,ARG,DF,Sevilla,La Liga,30,1987,23.5,1077,971,106,19,0,162,10,15,0,0,0,0,721,144,212,132,768,70,87,2,874,4,23,27,28
Jorge Meré,ESP,DF,Köln,Bundesliga,20,1997,21.0,975,938,37,24,2,133,40,2,0,0,0,0,653,142,180,197,665,75,13,1,830,0,13,10,8
Alex Meret,ITA,GK,SPAL,Serie A,20,1997,12.9,357,206,151,44,0,38,3,0,0,0,0,0,109,16,232,262,51,1,0,27,207,2,12,1,1
Mikel Merino,ESP,MF,Newcastle Utd,Premier League,21,1996,15.0,803,787,16,14,3,167,23,6,0,0,0,0,533,119,151,671,57,39,2,2,644,2,15,21,14
Sabin Merino,ESP,FW,Athletic Club,La Liga,25,1992,4.2,95,95,0,0,0,29,0,5,0,0,0,0,55,20,20,6,69,14,0,2,65,0,0,2,5
Dries Mertens,BEL,FW,Napoli,Serie A,30,1987,33.4,999,969,30,2,13,203,14,33,0,0,0,0,708,189,102,89,869,22,2,15,739,8,19,34,32
Per Mertesacker,GER,DF,Arsenal,Premier League,32,1984,4.1,249,243,6,6,0,24,5,0,0,0,0,0,199,24,26,49,168,17,0,2,228,0,3,1,0
Roque Mesa,ESP,MF,Swansea City,Premier League,28,1989,8.4,484,466,18,15,0,56,17,0,0,0,0,0,364,61,59,129,323,28,2,1,424,1,3,12,6
Roque Mesa,ESP,MF,Sevilla,La Liga,28,1989,3.8,217,212,5,4,0,31,5,0,1,0,0,0,190,8,19,53,156,7,0,0,202,0,1,3,1
Lionel Messi,ARG,FW,Barcelona,La Liga,30,1987,33.3,1957,1821,136,80,16,415,49,38,42,12,4,2,1547,173,237,1743,175,26,4,4,1540,35,23,91,73
Thomas Meunier,BEL,DF,Paris S-G,Ligue 1,25,1991,17.5,1116,1002,114,6,0,146,17,74,1,0,0,0,764,162,190,121,824,50,107,3,906,2,15,31,34
Mexer,MOZ,DF,Rennes,Ligue 1,28,1988,13.3,507,494,13,12,0,60,28,4,0,0,0,0,357,27,123,56,400,34,1,0,412,2,14,6,8
Max Meyer,GER,MF,Schalke 04,Bundesliga,21,1995,19.2,1059,1032,27,25,0,166,16,2,0,0,0,0,796,139,124,288,716,42,0,1,936,4,16,8,12
Senna Miangue,BEL,DF,Cagliari,Serie A,20,1997,8.9,407,307,100,3,0,57,7,35,0,0,0,0,174,51,182,251,32,19,96,4,266,1,15,10,18
Michel,BRA,DF,Las Palmas,La Liga,27,1990,23.7,1214,1002,212,15,1,153,10,57,1,0,0,0,708,249,257,78,879,42,196,4,971,3,19,33,38
Mathieu Michel,FRA,GK,Angers,Ligue 1,25,1991,6.6,137,89,48,14,0,18,5,0,0,0,0,0,40,5,92,2,102,0,0,29,86,0,8,0,0
Clément Michelin,FRA,DF,Toulouse,Ligue 1,20,1997,3.1,124,106,18,0,0,25,8,11,0,0,0,0,55,9,60,7,88,7,18,0,82,0,7,3,6
Francesco Migliore,ITA,DF,Genoa,Serie A,29,1988,3.7,164,141,23,0,0,23,3,8,0,0,0,0,95,24,45,102,28,9,23,0,122,0,2,3,9
Simon Mignolet,BEL,GK,Liverpool,Premier League,29,1988,19.0,602,456,146,46,0,31,4,0,0,0,0,0,353,34,215,34,449,1,0,97,450,1,7,4,1
Nikola Milenković,SRB,DF,Fiorentina,Serie A,19,1997,13.9,804,730,74,14,0,100,16,1,0,0,0,0,532,130,142,75,575,69,60,1,666,1,25,5,12
Danijel Milićević,BIH,MF,Metz,Ligue 1,31,1986,7.9,324,268,56,18,1,46,19,45,29,0,0,0,190,20,114,52,255,15,1,1,211,3,9,6,14
Arkadiusz Milik,POL,FW,Napoli,Serie A,23,1994,5.0,141,135,6,1,1,26,0,2,0,0,0,0,102,27,12,114,21,2,0,2,110,0,6,4,5
Sergej Milinković-Savić,SRB,MF,Lazio,Serie A,22,1995,31.6,1819,1784,35,17,11,393,64,38,0,0,0,0,1208,302,309,197,1466,44,16,38,1424,6,29,36,47
Vanja Milinković-Savić,SRB,GK,Torino,Serie A,20,1997,1.0,49,37,12,4,0,9,3,0,0,0,0,0,23,3,23,6,35,0,0,6,32,0,6,0,0
Luka Milivojević,SRB,MF,Crystal Palace,Premier League,26,1991,34.2,1680,1596,84,55,6,293,66,14,24,8,3,6,1087,230,363,267,1273,75,5,14,1358,4,38,56,30
James Milner,ENG,MF,Liverpool,Premier League,31,1986,19.7,1611,1481,130,31,3,178,74,64,60,23,20,4,1187,147,277,131,1404,27,27,2,1324,6,28,43,38
Santi Mina,ESP,FW,Valencia,La Liga,21,1995,17.3,462,440,22,1,0,114,11,12,0,0,0,0,349,53,60,52,353,28,2,4,362,0,5,17,9
Yerry Mina,COL,DF,Barcelona,La Liga,22,1994,4.1,241,235,6,5,0,38,3,0,0,0,0,0,214,15,12,23,205,6,1,1,219,0,3,1,2
Tyrone Mings,ENG,DF,Bournemouth,Premier League,24,1993,2.2,111,108,3,2,0,15,2,1,0,0,0,0,74,13,24,99,3,6,1,0,87,0,3,3,3
Ignasi Miquel,ESP,DF,Málaga,La Liga,24,1992,19.7,732,695,37,17,0,129,29,1,0,0,0,0,390,78,264,499,97,94,20,0,509,3,33,9,11
Kevin Mirallas,BEL,FW,Everton,Premier League,29,1987,1.5,61,54,7,1,0,8,0,2,1,1,0,0,40,13,8,6,51,2,0,0,46,0,1,3,2
Miranda,BRA,DF,Inter,Serie A,32,1984,30.3,1706,1641,65,62,1,198,35,2,0,0,0,0,1302,157,247,274,1304,92,3,6,1490,1,28,4,17
Antonio Mirante,ITA,GK,Bologna,Serie A,34,1983,33.0,1211,775,436,144,0,74,38,0,0,0,0,0,399,105,707,51,940,0,3,140,842,3,30,0,1
Simone Missiroli,ITA,MF,Sassuolo,Serie A,31,1986,32.4,1263,1244,19,11,1,262,11,21,0,0,0,0,720,221,322,198,831,120,8,7,950,4,20,28,39
Kostas Mitroglou,GRE,FW,Marseille,Ligue 1,29,1988,9.7,132,129,3,0,0,30,1,1,0,0,0,0,88,22,22,68,37,20,0,3,96,0,3,2,6
Aleksandar Mitrović,SRB,FW,Newcastle Utd,Premier League,22,1994,1.1,51,50,1,0,0,12,0,1,0,0,0,0,35,10,6,6,35,5,1,2,36,0,1,1,4
Maximilian Mittelstädt,GER,MF,Hertha BSC,Bundesliga,20,1997,4.7,178,160,18,3,0,42,8,9,2,0,2,0,95,33,50,116,35,8,13,0,122,1,5,2,8
Henrikh Mkhitaryan,ARM,MF,Manchester Utd,Premier League,28,1989,10.2,573,532,41,7,4,102,18,30,28,13,6,0,391,98,84,127,412,21,3,2,441,2,11,17,19
Henrikh Mkhitaryan,ARM,FW,Arsenal,Premier League,28,1989,8.8,476,453,23,2,3,91,19,26,18,9,4,3,359,60,57,85,367,10,3,5,354,1,8,27,17
Luka Modrić,CRO,MF,Real Madrid,La Liga,31,1985,21.9,1575,1537,38,26,7,219,66,10,8,0,2,0,1236,140,199,195,1341,21,2,7,1395,6,16,44,29
Niklas Moisander,FIN,DF,Werder Bremen,Bundesliga,31,1985,25.0,1462,1418,44,40,0,183,66,4,0,0,0,0,887,233,342,925,428,83,4,2,1223,2,24,19,13
Johan Mojica,COL,DF,Girona,La Liga,24,1992,23.7,1117,917,200,3,0,228,42,110,2,0,0,0,588,241,288,770,73,60,195,1,816,3,19,23,63
