,Country,League,FIFA,ISO,latitude,longitude,Count
181,South Korea,Ligue 1,KOR,KOR,35.907757,127.766922,2
182,South Korea,Premier League,KOR,KOR,35.907757,127.766922,2
183,Kosovo,Bundesliga,KVX,XKX,42.602636,20.902977,1
184,Kosovo,La Liga,KVX,XKX,42.602636,20.902977,1
185,Kosovo,Ligue 1,KVX,XKX,42.602636,20.902977,4
186,Kosovo,Premier League,KVX,XKX,42.602636,20.902977,1
187,Kosovo,Serie A,KVX,XKX,42.602636,20.902977,3
188,Luxembourg,Bundesliga,LUX,LUX,49.815273,6.129583,2
189,Luxembourg,Ligue 1,LUX,LUX,49.815273,6.129583,1
190,Luxembourg,Serie A,LUX,LUX,49.815273,6.129583,1
191,Madagascar,Ligue 1,MAD,MDG,-18.766947,46.869107,2
192,Morocco,Bundesliga,MAR,MAR,31.791702,-7.09262,2
193,Morocco,La Liga,MAR,MAR,31.791702,-7.09262,7
194,Morocco,Ligue 1,MAR,MAR,31.791702,-7.09262,10
195,Morocco,Premier League,MAR,MAR,31.791702,-7.09262,4
196,Morocco,Serie A,MAR,MAR,31.791702,-7.09262,4
197,Mexico,La Liga,MEX,MEX,23.634501,-102.552784,7
198,Mexico,Premier League,MEX,MEX,23.634501,-102.552784,1
199,Mexico,Serie A,MEX,MEX,23.634501,-102.552784,2
200,North Macedonia,La Liga,MKD,MKD,41.608635,21.745275,2
201,North Macedonia,Serie A,MKD,MKD,41.608635,21.745275,3
202,Mali,Bundesliga,MLI,MLI,17.570692,-3.996166,3
203,Mali,Ligue 1,MLI,MLI,17.570692,-3.996166,20
204,Mali,Premier League,MLI,MLI,17.570692,-3.996166,3
205,Mali,Serie A,MLI,MLI,17.570692,-3.996166,1
206,Montenegro,Bundesliga,MNE,MNE,42.708678,19.37439,1
207,Montenegro,La Liga,MNE,MNE,42.708678,19.37439,4
208,Montenegro,Ligue 1,MNE,MNE,42.708678,19.37439,1
209,Montenegro,Serie A,MNE,MNE,42.708678,19.37439,1
210,Mozambique,La Liga,MOZ,MOZ,-18.665695,35.529562,1
211,Mozambique,Ligue 1,MOZ,MOZ,-18.665695,35.529562,2
212,Martinique,La Liga,MTQ,MTQ,14.641528,-61.024174,1
213,Martinique,Ligue 1,MTQ,MTQ,14.641528,-61.024174,1
214,Martinique,Serie A,MTQ,MTQ,14.641528,-61.024174,1
215,Netherlands,Bundesliga,NED,NLD,52.132633,5.291266,27
216,Netherlands,La Liga,NED,NLD,52.132633,5.291266,7
217,Netherlands,Ligue 1,NED,NLD,52.132633,5.291266,13
218,Netherlands,Premier League,NED,NLD,52.132633,5.291266,16
219,Netherlands,Serie A,NED,NLD,52.132633,5.291266,17
220,Nigeria,Bundesliga,NGA,NGA,9.081999,8.675277,5
221,Nigeria,La Liga,NGA,NGA,9.081999,8.675277,1
222,Nigeria,Ligue 1,NGA,NGA,9.081999,8.675277,5
223,Nigeria,Premier League,NGA,NGA,9.081999,8.675277,9
224,Nigeria,Serie A,NGA,NGA,9.081999,8.675277,8
225,Northern Ireland,Premier League,NIR,GB-NIR,54.703013,-6.769446,5
226,Norway,Bundesliga,NOR,NOR,60.472024,8.468946,6
227,Norway,La Liga,NOR,NOR,60.472024,8.468946,1
228,Norway,Ligue 1,NOR,NOR,60.472024,8.468946,3
229,Norway,Premier League,NOR,NOR,60.472024,8.468946,7
230,Norway,Serie A,NOR,NOR,60.472024,8.468946,9
231,New Zealand,Premier League,NZL,NZL,-40.900557,174.885971,2
232,New Zealand,Serie A,NZL,NZL,-40.900557,174.885971,1
233,Panama,Bundesliga,PAN,PAN,8.537981,-80.782127,1
234,Paraguay,La Liga,PAR,PRY,-23.442503,-58.443832,2
235,Paraguay,Premier League,PAR,PRY,-23.442503,-58.443832,1
